name,axis,group,strategy_variant,dataset_key,execution_profile,or_minutes,target_multiple,side_mode,entry_buffer_ticks,stop_buffer_ticks,opening_time,time_exit,one_trade_per_day,risk_per_trade_pct,initial_capital_usd,tick_value_usd,point_value_usd,max_leverage,atr_period,atr_regime,atr_min,atr_max,direction_filter_mode,ema_length,entry_on_next_open,notes,dataset_path,commission_per_side_usd,slippage_ticks,execution_tick_size,n_trades,win_rate,avg_win,avg_loss,average_losing_trade,expectancy,profit_factor,cumulative_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,max_consecutive_losses,avg_consecutive_losses,longest_loss_streak,number_of_loss_streaks_2_plus,worst_trade,worst_day,stop_hit_rate,target_hit_rate,eod_exit_rate,proportion_filtered_out,trade_count_after_filters,percent_of_days_traded,avg_R,median_R,pnl_to_risk_ratio,daily_sharpe_basis,n_sessions,raw_signal_count,passes_min_trades,avg_r_component,profit_factor_component,expectancy_component,participation_component,drawdown_penalty,loss_streak_penalty,trade_penalty,robustness_score
filter_current_long_only_none_ema_only_ema50,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,none,,,ema_only,50.0,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,547,0.4186471663619744,142.83624454148472,-88.89398734177215,-88.89398734177215,8.444241316270567,1.164432815364625,4619.0,-1462.5,0.02925,0.5435218782588646,7,2.2097902097902096,7,83,-125.0,-125.0,0.489945155393053,0.018281535648994516,0.49177330895795246,0.4924642049736247,547,0.31061896649630893,0.08338516566160542,-0.6416666666666667,0.08425680174387319,daily_pnl_over_static_capital,1761,2654,True,2.9184807981561898,1.9731937843755007,1.1399071953613495,15.0,4.387499999999999,28.0,0.0,-11.355918222106961
filter_current_long_only_none_vwap_and_ema_ema50,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,none,,,vwap_and_ema,50.0,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,547,0.4186471663619744,142.83624454148472,-88.89398734177215,-88.89398734177215,8.444241316270567,1.164432815364625,4619.0,-1462.5,0.02925,0.5435218782588646,7,2.2097902097902096,7,83,-125.0,-125.0,0.489945155393053,0.018281535648994516,0.49177330895795246,0.4924642049736247,547,0.31061896649630893,0.08338516566160542,-0.6416666666666667,0.08425680174387319,daily_pnl_over_static_capital,1761,2654,True,2.9184807981561898,1.9731937843755007,1.1399071953613495,15.0,4.387499999999999,28.0,0.0,-11.355918222106961
filter_current_long_only_band_3_ema_only_ema50,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,band_3,12.0,224.01785714285714,ema_only,50.0,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,195,0.37948717948717947,190.75675675675674,-96.51239669421487,-96.51239669421487,12.502564102564103,1.2087686247645144,2438.0,-999.0,0.01998,0.4124698956051983,6,2.5208333333333335,6,32,-125.0,-125.0,0.5692307692307692,0.02564102564102564,0.40512820512820513,0.988797147914784,195,0.11073253833049404,0.11553900283994314,-1.0,0.1197887237440118,daily_pnl_over_static_capital,1761,80783,True,4.04386509939801,2.505223497174173,1.5545232982465387,7.382169222032937,2.997,24.0,0.0,-11.511218883148342
filter_current_long_only_band_3_vwap_and_ema_ema50,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,band_3,12.0,224.01785714285714,vwap_and_ema,50.0,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,195,0.37948717948717947,190.75675675675674,-96.51239669421487,-96.51239669421487,12.502564102564103,1.2087686247645144,2438.0,-999.0,0.01998,0.4124698956051983,6,2.5208333333333335,6,32,-125.0,-125.0,0.5692307692307692,0.02564102564102564,0.40512820512820513,0.988797147914784,195,0.11073253833049404,0.11553900283994314,-1.0,0.1197887237440118,daily_pnl_over_static_capital,1761,80783,True,4.04386509939801,2.505223497174173,1.5545232982465387,7.382169222032937,2.997,24.0,0.0,-11.511218883148342
filter_current_long_only_band_2_none,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,band_2,7.196428571428571,12.0,none,,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,333,0.4294294294294294,142.24475524475525,-91.93157894736842,-91.93157894736842,8.63063063063063,1.1645388446785367,2874.0,-1306.0,0.02612,0.4321607257499986,7,2.235294117647059,7,48,-125.0,-125.0,0.4984984984984985,0.018018018018018018,0.48348348348348347,0.9839951922316585,333,0.1890971039182283,0.10247528914389377,-0.9009009009009009,0.08574625195793242,daily_pnl_over_static_capital,1761,63231,True,3.586635120036282,1.974466136142441,1.1265722698710618,12.606473594548554,3.9179999999999997,28.0,0.0,-12.62385287940166
filter_current_long_only_band_2_ema_only_ema20,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,band_2,7.196428571428571,12.0,ema_only,20.0,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,324,0.4382716049382716,138.30985915492957,-93.24725274725274,-93.24725274725274,8.237654320987655,1.157268281185552,2669.0,-1135.5,0.02271,0.4088651976763373,7,2.116279069767442,7,44,-125.0,-125.0,0.5,0.015432098765432098,0.4845679012345679,0.9844161511009989,324,0.1839863713798978,0.0956417293836054,-0.9504504504504505,0.08176707565522418,daily_pnl_over_static_capital,1761,64169,True,3.3474605284261894,1.887219374226623,1.0601047102137198,12.265758091993188,3.4065,28.0,0.0,-12.845957295140279
filter_current_long_only_band_2_vwap_only,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,band_2,7.196428571428571,12.0,vwap_only,,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,330,0.4303030303030303,140.9894366197183,-91.98404255319149,-91.98404255319149,8.265151515151516,1.15772277800266,2727.5,-1306.0,0.02612,0.4128744325499581,7,2.238095238095238,7,48,-125.0,-125.0,0.49696969696969695,0.01818181818181818,0.48484848484848486,0.9840391136345714,330,0.18739352640545145,0.09974118530374694,-0.8667500099218162,0.08207080205214617,daily_pnl_over_static_capital,1761,63405,True,3.4909414856311427,1.89267333603192,1.0782502641636396,12.49290176036343,3.9179999999999997,28.0,0.0,-12.963233153809867
filter_current_long_only_band_2_ema_only_ema50,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,band_2,7.196428571428571,12.0,ema_only,50.0,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,319,0.43260188087774293,139.3840579710145,-93.0,-93.0,7.529780564263323,1.142695894968217,2402.0,-1117.0,0.02234,0.37060129409942455,7,2.104651162790698,7,45,-125.0,-125.0,0.5078369905956113,0.01567398119122257,0.47648902821316613,0.9844060945273632,319,0.18114707552526974,0.08272023992177178,-1.0,0.07464031571424132,daily_pnl_over_static_capital,1761,64320,True,2.8952083972620124,1.7123507396186053,0.971584588937203,12.07647170168465,3.351,28.0,0.0,-13.695384572497531
filter_current_long_only_band_2_vwap_and_ema_ema20,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,band_2,7.196428571428571,12.0,vwap_and_ema,20.0,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,321,0.43613707165109034,138.26071428571427,-93.29281767955801,-93.29281767955801,7.696261682242991,1.146304631055312,2470.5,-1258.0,0.02516,0.3800422644065786,7,2.1547619047619047,7,44,-125.0,-125.0,0.5015576323987538,0.01557632398753894,0.48286604361370716,0.9844738355376653,321,0.18228279386712096,0.09083639886933748,-1.0,0.07634897088818839,daily_pnl_over_static_capital,1761,64343,True,3.1792739604268117,1.755655572663744,0.9899490923742613,12.152186257808065,3.774,28.0,0.0,-13.696935116727118
filter_current_long_only_band_1_none,axis_c_filter_campaign,group_3_filter_campaign,current_orb,current_1m_rth,repo_realistic,15,5.0,long_only,0,2,09:30:00,16:00:00,True,0.25,50000.0,0.5,2.0,,14,band_1,0.39285714285714285,7.196428571428571,none,,True,,C:/Donnees/Business/Trading/Code/algo-trading-intraday-research/data/raw/MNQ_1mim.parquet,1.25,1,0.25,333,0.47147147147147145,91.30891719745223,-77.90517241379311,-77.90517241379311,2.3423423423423424,1.0575412194312273,780.0,-1506.0,0.03012,0.16029300005256183,6,1.9333333333333333,6,43,-125.0,-125.0,0.3783783783783784,0.0,0.6216216216216216,0.991621115545384,333,0.1890971039182283,0.02328407577933867,-0.09195402298850575,0.024119484214106805,daily_pnl_over_static_capital,1761,105742,True,0.8149426522768535,0.690494633174727,0.3607989975147217,12.606473594548554,4.518,24.0,0.0,-14.045290122485145
