divergence_type,count,pct_of_setups,baseline_pnl_sum,hybrid_after_pnl_sum,hybrid_next_pnl_sum,delta_pnl_after_sum,delta_pnl_next_sum,avg_delta_pnl_after,median_delta_pnl_after,winrate_baseline,winrate_hybrid_after,winrate_hybrid_next
winner_to_loser,37,0.11455108359133127,5756.599999999988,-1588.5,-1480.050000000003,-7345.099999999988,-7236.6499999999905,-198.5162162162159,-212.17499999999927,1.0,0.0,0.02702702702702703
baseline_trade_missing_in_hybrid,48,0.14860681114551083,1603.0499999999956,0.0,0.0,-1603.0499999999956,-1603.0499999999956,-33.39687499999991,13.25,0.2916666666666667,0.0,0.0
hybrid_trade_missing_in_baseline,8,0.02476780185758514,0.0,-333.40000000000146,-333.40000000000146,-333.40000000000146,-333.40000000000146,-41.67500000000018,-52.75,0.0,0.125,0.125
time_stop_changed,11,0.034055727554179564,677.8249999999971,354.5,354.5,-323.3249999999971,-323.3249999999971,-29.393181818181553,-16.25,0.5454545454545454,0.5454545454545454,0.5454545454545454
exit_reason_changed,214,0.6625386996904025,-503.7500000000073,-655.2500000000073,-655.2500000000073,-151.5,-151.5,-0.7079439252336449,0.0,0.2523364485981308,0.2523364485981308,0.2523364485981308
eod_flat_changed,1,0.0030959752321981426,185.90000000000143,69.5,69.5,-116.40000000000143,-116.40000000000143,-116.40000000000143,-116.40000000000143,1.0,1.0,1.0
loser_to_winner,4,0.01238390092879257,-184.5,477.4250000000029,477.4250000000029,661.9250000000029,661.9250000000029,165.48125000000073,196.07500000000073,0.0,1.0,1.0
