trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd
1,2019-05-07,short,6,2019-05-07 10:02:00-04:00,7693.75,7753.25,7574.75,2019-05-07 16:00:00-04:00,7663.75,time_exit,50000.0,1.5,750.0,122.625,735.75,735.75,92325.0,1.8465,30.0,120.0,360.0,18.75,341.25
2,2019-05-09,short,5,2019-05-09 10:05:00-04:00,7499.75,7566.25,7366.75,2019-05-09 12:30:00-04:00,7566.5,stop,50000.0,1.5,750.0,136.625,683.125,683.125,74997.5,1.49995,-66.75,-267.0,-667.5,15.625,-683.125
3,2019-05-13,short,5,2019-05-13 10:02:00-04:00,7372.75,7445.25,7227.75,2019-05-13 16:00:00-04:00,7337.0,time_exit,50000.0,1.5,750.0,148.625,743.125,743.125,73727.5,1.47455,35.75,143.0,357.5,15.625,341.875
4,2019-05-20,long,6,2019-05-20 10:26:00-04:00,7418.5,7361.0,7533.5,2019-05-20 16:00:00-04:00,7392.0,time_exit,50000.0,1.5,750.0,118.625,711.75,711.75,89022.0,1.78044,-26.5,-106.0,-318.0,18.75,-336.75
5,2019-06-03,short,4,2019-06-03 10:02:00-04:00,7042.25,7133.0,6860.75,2019-06-03 16:00:00-04:00,6981.25,time_exit,50000.0,1.5,750.0,185.125,740.5,740.5,56338.0,1.12676,61.0,244.0,488.0,12.5,475.5
6,2019-06-18,long,4,2019-06-18 10:04:00-04:00,7682.0,7597.5,7851.0,2019-06-18 16:00:00-04:00,7638.25,time_exit,50000.0,1.5,750.0,172.625,690.5,690.5,61456.0,1.22912,-43.75,-175.0,-350.0,12.5,-362.5
7,2019-08-02,short,7,2019-08-02 10:05:00-04:00,7716.75,7766.5,7617.25,2019-08-02 16:00:00-04:00,7698.5,time_exit,50000.0,1.5,750.0,103.125,721.875,721.875,108034.5,2.16069,18.25,73.0,255.5,21.875,233.625
8,2019-08-06,long,7,2019-08-06 10:04:00-04:00,7530.5,7485.25,7621.0,2019-08-06 10:14:00-04:00,7485.0,stop,50000.0,1.5,750.0,94.125,658.875,658.875,105427.0,2.10854,-45.5,-182.0,-637.0,21.875,-658.875
9,2019-08-07,long,4,2019-08-07 10:11:00-04:00,7465.75,7387.25,7622.75,2019-08-07 16:00:00-04:00,7566.0,time_exit,50000.0,1.5,750.0,160.625,642.5,642.5,59726.0,1.19452,100.25,401.0,802.0,12.5,789.5
10,2019-08-13,long,1,2019-08-13 10:27:00-04:00,7775.75,7554.75,8217.75,2019-08-13 16:00:00-04:00,7740.25,time_exit,50000.0,1.5,750.0,445.625,445.625,445.625,15551.5,0.31103,-35.5,-142.0,-71.0,3.125,-74.125
11,2019-08-14,short,7,2019-08-14 10:13:00-04:00,7583.75,7634.75,7481.75,2019-08-14 16:09:00-04:00,7482.0,target,50000.0,1.5,750.0,105.625,739.375,739.375,106172.5,2.12345,101.75,407.0,1424.5,21.875,1402.625
12,2019-08-23,long,5,2019-08-23 10:06:00-04:00,7688.25,7627.25,7810.25,2019-08-23 11:02:00-04:00,7627.0,stop,50000.0,1.5,750.0,125.625,628.125,628.125,76882.5,1.53765,-61.25,-245.0,-612.5,15.625,-628.125
13,2019-09-03,short,5,2019-09-03 10:05:00-04:00,7612.25,7677.25,7482.25,2019-09-03 16:00:00-04:00,7612.25,time_exit,50000.0,1.5,750.0,133.625,668.125,668.125,76122.5,1.52245,-0.0,-0.0,-0.0,15.625,-15.625
14,2019-10-03,short,4,2019-10-03 10:01:00-04:00,7511.25,7586.5,7360.75,2019-10-03 11:06:00-04:00,7586.75,stop,50000.0,1.5,750.0,154.125,616.5,616.5,60090.0,1.2018,-75.5,-302.0,-604.0,12.5,-616.5
15,2019-10-04,long,8,2019-10-04 10:01:00-04:00,7723.25,7681.75,7806.25,2019-10-04 16:00:00-04:00,7759.0,time_exit,50000.0,1.5,750.0,86.625,693.0,693.0,123572.0,2.47144,35.75,143.0,572.0,25.0,547.0
16,2019-12-12,long,3,2019-12-12 10:01:00-05:00,8473.25,8380.5,8658.75,2019-12-12 16:00:00-05:00,8460.25,time_exit,50000.0,1.5,750.0,189.125,567.375,567.375,50839.5,1.01679,-13.0,-52.0,-78.0,9.375,-87.375
17,2019-12-13,long,6,2019-12-13 10:02:00-05:00,8493.25,8439.5,8600.75,2019-12-13 16:00:00-05:00,8490.75,time_exit,50000.0,1.5,750.0,111.125,666.75,666.75,101919.0,2.03838,-2.5,-10.0,-30.0,18.75,-48.75
18,2020-01-31,short,4,2020-01-31 10:09:00-05:00,9098.5,9184.5,8926.5,2020-01-31 16:00:00-05:00,9000.5,time_exit,50000.0,1.5,750.0,175.625,702.5,702.5,72788.0,1.45576,98.0,392.0,784.0,12.5,771.5
19,2020-02-05,short,4,2020-02-05 10:15:00-05:00,9370.25,9458.25,9194.25,2020-02-05 16:00:00-05:00,9380.75,time_exit,50000.0,1.5,750.0,179.625,718.5,718.5,74962.0,1.49924,-10.5,-42.0,-84.0,12.5,-96.5
20,2020-02-21,short,2,2020-02-21 10:41:00-05:00,9478.5,9605.25,9225.0,2020-02-21 16:00:00-05:00,9459.0,time_exit,50000.0,1.5,750.0,257.125,514.25,514.25,37914.0,0.75828,19.5,78.0,78.0,6.25,71.75
21,2020-02-25,short,3,2020-02-25 10:21:00-05:00,9089.25,9191.25,8885.25,2020-02-25 14:01:00-05:00,8885.5,target,50000.0,1.5,750.0,207.625,622.875,622.875,54535.5,1.09071,203.75,815.0,1222.5,9.375,1213.125
22,2020-02-26,long,2,2020-02-26 10:36:00-05:00,9016.5,8879.5,9290.5,2020-02-26 12:16:00-05:00,8879.25,stop,50000.0,1.5,750.0,277.625,555.25,555.25,36066.0,0.72132,-137.25,-549.0,-549.0,6.25,-555.25
23,2020-02-27,short,3,2020-02-27 10:24:00-05:00,8600.5,8723.0,8355.5,2020-02-27 11:18:00-05:00,8723.25,stop,50000.0,1.5,750.0,248.625,745.875,745.875,51603.0,1.03206,-122.75,-491.0,-736.5,9.375,-745.875
24,2020-03-04,long,3,2020-03-04 10:23:00-05:00,8783.25,8665.0,9019.75,2020-03-04 16:00:00-05:00,8917.0,time_exit,50000.0,1.5,750.0,240.125,720.375,720.375,52699.5,1.05399,133.75,535.0,802.5,9.375,793.125
25,2020-03-05,long,4,2020-03-05 10:19:00-05:00,8784.0,8701.25,8949.5,2020-03-05 12:42:00-05:00,8701.0,stop,50000.0,1.5,750.0,169.125,676.5,676.5,70272.0,1.40544,-83.0,-332.0,-664.0,12.5,-676.5
26,2020-03-06,long,3,2020-03-06 10:26:00-05:00,8479.0,8363.25,8710.5,2020-03-06 14:34:00-05:00,8363.0,stop,50000.0,1.5,750.0,235.125,705.375,705.375,50874.0,1.01748,-116.0,-464.0,-696.0,9.375,-705.375
27,2020-03-10,long,3,2020-03-10 10:21:00-04:00,8247.25,8133.5,8474.75,2020-03-10 10:46:00-04:00,8133.25,stop,50000.0,1.5,750.0,231.125,693.375,693.375,49483.5,0.98967,-114.0,-456.0,-684.0,9.375,-693.375
28,2020-03-11,short,3,2020-03-11 10:31:00-04:00,8119.75,8217.75,7923.75,2020-03-11 15:07:00-04:00,7924.0,target,50000.0,1.5,750.0,199.625,598.875,598.875,48718.5,0.97437,195.75,783.0,1174.5,9.375,1165.125
29,2020-03-24,long,3,2020-03-24 10:26:00-04:00,7439.75,7324.5,7670.25,2020-03-24 14:04:00-04:00,7324.25,stop,50000.0,1.5,750.0,234.125,702.375,702.375,44638.5,0.89277,-115.5,-462.0,-693.0,9.375,-702.375
30,2020-03-27,long,2,2020-03-27 13:40:00-04:00,7703.5,7577.5,7955.5,2020-03-27 15:51:00-04:00,7577.25,stop,50000.0,1.5,750.0,255.625,511.25,511.25,30814.0,0.61628,-126.25,-505.0,-505.0,6.25,-511.25
31,2020-03-30,long,4,2020-03-30 10:04:00-04:00,7717.75,7629.5,7894.25,2020-03-30 20:05:00-04:00,7894.0,target,50000.0,1.5,750.0,180.125,720.5,720.5,61742.0,1.23484,176.25,705.0,1410.0,12.5,1397.5
32,2020-03-31,long,4,2020-03-31 10:07:00-04:00,7876.25,7796.25,8036.25,2020-03-31 15:14:00-04:00,7796.0,stop,50000.0,1.5,750.0,163.625,654.5,654.5,63010.0,1.2602,-80.25,-321.0,-642.0,12.5,-654.5
33,2020-04-01,long,4,2020-04-01 10:33:00-04:00,7634.0,7558.75,7784.5,2020-04-01 12:27:00-04:00,7558.5,stop,50000.0,1.5,750.0,154.125,616.5,616.5,61072.0,1.22144,-75.5,-302.0,-604.0,12.5,-616.5
34,2020-04-02,long,3,2020-04-02 10:13:00-04:00,7523.0,7408.25,7752.5,2020-04-02 16:00:00-04:00,7612.25,time_exit,50000.0,1.5,750.0,233.125,699.375,699.375,45138.0,0.90276,89.25,357.0,535.5,9.375,526.125
35,2020-04-03,short,3,2020-04-03 10:23:00-04:00,7563.25,7661.0,7367.75,2020-04-03 16:00:00-04:00,7515.0,time_exit,50000.0,1.5,750.0,199.125,597.375,597.375,45379.5,0.90759,48.25,193.0,289.5,9.375,280.125
36,2020-04-06,long,3,2020-04-06 10:03:00-04:00,7859.75,7749.75,8079.75,2020-04-06 15:54:00-04:00,8079.5,target,50000.0,1.5,750.0,223.625,670.875,670.875,47158.5,0.94317,219.75,879.0,1318.5,9.375,1309.125
37,2020-04-07,short,2,2020-04-07 10:15:00-04:00,8153.5,8299.25,7862.0,2020-04-07 16:00:00-04:00,8040.75,time_exit,50000.0,1.5,750.0,295.125,590.25,590.25,32614.0,0.65228,112.75,451.0,451.0,6.25,444.75
38,2020-04-08,short,3,2020-04-08 10:08:00-04:00,8052.75,8155.25,7847.75,2020-04-08 11:20:00-04:00,8155.5,stop,50000.0,1.5,750.0,208.625,625.875,625.875,48316.5,0.96633,-102.75,-411.0,-616.5,9.375,-625.875
39,2020-04-09,short,3,2020-04-09 10:16:00-04:00,8210.0,8327.5,7975.0,2020-04-09 16:00:00-04:00,8217.75,time_exit,50000.0,1.5,750.0,238.625,715.875,715.875,49260.0,0.9852,-7.75,-31.0,-46.5,9.375,-55.875
40,2020-04-13,short,4,2020-04-13 11:03:00-04:00,8160.5,8244.5,7992.5,2020-04-13 13:52:00-04:00,8244.75,stop,50000.0,1.5,750.0,171.625,686.5,686.5,65284.0,1.30568,-84.25,-337.0,-674.0,12.5,-686.5
41,2020-04-14,long,2,2020-04-14 10:17:00-04:00,8601.75,8456.5,8892.25,2020-04-14 16:00:00-04:00,8673.75,time_exit,50000.0,1.5,750.0,294.125,588.25,588.25,34407.0,0.68814,72.0,288.0,288.0,6.25,281.75
42,2020-04-16,short,4,2020-04-16 10:04:00-04:00,8618.25,8698.0,8458.75,2020-04-16 10:49:00-04:00,8698.25,stop,50000.0,1.5,750.0,163.125,652.5,652.5,68946.0,1.37892,-80.0,-320.0,-640.0,12.5,-652.5
43,2020-04-17,short,3,2020-04-17 10:46:00-04:00,8755.5,8872.0,8522.5,2020-04-17 16:00:00-04:00,8804.5,time_exit,50000.0,1.5,750.0,236.625,709.875,709.875,52533.0,1.05066,-49.0,-196.0,-294.0,9.375,-303.375
