strategy_id,strategy_group,zone,score_column,threshold,aggregation,n_submodels,selection_column,n_candidate_signal_days_total,n_selected_signal_days_total,n_selected_signal_days_is,n_selected_signal_days_oos,selection_rate_total,overall_n_trades,overall_win_rate,overall_expectancy,overall_profit_factor,overall_sharpe_ratio,overall_cumulative_pnl,overall_max_drawdown,overall_percent_of_days_traded,overall_time_exit_rate,overall_time_exit_win_rate,is_n_trades,is_win_rate,is_expectancy,is_profit_factor,is_sharpe_ratio,is_cumulative_pnl,is_max_drawdown,is_percent_of_days_traded,is_time_exit_rate,is_time_exit_win_rate,oos_n_trades,oos_win_rate,oos_expectancy,oos_profit_factor,oos_sharpe_ratio,oos_cumulative_pnl,oos_max_drawdown,oos_percent_of_days_traded,oos_time_exit_rate,oos_time_exit_win_rate,oos_max_drawdown_abs,is_max_drawdown_abs,delta_sharpe_oos_minus_is,delta_pf_oos_minus_is,delta_expectancy_oos_minus_is,oos_rel_sharpe_vs_baseline,oos_rel_pf_vs_baseline,oos_rel_expectancy_vs_baseline,oos_rel_drawdown_vs_baseline,oos_rel_sharpe_vs_point,oos_rel_pf_vs_point,oos_rel_expectancy_vs_point,oos_rel_drawdown_vs_point,stability_gap,ensemble_score_vs_point
baseline_no_atr,baseline,none,,,none,0,,1340,1340,950,390,1.0,1125,0.4613333333333333,13.394666666666666,1.1476506121489145,0.689927560594245,15069.0,-2659.5,0.5289139633286318,0.3537777777777778,0.7512562814070352,837,0.46833930704898447,13.523297491039427,1.149608432739649,0.7208791125331983,11319.0,-2659.5,0.5625,0.36917562724014336,0.7605177993527508,288,0.4409722222222222,13.020833333333334,1.1420400742396122,0.6128727383638527,3750.0,-1879.0,0.4507042253521127,0.3090277777777778,0.7191011235955056,1879.0,2659.5,-0.10800637416934555,-0.007568358500036787,-0.5024641577060933,0.0,0.0,0.0,0.0,-0.18564595036117068,-0.04518109563771685,-0.25001008389803153,-0.22166045769026077,0.15273017926360444,-0.18469102364041087
ensemble__expanded_q20_25_30__q90_95__majority_50,ensemble,expanded_q20_25_30__q90_95,score__expanded_q20_25_30__q90_95,0.5,majority_50,6,,1340,973,666,307,0.7261194029850746,835,0.48263473053892214,22.834730538922155,1.256297550877759,0.9996913484427905,19067.0,-2126.5,0.3925716972261401,0.325748502994012,0.8272058823529411,589,0.4872665534804754,22.02546689303905,1.2456705140465663,0.9707723389189052,12973.0,-2126.5,0.3958333333333333,0.3361629881154499,0.8434343434343434,246,0.4715447154471545,24.772357723577237,1.2822929936305731,1.0674035926226006,6094.0,-1166.5,0.38497652582159625,0.3008130081300813,0.7837837837837838,1166.5,2126.5,0.09663125370369541,0.036622479584006884,2.746890830538188,0.741639863884597,0.12280910499952771,0.9025170731707317,0.6108015430775825,0.41831147616684106,0.0720793594436448,0.4268686200898797,0.25375053579082724,0.2579680398618943,0.2527739228988037
ensemble__narrow_q20_25__q90_95__majority_50,ensemble,narrow_q20_25__q90_95,score__narrow_q20_25__q90_95,0.5,majority_50,4,,1340,1030,713,317,0.7686567164179104,892,0.4854260089686099,22.669282511210763,1.255615811495822,1.0266133908447215,20221.0,-2083.5,0.41937000470145747,0.33183856502242154,0.8243243243243243,636,0.4937106918238994,23.142295597484278,1.2604260664932676,1.0576073502995704,14718.5,-2083.5,0.4274193548387097,0.3411949685534591,0.847926267281106,256,0.46484375,21.494140625,1.2435812306330234,0.9523988747588905,5502.5,-1288.5,0.40062597809076683,0.30859375,0.759493670886076,1288.5,2083.5,-0.10520847554067991,-0.01684483586024421,-1.648154972484278,0.5539912532272998,0.08891207820445257,0.6507499999999999,0.4582848273185875,0.2654990701689711,0.03971383745803218,0.23804585400532438,0.1350407450523865,0.19327161234871099,0.14371336650316574
ensemble__narrow_q20_25__q90_95__consensus_75,ensemble,narrow_q20_25__q90_95,score__narrow_q20_25__q90_95,0.75,consensus_75,4,,1340,886,619,267,0.6611940298507463,787,0.4841168996188056,22.221728081321473,1.2521846340197267,0.9535545720331484,17488.5,-2126.5,0.3700047014574518,0.3290978398983482,0.8223938223938224,559,0.4919499105545617,22.83542039355993,1.2590431738623105,0.9879963202580553,12765.0,-2126.5,0.3756720430107527,0.3416815742397138,0.8429319371727748,228,0.4649122807017544,20.717105263157894,1.2353454074387784,0.8716506042470619,4723.5,-1499.5,0.3568075117370892,0.2982456140350877,0.7647058823529411,1499.5,2126.5,-0.11634571601099342,-0.023697766423532052,-2.118315130402035,0.4222375212414439,0.0817005771546943,0.5910736842105262,0.25308436145381796,0.15820488497126042,0.032828159926894536,0.19328921893310239,-0.024674891630543514,0.23280792880309087,0.06525557843958482
ensemble__narrow_q20_25__q90_95__consensus_100,ensemble,narrow_q20_25__q90_95,score__narrow_q20_25__q90_95,1.0,consensus_100,4,,1340,886,619,267,0.6611940298507463,787,0.4841168996188056,22.221728081321473,1.2521846340197267,0.9535545720331484,17488.5,-2126.5,0.3700047014574518,0.3290978398983482,0.8223938223938224,559,0.4919499105545617,22.83542039355993,1.2590431738623105,0.9879963202580553,12765.0,-2126.5,0.3756720430107527,0.3416815742397138,0.8429319371727748,228,0.4649122807017544,20.717105263157894,1.2353454074387784,0.8716506042470619,4723.5,-1499.5,0.3568075117370892,0.2982456140350877,0.7647058823529411,1499.5,2126.5,-0.11634571601099342,-0.023697766423532052,-2.118315130402035,0.4222375212414439,0.0817005771546943,0.5910736842105262,0.25308436145381796,0.15820488497126042,0.032828159926894536,0.19328921893310239,-0.024674891630543514,0.23280792880309087,0.06525557843958482
ensemble__expanded_q20_25_30__q90_95__score_ge_0p67,ensemble,expanded_q20_25_30__q90_95,score__expanded_q20_25_30__q90_95,0.6666666666666666,score_ge_0p67,6,,1340,886,619,267,0.6611940298507463,787,0.4841168996188056,22.221728081321473,1.2521846340197267,0.9535545720331484,17488.5,-2126.5,0.3700047014574518,0.3290978398983482,0.8223938223938224,559,0.4919499105545617,22.83542039355993,1.2590431738623105,0.9879963202580553,12765.0,-2126.5,0.3756720430107527,0.3416815742397138,0.8429319371727748,228,0.4649122807017544,20.717105263157894,1.2353454074387784,0.8716506042470619,4723.5,-1499.5,0.3568075117370892,0.2982456140350877,0.7647058823529411,1499.5,2126.5,-0.11634571601099342,-0.023697766423532052,-2.118315130402035,0.4222375212414439,0.0817005771546943,0.5910736842105262,0.25308436145381796,0.15820488497126042,0.032828159926894536,0.19328921893310239,-0.024674891630543514,0.23280792880309087,0.06525557843958482
ensemble__expanded_q20_25_30__q90_95__consensus_75,ensemble,expanded_q20_25_30__q90_95,score__expanded_q20_25_30__q90_95,0.75,consensus_75,6,,1340,830,572,258,0.6194029850746269,732,0.47540983606557374,20.218579234972676,1.2252920805266962,0.8341852039977881,14800.0,-2298.5,0.3441466854724965,0.31830601092896177,0.8197424892703863,512,0.482421875,20.4658203125,1.2275856826375917,0.8452444340771552,10478.5,-2298.5,0.34408602150537637,0.328125,0.8392857142857143,220,0.4590909090909091,19.64318181818182,1.2199180682425383,0.8085398066435424,4321.5,-1337.0,0.3442879499217527,0.29545454545454547,0.7692307692307693,1337.0,2298.5,-0.0367046274336128,-0.007667614395053368,-0.8226384943181806,0.319262150250066,0.06819199760111617,0.5085963636363636,0.4053851907255049,0.07434647459137095,0.01992991279805633,0.1314320601953711,0.09386686611817502,0.0845679672751431,0.059681486811925734
ensemble__expanded_q20_25_30__q90_95__consensus_100,ensemble,expanded_q20_25_30__q90_95,score__expanded_q20_25_30__q90_95,1.0,consensus_100,6,,1340,830,572,258,0.6194029850746269,732,0.47540983606557374,20.218579234972676,1.2252920805266962,0.8341852039977881,14800.0,-2298.5,0.3441466854724965,0.31830601092896177,0.8197424892703863,512,0.482421875,20.4658203125,1.2275856826375917,0.8452444340771552,10478.5,-2298.5,0.34408602150537637,0.328125,0.8392857142857143,220,0.4590909090909091,19.64318181818182,1.2199180682425383,0.8085398066435424,4321.5,-1337.0,0.3442879499217527,0.29545454545454547,0.7692307692307693,1337.0,2298.5,-0.0367046274336128,-0.007667614395053368,-0.8226384943181806,0.319262150250066,0.06819199760111617,0.5085963636363636,0.4053851907255049,0.07434647459137095,0.01992991279805633,0.1314320601953711,0.09386686611817502,0.0845679672751431,0.059681486811925734
point_avg_q22p5_q92p5,point_model,point_model_secondary,,,single_point_avg,1,pass__point_avg_q22p5_q92p5,1340,957,664,293,0.7141791044776119,836,0.4868421052631579,23.13157894736842,1.2620431724866865,1.0162676302964873,19338.0,-2083.5,0.3930418429713211,0.33014354066985646,0.8297101449275363,594,0.49326599326599324,22.53872053872054,1.2538562909449453,0.9997108020141579,13388.0,-2083.5,0.39919354838709675,0.34175084175084175,0.8522167487684729,242,0.47107438016528924,24.58677685950413,1.2825462402355343,1.0557586770737084,5950.0,-1227.5,0.37871674491392804,0.30165289256198347,0.7671232876712328,1227.5,2083.5,0.056047875059550556,0.02868994929058899,2.0480563207835907,0.7226393196933512,0.12303085431522472,0.8882644628099171,0.5307535641547861,0.40283830605935844,0.07229108988230168,0.4161793060411383,0.19144602851323828,0.17560617321072014,0.2482925735890713
point_q20_q90,point_model,point_model,,,single_point,1,pass__point_q20_q90,1340,943,666,277,0.7037313432835821,844,0.48696682464454977,22.088270142180093,1.2517181782584625,0.9817678453391394,18642.5,-2083.5,0.39680300893276915,0.3353080568720379,0.8197879858657244,606,0.49834983498349833,23.944719471947195,1.2738450215143051,1.0755213027533952,14510.5,-2083.5,0.40725806451612906,0.3465346534653465,0.8476190476190476,238,0.4579831932773109,17.361344537815125,1.1960802923171832,0.7525875737164508,4132.0,-1462.5,0.37245696400625977,0.3067226890756303,0.7397260273972602,1462.5,2083.5,-0.3229337290369444,-0.07776472919712196,-6.58337493413207,0.22796712368963562,0.047319020843950496,0.3333512605042015,0.28478632478632476,0.0,0.0,0.0,0.0,0.6756390329960686,-0.1013458549494103
