session_date,phase,selected_by_ensemble,feature_name,bucket_label,risk_multiplier,skip_trade
2019-05-07,is,True,realized_vol_ratio_15_60,high,0.75,False
2019-05-09,is,True,realized_vol_ratio_15_60,high,0.75,False
2019-05-13,is,True,realized_vol_ratio_15_60,high,0.75,False
2019-05-20,is,True,realized_vol_ratio_15_60,low,0.5,False
2019-06-03,is,True,realized_vol_ratio_15_60,high,0.75,False
2019-06-18,is,True,realized_vol_ratio_15_60,low,0.5,False
2019-08-02,is,True,realized_vol_ratio_15_60,low,0.5,False
2019-08-06,is,True,realized_vol_ratio_15_60,low,0.5,False
2019-08-07,is,True,realized_vol_ratio_15_60,mid,1.0,False
2019-08-13,is,True,realized_vol_ratio_15_60,low,0.5,False
2019-08-14,is,True,realized_vol_ratio_15_60,low,0.5,False
2019-08-23,is,True,realized_vol_ratio_15_60,high,0.75,False
2019-09-03,is,True,realized_vol_ratio_15_60,high,0.75,False
2019-10-03,is,True,realized_vol_ratio_15_60,high,0.75,False
2019-10-04,is,True,realized_vol_ratio_15_60,low,0.5,False
2019-12-12,is,True,realized_vol_ratio_15_60,low,0.5,False
2019-12-13,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-01-31,is,True,realized_vol_ratio_15_60,mid,1.0,False
2020-02-05,is,True,realized_vol_ratio_15_60,mid,1.0,False
2020-02-21,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-02-25,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-02-26,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-02-27,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-03-04,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-03-05,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-03-06,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-03-10,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-03-11,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-03-24,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-03-27,is,True,realized_vol_ratio_15_60,high,0.75,False
2020-03-30,is,True,realized_vol_ratio_15_60,mid,1.0,False
2020-03-31,is,True,realized_vol_ratio_15_60,high,0.75,False
2020-04-01,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-04-02,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-04-03,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-04-06,is,True,realized_vol_ratio_15_60,high,0.75,False
2020-04-07,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-04-08,is,True,realized_vol_ratio_15_60,low,0.5,False
2020-04-09,is,True,realized_vol_ratio_15_60,mid,1.0,False
2020-04-13,is,True,realized_vol_ratio_15_60,mid,1.0,False
2020-04-14,is,True,realized_vol_ratio_15_60,mid,1.0,False
2020-04-16,is,True,realized_vol_ratio_15_60,high,0.75,False
2020-04-17,is,True,realized_vol_ratio_15_60,mid,1.0,False
