setup_id,direction,signal_time,baseline_entry_time,baseline_entry_price,baseline_exit_time,baseline_exit_price,baseline_exit_reason,baseline_pnl,bars_to_exit_baseline_1h,baseline_stop_price,baseline_target_price,hybrid_entry_time,hybrid_entry_price,hybrid_after_exit_time,hybrid_after_exit_price,hybrid_after_exit_reason,hybrid_after_entry_fill_pnl,minutes_to_exit_hybrid,hybrid_stop_price,hybrid_target_price,hybrid_time_stop_at,session_date,quantity,fees,initial_stop_price,hybrid_next_entry_time,hybrid_next_entry_price,hybrid_next_exit_time,hybrid_next_exit_price,hybrid_next_exit_reason,hybrid_next_execution_bar_pnl,matched_status,delta_pnl_after_entry_fill,delta_pnl_next_execution_bar,entry_price_delta_ticks,exit_price_delta_ticks,pnl_delta_bucket,divergence_type,divergence_subtype,is_baseline_winner,is_hybrid_winner,winner_flipped,exit_reason_changed,primary_pnl_driver,entry_time,entry_price,stop_price,target_price,evaluation_end_time,mfe_ticks_1m,mae_ticks_1m,mfe_usd_1m,mae_usd_1m,first_touch,first_touch_time,first_touch_minutes_after_entry,baseline_exit_level_touched_before_hybrid_exit,hybrid_stop_touched_before_baseline_target,hybrid_target_touched_before_baseline_stop,min_low_before_target,max_high_before_stop,adverse_excursion_before_favorable_excursion,favorable_excursion_before_adverse_excursion,time_to_mfe_minutes,time_to_mae_minutes,stop_touch_time,target_touch_time,ambiguous_policy_applied
short|2025-02-28 09:30:00-0500,short,2025-02-28 09:30:00-05:00,2025-02-28 10:30:00-05:00,20756.25,2025-02-28 12:30:00-05:00,20583.05,target,343.90000000000146,2.0,20759.0,20582.8,2025-02-28 10:31:00-05:00,20754.75,2025-02-28 10:31:00-05:00,20759.25,stop_1m,-11.5,0.0,20759.0,20581.3,2025-02-28 12:31:00-05:00,2025-02-28,1.0,2.5,20759.0,2025-02-28 10:31:00-05:00,20754.75,2025-02-28 10:32:00-05:00,20759.25,stop_1m,-11.5,matched,-355.40000000000146,-355.40000000000146,-6.0,-704.8000000000029,<=-40,winner_to_loser,stop_reached_on_1min_path_only,True,False,True,True,stop_before_target_effect,2025-02-28 10:31:00-05:00,20754.75,20759.0,20581.3,2025-02-28 12:31:00-05:00,521.0,92.0,260.5,46.0,stop,2025-02-28 10:31:00-05:00,0.0,False,False,False,20624.5,20777.75,True,False,59.0,0.0,2025-02-28 10:31:00-05:00,,
long|2021-12-21 09:30:00-0500,long,2021-12-21 09:30:00-05:00,2021-12-21 10:30:00-05:00,15626.75,2021-12-21 11:30:00-05:00,15771.0375,target,286.0750000000007,1.0,15613.75,15771.2875,2021-12-21 10:31:00-05:00,15638.75,2021-12-21 10:34:00-05:00,15613.5,stop_1m,-53.0,3.0,15613.75,15783.2875,2021-12-21 12:31:00-05:00,2021-12-21,1.0,2.5,15613.75,2021-12-21 10:31:00-05:00,15638.75,2021-12-21 10:34:00-05:00,15613.5,stop_1m,-53.0,matched,-339.0750000000007,-339.0750000000007,-48.0,-630.1500000000015,<=-40,winner_to_loser,stop_reached_on_1min_path_only,True,False,True,True,stop_before_target_effect,2021-12-21 10:31:00-05:00,15638.75,15613.75,15783.2875,2021-12-21 12:31:00-05:00,828.0,134.0,414.0,67.0,stop,2021-12-21 10:34:00-05:00,3.0,False,True,False,15605.25,15644.25,True,False,120.0,7.0,2021-12-21 10:34:00-05:00,,
long|2022-01-10 09:30:00-0500,long,2022-01-10 09:30:00-05:00,2022-01-10 10:30:00-05:00,15233.0,2022-01-10 12:30:00-05:00,15365.4625,target,262.4249999999993,2.0,15194.75,15365.7125,2022-01-10 10:31:00-05:00,15228.25,2022-01-10 10:35:00-05:00,15194.5,stop_1m,-70.0,4.0,15194.75,15360.9625,2022-01-10 12:31:00-05:00,2022-01-10,1.0,2.5,15194.75,2022-01-10 10:31:00-05:00,15228.25,2022-01-10 10:35:00-05:00,15194.5,stop_1m,-70.0,matched,-332.4249999999993,-332.4249999999993,19.0,-683.8499999999985,<=-40,winner_to_loser,stop_reached_on_1min_path_only,True,False,True,True,stop_before_target_effect,2022-01-10 10:31:00-05:00,15228.25,15194.75,15360.9625,2022-01-10 12:31:00-05:00,402.0,303.0,201.0,151.5,stop,2022-01-10 10:35:00-05:00,4.0,False,False,False,15152.5,15244.75,True,False,58.0,18.0,2022-01-10 10:35:00-05:00,,
long|2025-05-12 09:30:00-0400,long,2025-05-12 09:30:00-04:00,2025-05-12 10:30:00-04:00,20741.75,2025-05-12 12:30:00-04:00,20905.4375,target,324.875,2.0,20723.75,20905.6875,,,,,,,,,,,,,,,,,,,,,baseline_only,-324.875,-324.875,,,<=-40,baseline_trade_missing_in_hybrid,missing_data_or_alignment,True,False,False,True,removed_or_missing_trades_effect,,,,,,,,,,,,,,,,,,,,,,,,
long|2022-04-28 09:30:00-0400,long,2022-04-28 09:30:00-04:00,2022-04-28 10:30:00-04:00,13065.5,2022-04-28 11:30:00-04:00,13222.3,target,311.09999999999854,1.0,13063.75,13222.55,2022-04-28 10:31:00-04:00,13064.5,2022-04-28 10:31:00-04:00,13063.5,stop_1m,-4.5,0.0,13063.75,13221.55,2022-04-28 12:31:00-04:00,2022-04-28,1.0,2.5,13063.75,2022-04-28 10:31:00-04:00,13064.5,2022-04-28 10:32:00-04:00,13063.5,stop_1m,-4.5,matched,-315.59999999999854,-315.59999999999854,4.0,-635.1999999999971,<=-40,winner_to_loser,stop_reached_on_1min_path_only,True,False,True,True,stop_before_target_effect,2022-04-28 10:31:00-04:00,13064.5,13063.75,13221.55,2022-04-28 12:31:00-04:00,813.0,124.0,406.5,62.0,stop,2022-04-28 10:31:00-04:00,0.0,False,True,False,13033.5,13074.0,True,False,120.0,10.0,2022-04-28 10:31:00-04:00,,
long|2024-09-24 09:30:00-0400,long,2024-09-24 09:30:00-04:00,2024-09-24 10:30:00-04:00,19987.75,2024-09-24 11:30:00-04:00,20123.7375,target,269.47499999999854,1.0,19963.75,20123.9875,2024-09-24 10:31:00-04:00,19983.25,2024-09-24 10:40:00-04:00,19963.5,stop_1m,-42.0,9.0,19963.75,20119.4875,2024-09-24 12:31:00-04:00,2024-09-24,1.0,2.5,19963.75,2024-09-24 10:31:00-04:00,19983.25,2024-09-24 10:40:00-04:00,19963.5,stop_1m,-42.0,matched,-311.47499999999854,-311.47499999999854,18.0,-640.9499999999971,<=-40,winner_to_loser,stop_reached_on_1min_path_only,True,False,True,True,stop_before_target_effect,2024-09-24 10:31:00-04:00,19983.25,19963.75,20119.4875,2024-09-24 12:31:00-04:00,926.0,125.0,463.0,62.5,stop,2024-09-24 10:40:00-04:00,9.0,False,True,False,19952.0,20012.0,True,False,84.0,10.0,2024-09-24 10:40:00-04:00,,
short|2022-05-02 09:30:00-0400,short,2022-05-02 09:30:00-04:00,2022-05-02 10:30:00-04:00,12982.5,2022-05-02 11:30:00-04:00,12837.6875,target,287.125,1.0,12994.25,12837.4375,,,,,,,,,,,,,,,,,,,,,baseline_only,-287.125,-287.125,,,<=-40,baseline_trade_missing_in_hybrid,missing_data_or_alignment,True,False,False,True,removed_or_missing_trades_effect,,,,,,,,,,,,,,,,,,,,,,,,
long|2024-07-18 10:30:00-0400,long,2024-07-18 10:30:00-04:00,2024-07-18 11:30:00-04:00,19821.75,2024-07-18 12:30:00-04:00,19944.25,target,242.5,1.0,19816.25,19944.5,2024-07-18 11:31:00-04:00,19832.75,2024-07-18 11:31:00-04:00,19816.0,stop_1m,-36.0,0.0,19816.25,19955.5,2024-07-18 13:31:00-04:00,2024-07-18,1.0,2.5,19816.25,2024-07-18 11:31:00-04:00,19832.75,2024-07-18 11:32:00-04:00,19816.0,stop_1m,-36.0,matched,-278.5,-278.5,-44.0,-513.0,<=-40,winner_to_loser,stop_reached_on_1min_path_only,True,False,True,True,stop_before_target_effect,2024-07-18 11:31:00-04:00,19832.75,19816.25,19955.5,2024-07-18 13:31:00-04:00,455.0,240.0,227.5,120.0,stop,2024-07-18 11:31:00-04:00,0.0,False,True,False,19772.75,19835.5,True,False,112.0,32.0,2024-07-18 11:31:00-04:00,,
long|2020-10-06 14:30:00-0400,long,2020-10-06 14:30:00-04:00,2020-10-06 15:30:00-04:00,11325.5,2020-10-07 09:30:00-04:00,11423.025,target,192.54999999999927,1.0,11238.5,11423.275,2020-10-06 15:31:00-04:00,11323.75,2020-10-06 16:00:00-04:00,11283.25,eod_flat_1m,-83.5,29.0,11238.5,11421.525,2020-10-06 17:31:00-04:00,2020-10-06,1.0,2.5,11238.5,2020-10-06 15:31:00-04:00,11323.75,2020-10-06 16:00:00-04:00,11283.25,eod_flat_1m,-83.5,matched,-276.0499999999993,-276.0499999999993,7.0,-559.0999999999985,<=-40,winner_to_loser,target_not_reached_on_1min_path,True,False,True,True,target_not_reached_effect,2020-10-06 15:31:00-04:00,11323.75,11238.5,11421.525,2020-10-07 09:30:00-04:00,102.0,317.0,51.0,158.5,none,,,False,False,False,11244.5,11349.25,False,True,3.0,22.0,,,
long|2026-02-26 09:30:00-0500,long,2026-02-26 09:30:00-05:00,2026-02-26 10:30:00-05:00,24933.25,2026-02-26 11:30:00-05:00,25048.3875,target,227.77500000000143,1.0,24885.0,25048.6375,2026-02-26 10:31:00-05:00,24905.0,2026-02-26 10:34:00-05:00,24884.75,stop_1m,-43.0,3.0,24885.0,25020.3875,2026-02-26 12:31:00-05:00,2026-02-26,1.0,2.5,24885.0,2026-02-26 10:31:00-05:00,24905.0,2026-02-26 10:34:00-05:00,24884.75,stop_1m,-43.0,matched,-270.77500000000146,-270.77500000000146,113.0,-654.5500000000029,<=-40,winner_to_loser,stop_reached_on_1min_path_only,True,False,True,True,stop_before_target_effect,2026-02-26 10:31:00-05:00,24905.0,24885.0,25020.3875,2026-02-26 12:31:00-05:00,722.0,172.0,361.0,86.0,stop,2026-02-26 10:34:00-05:00,3.0,False,True,False,24862.0,24935.0,True,False,55.0,3.0,2026-02-26 10:34:00-05:00,,
