setup_id,direction,signal_time,baseline_entry_time,baseline_entry_price,baseline_exit_time,baseline_exit_price,baseline_exit_reason,baseline_pnl,bars_to_exit_baseline_1h,baseline_stop_price,baseline_target_price,hybrid_entry_time,hybrid_entry_price,hybrid_after_exit_time,hybrid_after_exit_price,hybrid_after_exit_reason,hybrid_after_entry_fill_pnl,minutes_to_exit_hybrid,hybrid_stop_price,hybrid_target_price,hybrid_time_stop_at,session_date,quantity,fees,initial_stop_price,hybrid_next_entry_time,hybrid_next_entry_price,hybrid_next_exit_time,hybrid_next_exit_price,hybrid_next_exit_reason,hybrid_next_execution_bar_pnl,matched_status,delta_pnl_after_entry_fill,delta_pnl_next_execution_bar,entry_price_delta_ticks,exit_price_delta_ticks,pnl_delta_bucket,divergence_type,divergence_subtype,is_baseline_winner,is_hybrid_winner,winner_flipped,exit_reason_changed,primary_pnl_driver,entry_time,entry_price,stop_price,target_price,evaluation_end_time,mfe_ticks_1m,mae_ticks_1m,mfe_usd_1m,mae_usd_1m,first_touch,first_touch_time,first_touch_minutes_after_entry,baseline_exit_level_touched_before_hybrid_exit,hybrid_stop_touched_before_baseline_target,hybrid_target_touched_before_baseline_stop,min_low_before_target,max_high_before_stop,adverse_excursion_before_favorable_excursion,favorable_excursion_before_adverse_excursion,time_to_mfe_minutes,time_to_mae_minutes,stop_touch_time,target_touch_time,ambiguous_policy_applied
short|2019-05-17 09:30:00-0400,short,2019-05-17 09:30:00-04:00,2019-05-17 10:30:00-04:00,7571.5,2019-05-17 11:30:00-04:00,7579.0,stop,-17.5,1.0,7578.75,7533.4875,2019-05-17 10:31:00-04:00,7567.5,2019-05-17 10:44:00-04:00,7579.0,stop_1m,-25.5,13.0,7578.75,7529.4875,2019-05-17 12:31:00-04:00,2019-05-17,1.0,2.5,7578.75,2019-05-17 10:31:00-04:00,7567.5,2019-05-17 10:44:00-04:00,7579.0,stop_1m,-25.5,matched,-8.0,-8.0,-16.0,-0.0,-10:-5,exit_reason_changed,same_entry_different_exit,False,False,False,True,residual_unexplained,2019-05-17 10:31:00-04:00,7567.5,7578.75,7529.4875,2019-05-17 12:31:00-04:00,81.0,209.0,40.5,104.5,stop,2019-05-17 10:44:00-04:00,13.0,True,False,False,7547.25,7579.0,True,False,104.0,37.0,2019-05-17 10:44:00-04:00,,
short|2019-06-04 09:30:00-0400,short,2019-06-04 09:30:00-04:00,2019-06-04 10:30:00-04:00,7085.0,2019-06-04 11:30:00-04:00,7092.5,stop,-17.5,1.0,7092.25,7035.9625,2019-06-04 10:31:00-04:00,7089.75,2019-06-04 11:00:00-04:00,7092.5,stop_1m,-8.0,29.0,7092.25,7040.7125,2019-06-04 12:31:00-04:00,2019-06-04,1.0,2.5,7092.25,2019-06-04 10:31:00-04:00,7089.75,2019-06-04 11:00:00-04:00,7092.5,stop_1m,-8.0,matched,9.5,9.5,19.0,-0.0,5:10,exit_reason_changed,same_entry_different_exit,False,False,False,True,residual_unexplained,2019-06-04 10:31:00-04:00,7089.75,7092.25,7040.7125,2019-06-04 12:31:00-04:00,80.0,212.0,40.0,106.0,stop,2019-06-04 11:00:00-04:00,29.0,False,False,False,7069.75,7092.25,False,True,15.0,79.0,2019-06-04 11:00:00-04:00,,
long|2019-06-05 09:30:00-0400,long,2019-06-05 09:30:00-04:00,2019-06-05 10:30:00-04:00,7176.0,2019-06-05 12:30:00-04:00,7212.75,time_stop,71.0,2.0,7172.75,7224.6875,,,,,,,,,,,,,,,,,,,,,baseline_only,-71.0,-71.0,,,<=-40,baseline_trade_missing_in_hybrid,missing_data_or_alignment,True,False,False,True,removed_or_missing_trades_effect,,,,,,,,,,,,,,,,,,,,,,,,
long|2019-06-25 09:30:00-0400,long,2019-06-25 09:30:00-04:00,2019-06-25 10:30:00-04:00,7714.75,2019-06-25 11:30:00-04:00,7700.5,stop,-31.0,1.0,7700.75,7745.7875,2019-06-25 10:31:00-04:00,7716.5,2019-06-25 10:38:00-04:00,7700.5,stop_1m,-34.5,7.0,7700.75,7747.5375,2019-06-25 12:31:00-04:00,2019-06-25,1.0,2.5,7700.75,2019-06-25 10:31:00-04:00,7716.5,2019-06-25 10:38:00-04:00,7700.5,stop_1m,-34.5,matched,-3.5,-3.5,-7.0,0.0,-5:5,exit_reason_changed,same_entry_different_exit,False,False,False,True,residual_unexplained,2019-06-25 10:31:00-04:00,7716.5,7700.75,7747.5375,2019-06-25 12:31:00-04:00,0.0,145.0,0.0,72.5,stop,2019-06-25 10:38:00-04:00,7.0,True,False,False,7680.25,7716.5,False,True,0.0,26.0,2019-06-25 10:38:00-04:00,,
long|2019-07-01 09:30:00-0400,long,2019-07-01 09:30:00-04:00,2019-07-01 10:30:00-04:00,7804.25,2019-07-01 11:30:00-04:00,7802.5,stop,-6.0,1.0,7802.75,7833.4875,2019-07-01 10:31:00-04:00,7809.25,2019-07-01 10:34:00-04:00,7802.5,stop_1m,-16.0,3.0,7802.75,7838.4875,2019-07-01 12:31:00-04:00,2019-07-01,1.0,2.5,7802.75,2019-07-01 10:31:00-04:00,7809.25,2019-07-01 10:34:00-04:00,7802.5,stop_1m,-16.0,matched,-10.0,-10.0,-20.0,0.0,-20:-10,exit_reason_changed,same_entry_different_exit,False,False,False,True,residual_unexplained,2019-07-01 10:31:00-04:00,7809.25,7802.75,7838.4875,2019-07-01 12:31:00-04:00,23.0,98.0,11.5,49.0,stop,2019-07-01 10:34:00-04:00,3.0,True,False,False,7784.75,7809.25,False,True,16.0,115.0,2019-07-01 10:34:00-04:00,,
long|2019-07-05 09:30:00-0400,long,2019-07-05 09:30:00-04:00,2019-07-05 10:30:00-04:00,7808.5,2019-07-05 11:30:00-04:00,7830.3125,target,41.125,1.0,7803.75,7830.5625,2019-07-05 10:31:00-04:00,7804.25,2019-07-05 10:31:00-04:00,7803.5,stop_1m,-4.0,0.0,7803.75,7826.3125,2019-07-05 12:31:00-04:00,2019-07-05,1.0,2.5,7803.75,2019-07-05 10:31:00-04:00,7804.25,2019-07-05 10:33:00-04:00,7803.5,stop_1m,-4.0,matched,-45.125,-45.125,17.0,-107.25,<=-40,winner_to_loser,stop_reached_on_1min_path_only,True,False,True,True,stop_before_target_effect,2019-07-05 10:31:00-04:00,7804.25,7803.75,7826.3125,2019-07-05 12:31:00-04:00,150.0,29.0,75.0,14.5,stop,2019-07-05 10:31:00-04:00,0.0,False,True,False,7797.0,7807.5,True,False,115.0,15.0,2019-07-05 10:31:00-04:00,,
long|2019-07-08 09:30:00-0400,long,2019-07-08 09:30:00-04:00,2019-07-08 10:30:00-04:00,7794.75,2019-07-08 12:30:00-04:00,7797.25,time_stop,2.5,2.0,7777.75,7820.7,2019-07-08 10:31:00-04:00,7791.0,2019-07-08 12:31:00-04:00,7791.25,time_stop_1m,-2.0,120.0,7777.75,7816.95,2019-07-08 12:31:00-04:00,2019-07-08,1.0,2.5,7777.75,2019-07-08 10:31:00-04:00,7791.0,2019-07-08 12:31:00-04:00,7791.25,time_stop_1m,-2.0,matched,-4.5,-4.5,15.0,-24.0,-5:5,winner_to_loser,target_not_reached_on_1min_path,True,False,True,True,target_not_reached_effect,2019-07-08 10:31:00-04:00,7791.0,7777.75,7816.95,2019-07-08 12:31:00-04:00,75.0,39.0,37.5,19.5,none,,,True,False,False,7781.25,7809.75,False,True,41.0,94.0,,,
short|2019-07-09 09:30:00-0400,short,2019-07-09 09:30:00-04:00,2019-07-09 10:30:00-04:00,7812.75,2019-07-09 11:30:00-04:00,7815.75,stop,-8.5,1.0,7815.5,7786.075,2019-07-09 10:31:00-04:00,7811.75,2019-07-09 10:33:00-04:00,7815.75,stop_1m,-10.5,2.0,7815.5,7785.075,2019-07-09 12:31:00-04:00,2019-07-09,1.0,2.5,7815.5,2019-07-09 10:31:00-04:00,7811.75,2019-07-09 10:33:00-04:00,7815.75,stop_1m,-10.5,matched,-2.0,-2.0,-4.0,-0.0,-5:5,exit_reason_changed,same_entry_different_exit,False,False,False,True,residual_unexplained,2019-07-09 10:31:00-04:00,7811.75,7815.5,7785.075,2019-07-09 12:31:00-04:00,3.0,108.0,1.5,54.0,stop,2019-07-09 10:33:00-04:00,2.0,True,False,False,7811.0,7819.75,False,True,0.0,110.0,2019-07-09 10:33:00-04:00,,
short|2019-07-18 09:30:00-0400,short,2019-07-18 09:30:00-04:00,2019-07-18 10:30:00-04:00,7895.25,2019-07-18 11:30:00-04:00,7873.9625,target,40.07500000000073,1.0,7905.5,7873.7125,2019-07-18 10:31:00-04:00,7898.5,2019-07-18 10:55:00-04:00,7877.2125,target_1m,40.07500000000073,24.0,7905.5,7876.9625,2019-07-18 12:31:00-04:00,2019-07-18,1.0,2.5,7905.5,2019-07-18 10:31:00-04:00,7898.5,2019-07-18 10:55:00-04:00,7877.2125,target_1m,40.07500000000073,matched,0.0,0.0,13.0,-13.0,-5:5,exit_reason_changed,same_entry_different_exit,True,True,False,True,residual_unexplained,2019-07-18 10:31:00-04:00,7898.5,7905.5,7876.9625,2019-07-18 12:31:00-04:00,213.0,6.0,106.5,3.0,target,2019-07-18 10:55:00-04:00,24.0,False,False,False,7875.25,7900.0,True,False,76.0,0.0,,2019-07-18 10:55:00-04:00,
short|2019-07-22 09:30:00-0400,short,2019-07-22 09:30:00-04:00,2019-07-22 10:30:00-04:00,7902.5,2019-07-22 12:30:00-04:00,7908.25,time_stop,-14.0,2.0,7919.5,7870.8875,2019-07-22 10:31:00-04:00,7904.75,2019-07-22 12:31:00-04:00,7905.5,time_stop_1m,-4.0,120.0,7919.5,7873.1375,2019-07-22 12:31:00-04:00,2019-07-22,1.0,2.5,7919.5,2019-07-22 10:31:00-04:00,7904.75,2019-07-22 12:31:00-04:00,7905.5,time_stop_1m,-4.0,matched,10.0,10.0,9.0,11.0,5:10,exit_reason_changed,same_entry_different_exit,False,False,False,True,residual_unexplained,2019-07-22 10:31:00-04:00,7904.75,7919.5,7873.1375,2019-07-22 12:31:00-04:00,67.0,28.0,33.5,14.0,none,,,True,False,False,7888.0,7911.75,True,False,49.0,9.0,,,
