symbol,fold_id,config_id,family,cluster_id,filter_name,stop_multiplier,target_multiplier,entry_delay_minutes,variant_time_stop_bars,stop_zone_fraction,adverse_window_minutes,max_adverse_ticks,train_trades,train_net_pnl,train_gross_profit,train_gross_loss,train_profit_factor,train_win_rate,train_avg_trade,train_median_trade,train_max_drawdown,train_max_daily_drawdown,train_pnl_to_maxdd,train_skip_rate,train_avg_holding_minutes,positive_years_train,years_with_trades_train,max_year_contribution_pct_train,normalized_net_pnl,normalized_profit_factor,normalized_pnl_to_maxdd,trade_count_score,cluster_positive_ratio_train,temporal_stability_train,penalties,train_robust_score,rank_train,selected_in_fold
M2K,fold_1,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,0.75,2.0,15,4,0.5,,,10,32.00000000000841,185.00000000000227,152.99999999999386,1.209150326797449,0.4,3.2000000000008413,-6.749999999998977,-104.99999999999545,-52.49999999999886,0.3047619047619981,0.5490196078431373,100.2,2,2,0.7031249999999928,1.0,1.0,1.0,0.25,0.015625,0.6484375000000036,0.44999999999999996,0.2746093750000006,1,True
M2K,fold_1,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm2p50_d5_ts3_aw5_mt12,delay_adverse_filter,m2k_1h_adverse_core,avoid_immediate_adverse_move,0.75,2.5,5,3,,5.0,12.0,23,12.250000000022965,519.8750000000041,507.6249999999811,1.0241319871953183,0.13043478260869565,0.5326086956531724,-13.49999999999909,-241.8749999999875,-70.87499999999977,0.050645994832138906,0.5882352941176471,67.69565217391305,1,2,0.5134026258205941,0.9810027654202366,0.8406652014633577,0.8177332284048451,0.575,0.125,0.4932986870897029,0.5,0.1862885189719129,2,False
M2K,fold_1,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm1p00_tm2p50_d5_ts3_aw5_mt12,delay_adverse_filter,m2k_1h_adverse_core,avoid_immediate_adverse_move,1.0,2.5,5,3,,5.0,12.0,23,10.375000000020691,572.8750000000059,562.4999999999852,1.0184444444444818,0.17391304347826086,0.45108695652263875,-16.999999999999318,-315.49999999998704,-93.49999999999909,0.032884310618133496,0.5882352941176471,78.56521739130434,1,2,0.508801696712637,0.9791992304917745,0.8357671817301688,0.8049935111605648,0.575,0.125,0.4955991516436815,0.5,0.1832921433896143,3,False
M2K,fold_1,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm2p00_d15_ts3_aw10_mt12,delay_adverse_filter,m2k_1h_adverse_core,avoid_immediate_adverse_move,0.75,2.0,15,3,,10.0,12.0,19,16.37500000001296,399.50000000000273,383.12499999998977,1.0427406199021556,0.15789473684210525,0.86184210526384,-19.874999999999545,-238.12499999999204,-41.24999999999886,0.0687664041995318,0.46078431372549017,92.26315789473684,1,2,0.5191240875912561,0.9849705422628386,0.8566906546684958,0.830730244279565,0.475,0.125,0.49043795620437197,0.5,0.18200599657199934,4,False
M2K,fold_1,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm2p50_d15_ts3_aw10_mt12,delay_adverse_filter,m2k_1h_adverse_core,avoid_immediate_adverse_move,0.75,2.5,15,3,,10.0,12.0,19,16.37500000001296,399.50000000000273,383.12499999998977,1.0427406199021556,0.15789473684210525,0.86184210526384,-19.874999999999545,-238.12499999999204,-41.24999999999886,0.0687664041995318,0.46078431372549017,92.26315789473684,1,2,0.5191240875912561,0.9849705422628386,0.8566906546684958,0.830730244279565,0.475,0.125,0.49043795620437197,0.5,0.18200599657199934,5,False
M2K,fold_1,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_ts3_aw10_mt12,delay_adverse_filter,m2k_1h_adverse_core,avoid_immediate_adverse_move,0.75,3.0,15,3,,10.0,12.0,19,16.37500000001296,399.50000000000273,383.12499999998977,1.0427406199021556,0.15789473684210525,0.86184210526384,-19.874999999999545,-238.12499999999204,-41.24999999999886,0.0687664041995318,0.46078431372549017,92.26315789473684,1,2,0.5191240875912561,0.9849705422628386,0.8566906546684958,0.830730244279565,0.475,0.125,0.49043795620437197,0.5,0.18200599657199934,6,False
M2K,fold_1,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm2p00_d15_ts3_aw5_mt12,delay_adverse_filter,m2k_1h_adverse_core,avoid_immediate_adverse_move,0.75,2.0,15,3,,5.0,12.0,22,2.500000000015916,399.50000000000273,396.9999999999868,1.0062972292191839,0.13636363636363635,0.1136363636370871,-14.74999999999909,-251.9999999999891,-41.24999999999886,0.00992063492069851,0.43137254901960786,85.5,1,2,0.5028280542986605,0.9716243837922384,0.825306196646927,0.7885226218152859,0.55,0.125,0.49858597285066975,0.5,0.17478362447733842,7,False
M2K,fold_1,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm2p50_d15_ts3_aw5_mt12,delay_adverse_filter,m2k_1h_adverse_core,avoid_immediate_adverse_move,0.75,2.5,15,3,,5.0,12.0,22,2.500000000015916,399.50000000000273,396.9999999999868,1.0062972292191839,0.13636363636363635,0.1136363636370871,-14.74999999999909,-251.9999999999891,-41.24999999999886,0.00992063492069851,0.43137254901960786,85.5,1,2,0.5028280542986605,0.9716243837922384,0.825306196646927,0.7885226218152859,0.55,0.125,0.49858597285066975,0.5,0.17478362447733842,8,False
M2K,fold_1,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_ts3_aw5_mt12,delay_adverse_filter,m2k_1h_adverse_core,avoid_immediate_adverse_move,0.75,3.0,15,3,,5.0,12.0,22,2.500000000015916,399.50000000000273,396.9999999999868,1.0062972292191839,0.13636363636363635,0.1136363636370871,-14.74999999999909,-251.9999999999891,-41.24999999999886,0.00992063492069851,0.43137254901960786,85.5,1,2,0.5028280542986605,0.9716243837922384,0.825306196646927,0.7885226218152859,0.55,0.125,0.49858597285066975,0.5,0.17478362447733842,9,False
M2K,fold_1,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm1p00_tm2p00_d5_ts3_aw5_mt12,delay_adverse_filter,m2k_1h_adverse_core,avoid_immediate_adverse_move,1.0,2.0,5,3,,5.0,12.0,23,-52.199999999980946,510.3000000000043,562.4999999999852,0.9072000000000314,0.17391304347826086,-2.269565217390476,-16.999999999999318,-315.49999999998704,-93.49999999999909,-0.16545166402530298,0.5882352941176471,77.30434782608695,1,2,0.5495444191343791,0.9190092581459716,0.7399652672713437,0.6627353668380949,0.575,0.125,0.47522779043281044,0.5,0.12468984158139751,10,False
