symbol,signal_timeframe,fold_id,selected_config_id,selected_family,selected_cluster_id,train_robust_score,train_net_pnl,train_profit_factor,train_trades,test_net_pnl,test_profit_factor,test_trades,test_win_rate,test_avg_trade,test_median_trade,test_max_drawdown,test_max_daily_drawdown,test_fold_sharpe,test_active_days,test_exposure_ratio,test_avg_holding_minutes,raw_hybrid_test_net_pnl,strict_train_only
M2K,1H,fold_1,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,delay_stop_zone_filter,m2k_1h_stop_zone_diag,0.2746093750000006,32.00000000000841,1.209150326797449,10,-42.37499999999841,0.0,2,0.0,-21.187499999999204,-21.187499999999204,-30.0,-30.0,-3.400130479747645,2,0.0425531914893617,16.5,-45.79999999996744,True
M2K,1H,fold_2,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm2p50_d5_ts3_aw5_mt12,delay_adverse_filter,m2k_1h_adverse_core,0.456847798582993,6.125000000035925,1.008169389796647,37,130.12500000001182,1.6830708661418163,15,0.4666666666666667,8.675000000000788,-7.8749999999990905,-119.6249999999975,-52.5,0.7929340592458607,15,0.28846153846153844,77.73333333333333,-164.3999999999687,True
M2K,1H,fold_3,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm2p00_d15_ts3_aw5_mt12,delay_adverse_filter,m2k_1h_adverse_core,0.8089946700351107,330.50000000003365,1.4179576351565513,45,140.40000000000646,1.9131707317073794,14,0.42857142857142855,10.02857142857189,-7.312499999999886,-88.4999999999934,-35.249999999998636,0.7877951128715118,14,0.3181818181818182,90.71428571428571,365.02500000002215,True
M2K,1H,fold_4,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm2p00_d15_ts3_aw5_mt12,delay_adverse_filter,m2k_1h_adverse_core,0.8589984973817051,470.9000000000401,1.4985706723134493,59,69.62500000000205,1.8179148311307316,5,0.2,13.92500000000041,-18.374999999998636,-85.12499999999818,-33.75,0.4379925492074367,5,0.11627906976744186,32.6,13.200000000032333,True
M2K,1H,fold_5,m2k_1h_delay_adverse_filter_avoid_immediate_adverse_move_sm0p75_tm2p00_d15_ts3_aw5_mt8,delay_adverse_filter,m2k_1h_adverse_core,0.8484243686451622,455.9000000000299,1.805832965090669,43,177.00000000000273,4.6875000000002665,3,0.3333333333333333,59.00000000000091,-11.999999999998181,-11.999999999998181,-35.99999999999909,0.867584518941041,3,0.2,89.33333333333333,-120.94999999998208,True
MGC,1H,fold_1,mgc_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d15_ts3_sz0p50,delay_stop_zone_filter,mgc_1h_stop_zone_core,0.42751822635075276,213.0000000000041,10.681818181819168,4,0.0,inf,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,39.60000000000491,True
MGC,1H,fold_2,mgc_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d15_ts3_sz0p50,delay_stop_zone_filter,mgc_1h_stop_zone_core,0.40081202265804594,213.0000000000041,10.681818181819168,4,-48.49999999999227,0.4947916666667185,3,0.3333333333333333,-16.16666666666409,-22.499999999997726,-95.99999999999454,-73.49999999999682,-0.5645389910567308,3,0.5,126.66666666666667,88.15000000000964,True
MGC,1H,fold_3,mgc_1h_raw_hybrid_none_sm1p00_tm1p00_d0_ts4,raw_hybrid,mgc_1h_raw_baseline,0.7039866004526607,121.55000000004065,1.228048780487894,30,-5.2999999999883585,0.9673846153846852,7,0.2857142857142857,-0.7571428571411941,-19.49999999999818,-130.49999999999727,-81.50000000000091,-0.035055565113303065,7,1.0,56.0,-55.49999999998363,True
MGC,1H,fold_4,mgc_1h_none_baseline_none_sm1p00_tm2p50_d5_ts4,none_baseline,mgc_1h_none_core,0.6309790744059441,251.62500000006503,1.4437830687832152,35,562.0000000000027,3.4381778741866396,11,0.5454545454545454,51.09090909090934,16.50000000000091,-95.99999999999909,-68.49999999999909,1.5534680011825985,11,0.8461538461538461,134.27272727272728,200.9500000000162,True
MGC,1H,fold_5,mgc_1h_none_baseline_none_sm1p00_tm2p50_d5_ts4,none_baseline,mgc_1h_none_core,0.7943367847606967,813.6250000000678,2.020219435736823,46,708.9999999999782,inf,2,1.0,354.4999999999891,354.4999999999891,0.0,216.49999999998727,3.6328891874002913,2,0.6666666666666666,240.0,397.89999999998145,True
MNQ,1H,fold_1,mnq_1h_none_baseline_none_sm1p00_tm2p00_d30_ts2,none_baseline,mnq_1h_negative_control_none,0.7452260120603995,1621.050000000003,1.9231492027334869,52,321.5,1.2172297297297296,29,0.3103448275862069,11.086206896551724,-31.5,-483.0,-191.0,0.4217430902465685,28,0.6086956521739131,75.51724137931035,-570.1749999999993,True
MNQ,1H,fold_2,mnq_1h_none_baseline_none_sm1p00_tm2p00_d30_ts2,none_baseline,mnq_1h_negative_control_none,0.9445280881628906,1942.550000000003,1.6002935723114966,81,-4.900000000001455,0.9960768614891902,25,0.4,-0.1960000000000582,-36.5,-359.0,-184.5,-0.007823609374601508,25,0.5555555555555556,66.24,-148.52500000000146,True
MNQ,1H,fold_3,mnq_1h_none_baseline_none_sm1p00_tm2p00_d30_ts3,none_baseline,mnq_1h_negative_control_none,0.9627616716451212,2006.7000000000007,1.378622641509434,106,-251.0,0.8440993788819876,31,0.3548387096774194,-8.096774193548388,-26.5,-579.5,-186.0,-0.3633649024690991,31,0.5849056603773585,107.3225806451613,507.7749999999942,True
MNQ,1H,fold_4,mnq_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p50_d5_ts2_sz1p00,delay_stop_zone_filter,mnq_1h_negative_control_stop_zone,0.8630422533182501,2036.4375,1.4477655013192612,111,-1258.375,0.26577200787688715,25,0.24,-50.335,-52.875,-1211.625,-236.25,-2.7896495690047516,24,0.5454545454545454,46.4,-559.3249999999971,True
MNQ,1H,fold_5,mnq_1h_none_baseline_none_sm1p00_tm2p00_d30_ts3,none_baseline,mnq_1h_negative_control_none,0.9561822954448324,2314.2000000000007,1.2670282120810017,165,314.65000000000146,1.7126840317100827,6,0.3333333333333333,52.44166666666691,-46.25,-362.0,-269.5,0.43598705001739174,6,0.6666666666666666,95.0,408.22499999999854,True
