entity_type,entity_id,year,pnl
sleeve,M2K,2022,-42.37499999999841
sleeve,M2K,2023,130.12500000001182
sleeve,M2K,2024,140.40000000000646
sleeve,M2K,2025,69.62500000000205
sleeve,M2K,2026,177.00000000000273
sleeve,MGC,2023,-48.49999999999227
sleeve,MGC,2024,-5.2999999999883585
sleeve,MGC,2025,562.0000000000027
sleeve,MGC,2026,708.9999999999782
sleeve,MNQ,2022,321.5
sleeve,MNQ,2023,-4.900000000001455
sleeve,MNQ,2024,-251.0
sleeve,MNQ,2025,-1258.375
sleeve,MNQ,2026,314.65000000000146
portfolio,m2k_mgc_capped_equal,2022,-21.187499999999204
portfolio,m2k_mgc_capped_equal,2023,40.81250000000978
portfolio,m2k_mgc_capped_equal,2024,67.55000000000905
portfolio,m2k_mgc_capped_equal,2025,315.8125000000024
portfolio,m2k_mgc_capped_equal,2026,442.99999999999045
portfolio,m2k_mgc_equal_weight,2022,-21.187499999999204
portfolio,m2k_mgc_equal_weight,2023,40.81250000000978
portfolio,m2k_mgc_equal_weight,2024,67.55000000000905
portfolio,m2k_mgc_equal_weight,2025,315.8125000000024
portfolio,m2k_mgc_equal_weight,2026,442.99999999999045
portfolio,m2k_mgc_inverse_vol,2022,-29.427593491668897
portfolio,m2k_mgc_inverse_vol,2023,53.651599443162084
portfolio,m2k_mgc_inverse_vol,2024,57.28269487779479
portfolio,m2k_mgc_inverse_vol,2025,321.14553660669395
portfolio,m2k_mgc_inverse_vol,2026,391.24587902293837
portfolio,m2k_only,2022,-42.37499999999841
portfolio,m2k_only,2023,130.12500000001182
portfolio,m2k_only,2024,140.40000000000646
portfolio,m2k_only,2025,69.62500000000205
portfolio,m2k_only,2026,177.00000000000273
portfolio,mgc_only,2023,-48.49999999999227
portfolio,mgc_only,2024,-5.2999999999883585
portfolio,mgc_only,2025,562.0000000000027
portfolio,mgc_only,2026,708.9999999999782
