config_id,symbol,signal_time,signal_actionable_time,direction,filter_family,filter_label,stop_multiplier,target_multiplier,entry_delay_minutes,skipped_by_filter,filter_reason,executed,pnl,net_pnl_usd,gross_pnl_usd,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,holding_minutes,mfe_ticks_1m,mae_ticks_1m,quantity,session_date,signal_timeframe,family,cluster_id,variant_time_stop_bars,fold_id
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-01-03 09:30:00-05:00,2022-01-03 10:30:00-05:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-01-03 10:46:00-05:00,,2275.5,2282.25,2252.78,,,,,,1,2022-01-03,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-01-10 09:30:00-05:00,2022-01-10 10:30:00-05:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-01-10 10:46:00-05:00,,2136.2,2134.775,2174.16,,,,,,1,2022-01-10,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-01-14 09:30:00-05:00,2022-01-14 10:30:00-05:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-01-14 10:46:00-05:00,,2140.3,2152.675,2111.15,,,,,,1,2022-01-14,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-01-21 10:30:00-05:00,2022-01-21 11:30:00-05:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-01-21 11:46:00-05:00,,2022.0,2038.65,1980.63,,,,,,1,2022-01-21,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-02-24 09:30:00-05:00,2022-02-24 10:30:00-05:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-02-24 10:46:00-05:00,,1920.3000000000002,1934.025,1878.6800000000003,,,,,,1,2022-02-24,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-03-02 09:30:00-05:00,2022-03-02 10:30:00-05:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-03-02 10:46:00-05:00,,2037.9,2041.575,1999.0300000000002,,,,,,1,2022-03-02,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-03-22 09:30:00-04:00,2022-03-22 10:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-03-22 10:46:00-04:00,,2083.4,2093.6,2046.9900000000002,,,,,,1,2022-03-22,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-03-24 09:30:00-04:00,2022-03-24 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-03-24 10:46:00-04:00,,2051.7,2042.7,2081.3599999999997,,,,,,1,2022-03-24,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-03-29 09:30:00-04:00,2022-03-29 10:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-03-29 10:46:00-04:00,,2116.5,2117.925,2090.53,,,,,,1,2022-03-29,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-04-05 09:30:00-04:00,2022-04-05 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-04-05 10:46:00-04:00,,2063.5,2061.625,2089.5699999999997,,,,,,1,2022-04-05,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-04-22 09:30:00-04:00,2022-04-22 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,False,invalid_stop_geometry,False,,,,2022-04-22 10:46:00-04:00,,1965.1,,,,,,,,1,2022-04-22,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-04-26 09:30:00-04:00,2022-04-26 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,False,invalid_stop_geometry,False,,,,2022-04-26 10:46:00-04:00,,1912.6999999999998,,,,,,,,1,2022-04-26,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-05-02 09:30:00-04:00,2022-05-02 10:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,False,invalid_stop_geometry,False,,,,2022-05-02 10:46:00-04:00,,1884.6000000000001,,,,,,,,1,2022-05-02,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-05-04 14:30:00-04:00,2022-05-04 15:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,False,invalid_stop_geometry,False,,,,2022-05-04 15:46:00-04:00,,1947.3000000000002,,,,,,,,1,2022-05-04,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-05-05 09:30:00-04:00,2022-05-05 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-05-05 10:46:00-04:00,,1888.8,1888.425,1935.92,,,,,,1,2022-05-05,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-05-12 09:30:00-04:00,2022-05-12 10:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-05-12 10:46:00-04:00,,1730.6000000000001,1739.075,1676.51,,,,,,1,2022-05-12,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-06-22 09:30:00-04:00,2022-06-22 10:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,False,invalid_stop_geometry,False,,,,2022-06-22 10:46:00-04:00,,1701.6000000000001,,,,,,,,1,2022-06-22,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-06-24 09:30:00-04:00,2022-06-24 10:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-06-24 10:46:00-04:00,,1752.9,1757.625,1722.46,,,,,,1,2022-06-24,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-06-29 09:30:00-04:00,2022-06-29 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-06-29 10:46:00-04:00,,1720.3,1713.1,1747.64,,,,,,1,2022-06-29,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-07-21 09:30:00-04:00,2022-07-21 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-07-21 10:46:00-04:00,,1815.3,1804.6499999999999,1840.43,,,,,,1,2022-07-21,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-07-22 09:30:00-04:00,2022-07-22 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-07-22 10:46:00-04:00,,1826.6,1818.05,1851.02,,,,,,1,2022-07-22,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-07-28 09:30:00-04:00,2022-07-28 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-07-28 10:46:00-04:00,,1838.1999999999998,1832.5,1863.1999999999998,,,,,,1,2022-07-28,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-08-24 09:30:00-04:00,2022-08-24 10:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-08-24 10:46:00-04:00,,1930.8000000000002,1934.1000000000001,1907.88,,,,,,1,2022-08-24,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-08-25 09:30:00-04:00,2022-08-25 10:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-08-25 10:46:00-04:00,,1961.6000000000001,1962.8000000000002,1939.9800000000002,,,,,,1,2022-08-25,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-08-26 09:30:00-04:00,2022-08-26 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,False,invalid_stop_geometry,False,,,,2022-08-26 10:46:00-04:00,,1927.1,,,,,,,,1,2022-08-26,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-08-29 09:30:00-04:00,2022-08-29 10:30:00-04:00,short,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,True,skip_pre_entry_stop_zone_touch,False,,,,2022-08-29 10:46:00-04:00,,1884.4,1894.75,1860.5100000000002,,,,,,1,2022-08-29,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-08-30 09:30:00-04:00,2022-08-30 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,False,invalid_stop_geometry,False,,,,2022-08-30 10:46:00-04:00,,1854.5,,,,,,,,1,2022-08-30,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_ts4_sz0p50,M2K,2022-09-01 09:30:00-04:00,2022-09-01 10:30:00-04:00,long,require_no_stop_zone_touch_before_entry,stop_zone_0p50,0.75,2.0,15,False,invalid_stop_geometry,False,,,,2022-09-01 10:46:00-04:00,,1800.5,,,,,,,,1,2022-09-01,1H,delay_stop_zone_filter,m2k_1h_stop_zone_diag,4,fold_1
