entity_type,entity_id,month,pnl
sleeve,M2K,2022-10,-12.374999999998408
sleeve,M2K,2022-11,-30.0
sleeve,M2K,2023-01,96.12500000000068
sleeve,M2K,2023-03,-52.5
sleeve,M2K,2023-04,-55.12499999999818
sleeve,M2K,2023-05,-11.999999999999318
sleeve,M2K,2023-06,87.00000000000159
sleeve,M2K,2023-07,-27.499999999997726
sleeve,M2K,2023-08,130.50000000000182
sleeve,M2K,2023-09,1.1368683772161603e-12
sleeve,M2K,2023-10,-36.37499999999818
sleeve,M2K,2024-01,-8.249999999999318
sleeve,M2K,2024-03,88.39999999999918
sleeve,M2K,2024-04,-38.499999999997954
sleeve,M2K,2024-05,11.625000000001364
sleeve,M2K,2024-07,29.500000000000455
sleeve,M2K,2024-08,1.5000000000009095
sleeve,M2K,2024-09,-35.249999999998636
sleeve,M2K,2024-12,91.37500000000045
sleeve,M2K,2025-04,154.75000000000023
sleeve,M2K,2025-05,-33.75
sleeve,M2K,2025-08,-23.24999999999818
sleeve,M2K,2025-12,-28.125
sleeve,M2K,2026-01,-35.99999999999909
sleeve,M2K,2026-03,213.00000000000182
sleeve,MGC,2023-01,47.500000000002274
sleeve,MGC,2023-02,-22.499999999997726
sleeve,MGC,2023-05,-73.49999999999682
sleeve,MGC,2024-03,-20.49999999999727
sleeve,MGC,2024-05,99.20000000000528
sleeve,MGC,2024-07,46.50000000000091
sleeve,MGC,2024-09,-29.49999999999818
sleeve,MGC,2024-11,-100.99999999999909
sleeve,MGC,2025-01,21.000000000003638
sleeve,MGC,2025-03,179.00000000000546
sleeve,MGC,2025-05,-68.49999999999909
sleeve,MGC,2025-07,247.50000000000455
sleeve,MGC,2025-09,16.50000000000091
sleeve,MGC,2025-11,166.49999999998727
sleeve,MGC,2026-01,216.49999999998727
sleeve,MGC,2026-03,492.4999999999909
sleeve,MNQ,2022-01,280.0
sleeve,MNQ,2022-02,-49.0
sleeve,MNQ,2022-03,12.0
sleeve,MNQ,2022-04,78.0
sleeve,MNQ,2022-05,127.5
sleeve,MNQ,2022-06,-210.5
sleeve,MNQ,2022-07,299.0
sleeve,MNQ,2022-08,-16.0
sleeve,MNQ,2022-09,194.0
sleeve,MNQ,2022-10,-278.0
sleeve,MNQ,2022-11,-84.0
sleeve,MNQ,2022-12,-31.5
sleeve,MNQ,2023-01,146.0
sleeve,MNQ,2023-02,-39.5
sleeve,MNQ,2023-03,17.0
sleeve,MNQ,2023-04,-114.0
sleeve,MNQ,2023-05,-26.0
sleeve,MNQ,2023-06,-96.0
sleeve,MNQ,2023-07,-32.5
sleeve,MNQ,2023-08,236.5
sleeve,MNQ,2023-09,-81.5
sleeve,MNQ,2023-10,-207.0
sleeve,MNQ,2023-11,-16.0
sleeve,MNQ,2023-12,208.09999999999854
sleeve,MNQ,2024-01,-81.5
sleeve,MNQ,2024-02,-123.5
sleeve,MNQ,2024-03,-51.0
sleeve,MNQ,2024-04,-232.5
sleeve,MNQ,2024-05,2.5
sleeve,MNQ,2024-06,176.0
sleeve,MNQ,2024-07,-136.0
sleeve,MNQ,2024-08,-99.0
sleeve,MNQ,2024-09,274.5
sleeve,MNQ,2024-10,6.5
sleeve,MNQ,2024-11,-56.0
sleeve,MNQ,2024-12,69.0
sleeve,MNQ,2025-01,-133.75
sleeve,MNQ,2025-02,-122.625
sleeve,MNQ,2025-03,-317.625
sleeve,MNQ,2025-05,-117.0
sleeve,MNQ,2025-07,166.5
sleeve,MNQ,2025-08,-187.875
sleeve,MNQ,2025-09,-18.375
sleeve,MNQ,2025-10,-280.125
sleeve,MNQ,2025-11,-214.875
sleeve,MNQ,2025-12,-32.625
sleeve,MNQ,2026-01,9.0
sleeve,MNQ,2026-02,-362.0
sleeve,MNQ,2026-03,667.6500000000015
portfolio,m2k_mgc_capped_equal,2022-10,-6.187499999999204
portfolio,m2k_mgc_capped_equal,2022-11,-15.0
portfolio,m2k_mgc_capped_equal,2023-01,71.81250000000148
portfolio,m2k_mgc_capped_equal,2023-02,-11.249999999998863
portfolio,m2k_mgc_capped_equal,2023-03,-26.25
portfolio,m2k_mgc_capped_equal,2023-04,-27.56249999999909
portfolio,m2k_mgc_capped_equal,2023-05,-42.74999999999807
portfolio,m2k_mgc_capped_equal,2023-06,43.500000000000796
portfolio,m2k_mgc_capped_equal,2023-07,-13.749999999998863
portfolio,m2k_mgc_capped_equal,2023-08,65.25000000000091
portfolio,m2k_mgc_capped_equal,2023-09,5.684341886080801e-13
portfolio,m2k_mgc_capped_equal,2023-10,-18.18749999999909
portfolio,m2k_mgc_capped_equal,2024-01,-4.124999999999659
portfolio,m2k_mgc_capped_equal,2024-03,33.950000000000955
portfolio,m2k_mgc_capped_equal,2024-04,-19.249999999998977
portfolio,m2k_mgc_capped_equal,2024-05,55.41250000000332
portfolio,m2k_mgc_capped_equal,2024-07,38.00000000000068
portfolio,m2k_mgc_capped_equal,2024-08,0.7500000000004547
portfolio,m2k_mgc_capped_equal,2024-09,-32.37499999999841
portfolio,m2k_mgc_capped_equal,2024-11,-50.499999999999545
portfolio,m2k_mgc_capped_equal,2024-12,45.68750000000023
portfolio,m2k_mgc_capped_equal,2025-01,10.500000000001819
portfolio,m2k_mgc_capped_equal,2025-03,89.50000000000273
portfolio,m2k_mgc_capped_equal,2025-04,77.37500000000011
portfolio,m2k_mgc_capped_equal,2025-05,-51.124999999999545
portfolio,m2k_mgc_capped_equal,2025-07,123.75000000000227
portfolio,m2k_mgc_capped_equal,2025-08,-11.62499999999909
portfolio,m2k_mgc_capped_equal,2025-09,8.250000000000455
portfolio,m2k_mgc_capped_equal,2025-11,83.24999999999363
portfolio,m2k_mgc_capped_equal,2025-12,-14.0625
portfolio,m2k_mgc_capped_equal,2026-01,90.24999999999409
portfolio,m2k_mgc_capped_equal,2026-03,352.74999999999636
portfolio,m2k_mgc_equal_weight,2022-10,-6.187499999999204
portfolio,m2k_mgc_equal_weight,2022-11,-15.0
portfolio,m2k_mgc_equal_weight,2023-01,71.81250000000148
portfolio,m2k_mgc_equal_weight,2023-02,-11.249999999998863
portfolio,m2k_mgc_equal_weight,2023-03,-26.25
portfolio,m2k_mgc_equal_weight,2023-04,-27.56249999999909
portfolio,m2k_mgc_equal_weight,2023-05,-42.74999999999807
portfolio,m2k_mgc_equal_weight,2023-06,43.500000000000796
portfolio,m2k_mgc_equal_weight,2023-07,-13.749999999998863
portfolio,m2k_mgc_equal_weight,2023-08,65.25000000000091
portfolio,m2k_mgc_equal_weight,2023-09,5.684341886080801e-13
portfolio,m2k_mgc_equal_weight,2023-10,-18.18749999999909
portfolio,m2k_mgc_equal_weight,2024-01,-4.124999999999659
portfolio,m2k_mgc_equal_weight,2024-03,33.950000000000955
portfolio,m2k_mgc_equal_weight,2024-04,-19.249999999998977
portfolio,m2k_mgc_equal_weight,2024-05,55.41250000000332
portfolio,m2k_mgc_equal_weight,2024-07,38.00000000000068
portfolio,m2k_mgc_equal_weight,2024-08,0.7500000000004547
portfolio,m2k_mgc_equal_weight,2024-09,-32.37499999999841
portfolio,m2k_mgc_equal_weight,2024-11,-50.499999999999545
portfolio,m2k_mgc_equal_weight,2024-12,45.68750000000023
portfolio,m2k_mgc_equal_weight,2025-01,10.500000000001819
portfolio,m2k_mgc_equal_weight,2025-03,89.50000000000273
portfolio,m2k_mgc_equal_weight,2025-04,77.37500000000011
portfolio,m2k_mgc_equal_weight,2025-05,-51.124999999999545
portfolio,m2k_mgc_equal_weight,2025-07,123.75000000000227
portfolio,m2k_mgc_equal_weight,2025-08,-11.62499999999909
portfolio,m2k_mgc_equal_weight,2025-09,8.250000000000455
portfolio,m2k_mgc_equal_weight,2025-11,83.24999999999363
portfolio,m2k_mgc_equal_weight,2025-12,-14.0625
portfolio,m2k_mgc_equal_weight,2026-01,90.24999999999409
portfolio,m2k_mgc_equal_weight,2026-03,352.74999999999636
portfolio,m2k_mgc_inverse_vol,2022-10,-8.593898984291904
portfolio,m2k_mgc_inverse_vol,2022-11,-20.833694507376993
portfolio,m2k_mgc_inverse_vol,2023-01,75.30753826689158
portfolio,m2k_mgc_inverse_vol,2023-02,-9.632758642569101
portfolio,m2k_mgc_inverse_vol,2023-03,-30.02356316733649
portfolio,m2k_mgc_inverse_vol,2023-04,-31.524741325702273
portfolio,m2k_mgc_inverse_vol,2023-05,-38.32954028968979
portfolio,m2k_mgc_inverse_vol,2023-06,49.753333248729945
portfolio,m2k_mgc_inverse_vol,2023-07,-15.726628325746384
portfolio,m2k_mgc_inverse_vol,2023-08,74.6299998730946
portfolio,m2k_mgc_inverse_vol,2023-09,6.501493245008898e-13
portfolio,m2k_mgc_inverse_vol,2023-10,-20.80204019451067
portfolio,m2k_mgc_inverse_vol,2024-01,-3.5436323455160377
portfolio,m2k_mgc_inverse_vol,2024-03,26.275946960816768
portfolio,m2k_mgc_inverse_vol,2024-04,-16.536950945742
portfolio,m2k_mgc_inverse_vol,2024-05,61.583805738356006
portfolio,m2k_mgc_inverse_vol,2024-07,39.197969712270094
portfolio,m2k_mgc_inverse_vol,2024-08,0.644296790094269
portfolio,m2k_mgc_inverse_vol,2024-09,-31.96980436202491
portfolio,m2k_mgc_inverse_vol,2024-11,-57.61734946701168
portfolio,m2k_mgc_inverse_vol,2024-12,39.24841279655228
portfolio,m2k_mgc_inverse_vol,2025-01,10.727456245222513
portfolio,m2k_mgc_inverse_vol,2025-03,91.43879370926462
portfolio,m2k_mgc_inverse_vol,2025-04,75.6988640977193
portfolio,m2k_mgc_inverse_vol,2025-05,-51.50138592959087
portfolio,m2k_mgc_inverse_vol,2025-07,126.43073431867441
portfolio,m2k_mgc_inverse_vol,2025-08,-11.373173442790522
portfolio,m2k_mgc_inverse_vol,2025-09,8.42871562124527
portfolio,m2k_mgc_inverse_vol,2025-11,85.05340308710016
portfolio,m2k_mgc_inverse_vol,2025-12,-13.7578711001509
portfolio,m2k_mgc_inverse_vol,2026-01,65.6862489723521
portfolio,m2k_mgc_inverse_vol,2026-03,325.5596300505863
portfolio,m2k_only,2022-10,-12.374999999998408
portfolio,m2k_only,2022-11,-30.0
portfolio,m2k_only,2023-01,96.12500000000068
portfolio,m2k_only,2023-03,-52.5
portfolio,m2k_only,2023-04,-55.12499999999818
portfolio,m2k_only,2023-05,-11.999999999999318
portfolio,m2k_only,2023-06,87.00000000000159
portfolio,m2k_only,2023-07,-27.499999999997726
portfolio,m2k_only,2023-08,130.50000000000182
portfolio,m2k_only,2023-09,1.1368683772161603e-12
portfolio,m2k_only,2023-10,-36.37499999999818
portfolio,m2k_only,2024-01,-8.249999999999318
portfolio,m2k_only,2024-03,88.39999999999918
portfolio,m2k_only,2024-04,-38.499999999997954
portfolio,m2k_only,2024-05,11.625000000001364
portfolio,m2k_only,2024-07,29.500000000000455
portfolio,m2k_only,2024-08,1.5000000000009095
portfolio,m2k_only,2024-09,-35.249999999998636
portfolio,m2k_only,2024-12,91.37500000000045
portfolio,m2k_only,2025-04,154.75000000000023
portfolio,m2k_only,2025-05,-33.75
portfolio,m2k_only,2025-08,-23.24999999999818
portfolio,m2k_only,2025-12,-28.125
portfolio,m2k_only,2026-01,-35.99999999999909
portfolio,m2k_only,2026-03,213.00000000000182
portfolio,mgc_only,2023-01,47.500000000002274
portfolio,mgc_only,2023-02,-22.499999999997726
portfolio,mgc_only,2023-05,-73.49999999999682
portfolio,mgc_only,2024-03,-20.49999999999727
portfolio,mgc_only,2024-05,99.20000000000528
portfolio,mgc_only,2024-07,46.50000000000091
portfolio,mgc_only,2024-09,-29.49999999999818
portfolio,mgc_only,2024-11,-100.99999999999909
portfolio,mgc_only,2025-01,21.000000000003638
portfolio,mgc_only,2025-03,179.00000000000546
portfolio,mgc_only,2025-05,-68.49999999999909
portfolio,mgc_only,2025-07,247.50000000000455
portfolio,mgc_only,2025-09,16.50000000000091
portfolio,mgc_only,2025-11,166.49999999998727
portfolio,mgc_only,2026-01,216.49999999998727
portfolio,mgc_only,2026-03,492.4999999999909
