portfolio_name,selection_basis,deployable,net_pnl,gross_profit,gross_loss,profit_factor,positive_folds,fold_count,fold_sharpe,max_drawdown,monthly_positive_ratio,weights_last_json,improvement_vs_m2k_only,cluster_positive_ratio,verdict
m2k_mgc_capped_equal,strict_train_only,True,845.9875000000125,1350.3624999999938,504.37499999998124,2.677298636926977,4,5,2.1181142484204254,-107.81249999999602,0.53125,"{""M2K"": 0.5, ""MGC"": 0.5}",371.2124999999878,1.0,watchlist
m2k_mgc_equal_weight,strict_train_only,True,845.9875000000125,1350.3624999999938,504.37499999998124,2.677298636926977,4,5,2.1181142484204254,-107.81249999999602,0.53125,"{""M2K"": 0.5, ""MGC"": 0.5}",371.2124999999878,1.0,watchlist
m2k_mgc_inverse_vol,strict_train_only,True,793.8981164589204,1320.166363395036,526.2682469361154,2.50854268917215,4,5,2.143489576934369,-119.04554412687284,0.53125,"{""M2K"": 0.5972821822876963, ""MGC"": 0.40271781771230364}",319.12311645889577,1.0,watchlist
m2k_only,strict_train_only,True,474.77500000002465,994.525000000009,519.7499999999843,1.9134680134680884,4,5,2.762622753452791,-133.12499999999545,0.44,"{""M2K"": 1.0}",0.0,1.0,weak_watchlist
mgc_only,strict_train_only,True,1217.2000000000003,1706.1999999999784,488.9999999999782,3.4891615541923406,2,4,1.8134645101806197,-264.99999999999545,0.625,"{""MGC"": 1.0}",742.4249999999756,1.0,reject
