symbol,cluster_id,family,configs,median_is_net_pnl,median_oos_net_pnl,median_fixed_wfa_net_pnl,pct_configs_positive_oos,pct_configs_positive_fixed_wfa,median_neighbor_oos_pnl,selected_in_any_fold
M2K,m2k_1h_adverse_core,delay_adverse_filter,64,-80.36874999995575,262.95000000001266,388.00000000002626,1.0,1.0,262.95000000001266,3
M2K,m2k_1h_none_local,none_baseline,36,-1002.7937499998689,743.7187500000698,410.0125000001242,1.0,0.9444444444444444,743.7187500000698,0
M2K,m2k_1h_raw_baseline,raw_hybrid,2,-1336.187499999827,286.475000000072,97.51250000013556,1.0,1.0,286.475000000072,0
M2K,m2k_1h_stop_zone_diag,delay_stop_zone_filter,64,-774.974999999921,557.8125000000335,221.53125000010618,0.890625,0.78125,557.8125000000335,1
MGC,mgc_1h_adverse_diag,delay_adverse_filter,64,-1.1249999999040483,-61.749999999992724,-32.374999999984766,0.09375,0.40625,-61.749999999992724,0
MGC,mgc_1h_none_core,none_baseline,54,215.3750000001662,797.4999999999818,733.5000000000105,0.8888888888888888,0.8888888888888888,797.4999999999818,1
MGC,mgc_1h_raw_baseline,raw_hybrid,3,-316.2999999998556,753.5500000000093,862.6000000000249,1.0,1.0,753.5500000000093,1
MGC,mgc_1h_stop_zone_core,delay_stop_zone_filter,64,-158.6499999998773,329.62500000001,409.87500000002683,0.875,0.875,329.62500000001,1
MNQ,mnq_1h_negative_control_adverse,delay_adverse_filter,32,73.30000000000109,503.5750000000007,108.5,1.0,0.8125,503.5750000000007,0
MNQ,mnq_1h_negative_control_none,none_baseline,8,1287.1625000000013,380.4312499999978,606.6124999999975,0.75,1.0,380.4312499999978,2
MNQ,mnq_1h_negative_control_raw,raw_hybrid,2,-1764.1250000000055,756.9874999999956,168.2874999999949,1.0,0.5,756.9874999999956,0
MNQ,mnq_1h_negative_control_stop_zone,delay_stop_zone_filter,32,-459.9937499999969,314.94374999999854,138.11874999999964,0.5625,0.53125,314.94374999999854,1
