entity_type,entity_id,entry_hour,pnl,trades
sleeve,M2K,10,533.2750000000237,36
sleeve,M2K,11,1.5000000000009095,1
sleeve,M2K,13,-33.75,1
sleeve,M2K,14,-26.25,1
sleeve,MGC,10,993.6999999999944,17
sleeve,MGC,11,275.0000000000023,3
sleeve,MGC,12,-51.49999999999636,3
sleeve,MNQ,10,-1514.375,22
sleeve,MNQ,11,-244.75,83
sleeve,MNQ,12,225.5,6
sleeve,MNQ,14,223.5,1
sleeve,MNQ,15,432.0,4
