asset,variant_name,family,horizon,description,parameters_json,skipped_trades,downscaled_trades,losers_avoided,winners_sacrificed,losers_avoided_usd,winners_sacrificed_usd,downscaled_losers,downscaled_winners,downsizing_loss_saved_usd,downsizing_profit_given_up_usd,overall_net_pnl,overall_sharpe,overall_sortino,overall_max_drawdown,overall_profit_factor,overall_win_rate,overall_average_trade,overall_trade_count,overall_n_days_traded,overall_participation_rate,overall_trades_per_month,overall_longest_losing_streak_trade,overall_longest_losing_streak_daily,is_net_pnl,is_sharpe,is_sortino,is_max_drawdown,is_profit_factor,is_win_rate,is_average_trade,is_trade_count,is_n_days_traded,is_participation_rate,is_trades_per_month,is_longest_losing_streak_trade,is_longest_losing_streak_daily,oos_net_pnl,oos_sharpe,oos_sortino,oos_max_drawdown,oos_profit_factor,oos_win_rate,oos_average_trade,oos_trade_count,oos_n_days_traded,oos_participation_rate,oos_trades_per_month,oos_longest_losing_streak_trade,oos_longest_losing_streak_daily,oos_sharpe_delta_vs_baseline,oos_max_drawdown_improvement_vs_baseline,oos_trade_retention_vs_baseline,oos_net_pnl_retention_vs_baseline
MNQ,three_state_modulation__session__t80__m50,three_state_modulation,session,"Three-state sizing: 1.0 in favorable semivariance states, 50% in neutral states, 0 in hostile states.","{""horizon"": ""session"", ""multiplier"": 0.5, ""threshold"": 0.8}",112,162,54,58,25985.5,20023.5,87,75,25655.5,28939.0,49696.5,0.8973920792517494,0.8216619550547092,-8040.5,1.19509021104202,0.49107142857142855,49.302083333333336,1008,1008,0.5769891242129365,12.116771608471666,11,6,14162.5,0.36929835735794864,0.33425797732843354,-8040.5,1.0752262097941472,0.46769662921348315,19.891151685393258,712,712,0.5826513911620295,12.23567921440262,11,6,35534.0,2.096164608368076,1.963297651517182,-6353.0,1.534583010508421,0.5472972972972973,120.04729729729729,296,296,0.5638095238095238,11.84,7,4,0.19088344283733782,0.3494111623143881,0.8731563421828908,0.9988475052705552
MNQ,three_state_modulation__session__t85__m25,three_state_modulation,session,"Three-state sizing: 1.0 in favorable semivariance states, 25% in neutral states, 0 in hostile states.","{""horizon"": ""session"", ""multiplier"": 0.25, ""threshold"": 0.85}",86,151,42,44,20468.5,16704.0,76,75,35488.5,38858.0,47413.0,0.8507666444186971,0.7430542860932857,-8541.0,1.189333919016053,0.4890829694323144,51.76091703056768,916,916,0.524327418431597,11.010875787063538,10,6,11151.0,0.2912431568826769,0.24977659679867922,-8174.5,1.0606050724342304,0.4666666666666667,17.288372093023256,645,645,0.527823240589198,11.084288052373159,10,6,36262.0,2.0908381672898173,1.8923664567765965,-5902.0,1.5459048106525355,0.5424354243542435,133.80811808118082,271,271,0.5161904761904762,10.84,6,4,0.1855570017590793,0.39559651817716335,0.799410029498525,1.0193113141250878
MNQ,three_state_modulation__session__t85__m50,three_state_modulation,session,"Three-state sizing: 1.0 in favorable semivariance states, 50% in neutral states, 0 in hostile states.","{""horizon"": ""session"", ""multiplier"": 0.5, ""threshold"": 0.85}",86,151,42,44,20468.5,16704.0,76,75,22496.0,24999.5,48279.0,0.8579796907970125,0.7924974596421934,-9166.5,1.1832828738195795,0.49177153920619554,46.73668925459826,1033,1033,0.59129937034917,12.41728677733257,11,6,11839.0,0.30602781559060793,0.2775871938671643,-9166.5,1.061277674978326,0.4696969696969697,16.30716253443526,726,726,0.5941080196399345,12.476268412438625,11,6,36440.0,2.0836909682794666,1.9952230779039017,-6389.5,1.519014385415183,0.5439739413680782,118.6970684039088,307,307,0.5847619047619048,12.28,6,4,0.17840980274872864,0.34567332309267795,0.9056047197640118,1.0243148278285312
MNQ,three_state_modulation__90m__t80__m25,three_state_modulation,90m,"Three-state sizing: 1.0 in favorable semivariance states, 25% in neutral states, 0 in hostile states.","{""horizon"": ""90m"", ""multiplier"": 0.25, ""threshold"": 0.8}",97,181,43,54,23645.5,21932.0,95,86,46319.5,51661.0,43390.0,0.8037290634052838,0.690276431690982,-8378.5,1.1835355227315025,0.48755656108597284,49.08371040723982,884,884,0.5060103033772181,10.62621637092158,11,6,8566.0,0.2322929621854099,0.1943363160210049,-8378.5,1.0494997154026402,0.4678456591639871,13.771704180064308,622,622,0.5090016366612111,10.689034369885434,11,6,34824.0,2.0486951245629217,1.8560981946709247,-6664.5,1.5496168748668335,0.5343511450381679,132.91603053435114,262,262,0.4990476190476191,10.48,5,4,0.14341395903218368,0.3175115207373272,0.7728613569321534,0.9788896697118763
MNQ,three_state_modulation__session__t80__m75,three_state_modulation,session,"Three-state sizing: 1.0 in favorable semivariance states, 75% in neutral states, 0 in hostile states.","{""horizon"": ""session"", ""multiplier"": 0.75, ""threshold"": 0.8}",112,162,54,58,25985.5,20023.5,87,75,11875.0,13078.0,51777.0,0.9095400498358411,0.8370561998027648,-9547.5,1.1928261391758048,0.49217221135029354,50.66242661448141,1022,1022,0.5850028620492272,12.285060103033773,11,6,16072.5,0.40782937599830044,0.37074962016696283,-9547.5,1.081520705422287,0.47009735744089015,22.35396383866481,719,719,0.588379705400982,12.355973813420622,11,6,35704.5,2.0468061897946117,1.9311520328373617,-7006.0,1.500357353064828,0.5445544554455446,117.83663366336634,303,303,0.5771428571428572,12.12,7,4,0.1415250242638737,0.28253968253968254,0.8938053097345132,1.003640196767393
MNQ,three_state_modulation__session__t80__m25,three_state_modulation,session,"Three-state sizing: 1.0 in favorable semivariance states, 25% in neutral states, 0 in hostile states.","{""horizon"": ""session"", ""multiplier"": 0.25, ""threshold"": 0.8}",112,162,54,58,25985.5,20023.5,87,75,40870.0,45927.5,47922.5,0.8762868844046022,0.7516452124878533,-8790.0,1.2000759848280844,0.4920814479638009,54.210972850678736,884,884,0.5060103033772181,10.62621637092158,10,5,13819.0,0.36470277039613286,0.3101349352273849,-7528.5,1.0777280614669842,0.46899841017488075,21.9697933227345,629,629,0.5147299509001637,10.809328968903436,10,5,34103.5,2.038985612461296,1.7754527987076514,-6462.5,1.552417591317729,0.5490196078431373,133.73921568627452,255,255,0.4857142857142857,10.2,5,4,0.13370444693055816,0.33819764464925756,0.7522123893805309,0.9586366830639494
MNQ,adverse_hard_skip__session__t80,adverse_hard_skip,session,Skip trades when the directional adverse semivariance percentile is >= 80%.,"{""horizon"": ""session"", ""multiplier"": null, ""threshold"": 0.8}",112,0,54,58,25985.5,20023.5,0,0,0.0,0.0,52980.0,0.9000752871927854,0.8263980548567499,-11569.0,1.188950092994973,0.49217221135029354,51.839530332681015,1022,1022,0.5850028620492272,12.285060103033773,11,6,16265.5,0.3999835986222745,0.3631125173961546,-11569.0,1.0792296957312753,0.47009735744089015,22.62239221140473,719,719,0.588379705400982,12.355973813420622,11,6,36714.5,2.0263381557160773,1.899954212397154,-8215.5,1.4889008735485245,0.5445544554455446,121.16996699669967,303,303,0.5771428571428572,12.12,7,4,0.12105699018533933,0.158678955453149,0.8938053097345132,1.0320309205903022
MNQ,adverse_downsize__session__t80__m25,adverse_downsize,session,Downsize to 25% of nominal risk when the directional adverse semivariance percentile is >= 80%.,"{""horizon"": ""session"", ""multiplier"": 0.25, ""threshold"": 0.8}",0,112,0,0,-0.0,0.0,54,58,25671.0,19962.0,52727.0,0.8957150916311147,0.8239177059226167,-11507.5,1.187837096463916,0.4917073170731707,51.440975609756094,1025,1025,0.5867200915855753,12.321121923297081,11,6,16187.5,0.39805073350168707,0.3618178808725981,-11507.5,1.0787962129140605,0.47018030513176146,22.45145631067961,721,721,0.5900163666121113,12.390343698854338,11,6,36539.5,2.0163274666985926,1.897120294560079,-8215.5,1.4854392794037545,0.5427631578947368,120.19572368421052,304,304,0.579047619047619,12.16,7,4,0.11104630116785463,0.158678955453149,0.8967551622418879,1.027111735769501
MNQ,three_state_modulation__90m__t80__m50,three_state_modulation,90m,"Three-state sizing: 1.0 in favorable semivariance states, 50% in neutral states, 0 in hostile states.","{""horizon"": ""90m"", ""multiplier"": 0.5, ""threshold"": 0.8}",97,181,43,54,23645.5,21932.0,95,86,29270.5,32560.0,45442.0,0.8293235798731237,0.7634080079719227,-9459.0,1.1792859650991672,0.48823529411764705,44.550980392156866,1020,1020,0.5838580423583286,12.2610188895249,11,8,10777.0,0.287502926676297,0.2579808618151718,-9459.0,1.058311577637399,0.4692737430167598,15.05167597765363,716,716,0.5859247135842881,12.304418985270049,11,8,34665.0,2.0145573328378164,1.955246710808434,-7085.0,1.5050004734607063,0.5328947368421053,114.02960526315789,304,304,0.579047619047619,12.16,6,4,0.10927616730707834,0.27444956477214544,0.8967551622418879,0.9744202389318342
MNQ,three_state_modulation__session__t85__m75,three_state_modulation,session,"Three-state sizing: 1.0 in favorable semivariance states, 75% in neutral states, 0 in hostile states.","{""horizon"": ""session"", ""multiplier"": 0.75, ""threshold"": 0.85}",86,151,42,44,20468.5,16704.0,76,75,10667.0,11257.5,50192.0,0.872823538722662,0.809759286166647,-10323.0,1.1823562217180186,0.4933206106870229,47.89312977099237,1048,1048,0.5998855180309102,12.597595878649113,11,6,14467.0,0.36517036860827085,0.3334563692273893,-10323.0,1.0719663523600358,0.47210884353741495,19.68299319727891,735,735,0.6014729950900164,12.630932896890345,11,6,35725.0,2.0063773055995644,1.9213031964593617,-6877.0,1.481358718352938,0.5431309904153354,114.1373801916933,313,313,0.5961904761904762,12.52,6,4,0.10109614006882639,0.2957501280081925,0.9233038348082596,1.0042164441321153
