session_date,daily_pnl_usd,rolling_sharpe,rolling_expectancy
2019-05-06,-23.589285714286234,,
2019-05-07,84.5,,
2019-05-08,-63.76785714285688,,
2019-05-09,104.54285714285652,,
2019-05-10,327.5,,
2019-05-13,-18.585714285714857,,
2019-05-14,13.83214285714348,,
2019-05-15,242.5,,
2019-05-16,51.0,,
2019-05-17,-65.33571428571486,,
2019-05-20,-29.914285714285143,,
2019-05-21,-39.25714285714275,,
2019-05-22,-44.12857142857138,,
2019-05-23,-46.00357142857138,,
2019-05-24,87.0,,
2019-05-27,-16.171428571429715,,
2019-05-28,-60.328571428570285,,
2019-05-29,-39.77857142857101,,
2019-05-30,-49.274999999999636,,
2019-05-31,-22.40714285714239,3.0321613087295285,19.616607142857173
2019-06-03,-47.78928571428514,2.8274424422777997,18.40660714285723
2019-06-04,212.5,3.5501360597271083,24.806607142857228
2019-06-05,-29.682142857142026,3.8326624822989173,26.51089285714297
2019-06-06,-34.38214285714275,2.848277478318079,19.564642857143006
2019-06-07,116.0,1.6476208635545817,8.989642857143007
2019-06-10,27.79285714285652,2.076195924006876,11.308571428571577
2019-06-11,53.639285714285506,2.427802159192215,13.298928571428679
2019-06-12,-33.87142857142862,-0.118387207452806,-0.5196428571427532
2019-06-13,-29.5,-1.0469720865637753,-4.544642857142753
2019-06-14,-69.34285714285761,-1.0902489381635336,-4.744999999999891
2019-06-17,-10.617857142857247,-0.8713871806899283,-3.780178571428496
2019-06-18,-42.807142857142026,-0.9110372419274982,-3.9576785714284597
2019-06-19,-27.807142857142026,-0.7272387329358492,-3.141607142856992
2019-06-20,-2.9500000000007276,-0.23130859444360252,-0.9889285714284597
2019-06-24,-25.971428571428987,-1.622291327595781,-6.637499999999909
2019-06-25,187.52142857142826,0.7272478267636797,3.5471428571429895
2019-06-26,-30.807142857143845,1.042756139349129,5.023214285714312
2019-06-27,-33.600000000000364,1.1093421061443687,5.332142857142844
2019-06-28,-1.5,1.6277727602053118,7.720892857142826
2019-07-01,52.57142857142935,2.409422381566482,11.469821428571413
2019-07-02,-19.421428571429715,2.7387016993310813,12.888214285714184
2019-07-03,79.0,1.6079627384709851,6.2132142857141845
2019-07-04,-16.160714285713766,1.7924458514084107,6.889285714285597
2019-07-05,74.78214285714239,3.1638459459337414,12.347499999999854
