session_date,daily_pnl_usd,daily_trade_count,equity,peak_equity,drawdown_usd,drawdown_pct
2019-05-07,57.5,1.0,50057.5,50057.5,0.0,0.0
2019-05-09,-136.0,1.0,49921.5,50057.5,-136.0,-0.002716875593067972
2019-05-13,69.0,1.0,49990.5,50057.5,-67.0,-0.0013384607701143684
2019-05-20,-55.5,1.0,49935.0,50057.5,-122.5,-0.0024471857364031365
2019-06-03,119.5,1.0,50054.5,50057.5,-3.0,-5.993107925885232e-05
2019-06-18,-90.0,1.0,49964.5,50057.5,-93.0,-0.001857863457024422
2019-08-02,34.0,1.0,49998.5,50057.5,-59.0,-0.001178644558757429
2019-08-06,-93.5,1.0,49905.0,50057.5,-152.5,-0.0030464965289916596
2019-08-07,198.0,1.0,50103.0,50103.0,0.0,0.0
2019-08-13,-73.5,1.0,50029.5,50103.0,-73.5,-0.001466978025267948
2019-08-14,201.0,1.0,50230.5,50230.5,0.0,0.0
2019-08-23,-125.0,1.0,50105.5,50230.5,-125.0,-0.0024885278864434954
2019-09-03,-2.5,1.0,50103.0,50230.5,-127.5,-0.0025382984441723656
2019-10-03,-153.5,1.0,49949.5,50230.5,-281.0,-0.005594210688724978
2019-10-04,69.0,1.0,50018.5,50230.5,-212.0,-0.004220543295408169
2019-12-12,-28.5,1.0,49990.0,50230.5,-240.5,-0.004787927653517285
2019-12-13,-7.5,1.0,49982.5,50230.5,-248.0,-0.004937239326703895
2020-01-31,193.5,1.0,50176.0,50230.5,-54.5,-0.001084998158489364
2020-02-05,-23.5,1.0,50152.5,50230.5,-78.0,-0.0015528414011407412
2020-02-21,36.5,1.0,50189.0,50230.5,-41.5,-0.0008261912582992405
2020-02-25,405.0,1.0,50594.0,50594.0,0.0,0.0
2020-02-26,-277.0,1.0,50317.0,50594.0,-277.0,-0.0054749575048424716
2020-02-27,-248.0,1.0,50069.0,50594.0,-525.0,-0.010376724512788078
2020-03-04,265.0,1.0,50334.0,50594.0,-260.0,-0.005138949282523619
2020-03-05,-168.5,1.0,50165.5,50594.0,-428.5,-0.008469383721389888
2020-03-06,-234.5,1.0,49931.0,50594.0,-663.0,-0.013104320670435229
2020-03-10,-230.5,1.0,49700.5,50594.0,-893.5,-0.017660196861287898
2020-03-11,389.0,1.0,50089.5,50594.0,-504.5,-0.009971538127050638
2020-03-24,-233.5,1.0,49856.0,50594.0,-738.0,-0.014586709886547812
2020-03-27,-255.0,1.0,49601.0,50594.0,-993.0,-0.019626833221330593
2020-03-30,350.0,1.0,49951.0,50594.0,-643.0,-0.012709016879471874
2020-03-31,-163.0,1.0,49788.0,50594.0,-806.0,-0.01593074277582322
2020-04-01,-153.5,1.0,49634.5,50594.0,-959.5,-0.018964699371466973
2020-04-02,176.0,1.0,49810.5,50594.0,-783.5,-0.015486026010989445
2020-04-03,94.0,1.0,49904.5,50594.0,-689.5,-0.013628098193461675
2020-04-06,437.0,1.0,50341.5,50594.0,-252.5,-0.004990710360912361
2020-04-07,223.0,1.0,50564.5,50594.0,-29.5,-0.0005830730916709491
2020-04-08,-208.0,1.0,50356.5,50594.0,-237.5,-0.0046942325176898446
2020-04-09,-18.0,1.0,50338.5,50594.0,-255.5,-0.005050005929556864
2020-04-13,-171.0,1.0,50167.5,50594.0,-426.5,-0.008429853342293552
2020-04-14,141.5,1.0,50309.0,50594.0,-285.0,-0.005633079021227814
2020-04-16,-162.5,1.0,50146.5,50594.0,-447.5,-0.008844922322805076
2020-04-17,-100.5,1.0,50046.0,50594.0,-548.0,-0.010831323872395937
2020-04-20,-127.0,1.0,49919.0,50594.0,-675.0,-0.013341502945013243
2020-04-21,174.5,1.0,50093.5,50594.0,-500.5,-0.009892477368857967
2020-04-22,82.5,1.0,50176.0,50594.0,-418.0,-0.008261849231134127
2020-04-23,-174.5,1.0,50001.5,50594.0,-592.5,-0.011710874807289402
