direction,trades,net_pnl_usd,avg_trade_pnl_usd,win_rate,profit_factor
long,9112,-4263.0,-0.4678446005267779,0.20116330114135206,0.9804505588993981
short,8942,-10584.5,-1.183683739655558,0.19022590024602998,0.950478280296349
