session_date,daily_pnl_usd,rolling_sharpe,rolling_expectancy
2019-05-06,182.5,,
2019-05-07,122.5,,
2019-05-08,-204.5,,
2019-05-09,-106.5,,
2019-05-10,-57.0,,
2019-05-13,-28.0,,
2019-05-14,-13.0,,
2019-05-15,147.0,,
2019-05-16,-18.0,,
2019-05-17,-115.0,,
2019-05-20,-222.5,,
2019-05-21,-129.5,,
2019-05-22,-164.5,,
2019-05-23,-303.0,,
2019-05-24,66.0,,
2019-05-27,-153.5,,
2019-05-28,36.5,,
2019-05-29,-209.0,,
2019-05-30,-77.0,,
2019-05-31,-47.5,-8.077293390251345,-64.7
2019-06-03,-288.5,-11.414519243815965,-88.25
2019-06-04,137.0,-11.203991292933077,-87.525
2019-06-05,1.0,-10.019162873844659,-77.25
2019-06-06,14.5,-9.130995771713994,-71.2
2019-06-07,204.5,-6.704287791341905,-58.125
2019-06-10,81.5,-5.933550611618275,-52.65
2019-06-11,60.0,-5.448212546415279,-49.0
2019-06-12,-59.0,-6.946984537202538,-59.3
2019-06-13,-134.0,-7.593425377069429,-65.1
2019-06-14,-71.5,-7.365058036790399,-62.925
2019-06-17,2.5,-6.253203124141217,-51.675
2019-06-18,-19.0,-5.630612625989535,-46.15
2019-06-19,-48.5,-5.033251213388345,-40.35
2019-06-20,-26.0,-3.752945371540004,-26.5
2019-06-24,-85.5,-4.886605332781237,-34.075
2019-06-25,190.0,-2.287408927573487,-16.9
2019-06-26,-32.5,-2.76872451597486,-20.35
2019-06-27,-209.0,-2.76872451597486,-20.35
2019-06-28,-64.5,-2.6899601224127445,-19.725
2019-07-01,-10.0,-2.437623228500344,-17.85
2019-07-02,-80.5,-1.186317925801155,-7.45
2019-07-03,43.0,-2.033066639958402,-12.15
2019-07-04,-24.5,-2.246743382358777,-13.425
2019-07-05,60.5,-1.8385796924937912,-11.125
2019-07-08,-6.5,-4.175182897439378,-21.675
2019-07-09,154.5,-3.2403242490932826,-18.025
2019-07-10,29.0,-3.5640955471327826,-19.575
2019-07-11,-154.0,-4.212002342807439,-24.325
2019-07-12,20.0,-2.9801553286663953,-16.625
2019-07-15,-57.5,-2.867043010491799,-15.925
2019-07-16,-13.5,-3.0144297848942174,-16.725
2019-07-17,45.0,-2.409879626770088,-13.525
2019-07-18,-136.0,-3.0628235356961375,-17.9
2019-07-19,208.5,-0.9333899534877256,-6.175
2019-07-22,-89.0,-0.9586112620067879,-6.35
2019-07-23,-47.0,-3.0333024053084134,-18.2
2019-07-24,117.0,-1.709389090755217,-10.725
2019-07-25,47.5,0.3736620486331199,2.1
2019-07-26,-64.5,0.37366204863311986,2.1
2019-07-29,64.5,1.0253527495508723,5.825
2019-07-30,-82.0,1.01133936489381,5.75
2019-07-31,-253.0,-1.357189669226037,-9.05
2019-08-01,-126.0,-2.059708627912411,-14.125
2019-08-02,-25.0,-2.7166267464950726,-18.4
2019-08-05,59.5,-2.2023810083874125,-15.1
2019-08-06,-170.5,-4.67109085521203,-31.35
2019-08-07,155.0,-3.505840683568353,-25.05
2019-08-08,162.5,-1.2583928179350001,-9.225
2019-08-09,49.0,-1.0557471315728162,-7.775
2019-08-12,-401.5,-2.7359548295955562,-24.975
2019-08-13,128.0,-1.9108976338530377,-17.9
2019-08-14,148.0,-1.3269922218109151,-12.75
2019-08-15,-268.5,-1.91740513676972,-19.375
2019-08-16,-117.0,-3.7038294701316055,-35.65
2019-08-19,-17.5,-3.34234509142869,-32.075
2019-08-20,-55.0,-3.3829350871367856,-32.475
2019-08-21,-145.0,-4.816041356662921,-45.575
2019-08-22,-30.0,-5.276750529100078,-49.45
2019-08-23,249.0,-3.3043840198132446,-33.775
2019-08-26,-76.5,-4.028025905701654,-40.825
2019-08-27,-50.0,-3.8763893378264704,-39.225
2019-08-28,134.5,-2.006952539023424,-19.85
2019-08-29,-77.5,-1.7763536673711484,-17.425
2019-08-30,-13.5,-1.7178225980167323,-16.85
2019-09-02,-133.0,-2.6830497236744053,-26.475
2019-09-03,-128.5,-2.4968869553929305,-24.375
2019-09-04,-14.0,-3.486232176837149,-32.825
2019-09-05,102.5,-3.8930634453120776,-35.825
2019-09-06,-101.0,-4.730704597330718,-43.325
2019-09-09,-175.0,-4.08545647427885,-32.0
2019-09-10,-15.5,-5.229334949002143,-39.175
2019-09-11,116.0,-5.552006565956089,-40.775
2019-09-12,0.5,-4.154103761163856,-27.325
2019-09-13,-58.5,-3.772590016783327,-24.4
2019-09-16,-112.0,-4.428371561335028,-29.125
2019-09-17,-81.0,-4.605086939240264,-30.425
2019-09-18,20.0,-3.451392660985975,-22.175
2019-09-19,8.0,-3.1497931884875143,-20.275
2019-09-23,-147.0,-7.483401980442221,-40.075
2019-09-24,210.5,-4.064660583276982,-25.725
2019-09-25,205.0,-1.837593800630648,-12.975
2019-09-26,-48.5,-3.281517227655713,-22.125
2019-09-27,-283.5,-4.258189156557988,-32.425
2019-09-30,-39.0,-4.428260695474905,-33.7
2019-10-01,253.5,-1.70789104470167,-14.375
2019-10-02,-12.5,-1.0389115406027298,-8.575
2019-10-03,-142.5,-1.7737538465413796,-15.0
2019-10-04,-40.5,-2.672331393229486,-22.15
2019-10-07,-39.0,-2.3189292115022413,-19.05
2019-10-08,-158.0,-2.2320180002637042,-18.2
2019-10-09,-255.0,-3.4377788548408703,-30.175
2019-10-10,-50.5,-4.518125584000131,-38.5
2019-10-11,64.0,-4.096655416873185,-35.325
2019-10-14,-50.5,-4.0519435342264085,-34.925
2019-10-15,140.5,-2.515522990197352,-22.3
2019-10-16,-108.0,-2.654894917975617,-23.65
2019-10-17,-52.5,-3.0669552379875054,-27.275
2019-10-18,-5.0,-3.143029236601685,-27.925
2019-10-21,9.5,-2.303200773564045,-20.1
2019-10-22,130.5,-2.879555127526629,-24.1
2019-10-23,-43.5,-4.751366672559162,-36.525
2019-10-24,-24.5,-4.595477211168296,-35.325
2019-10-25,138.5,-1.9900170708089788,-14.225
2019-10-28,-32.5,-1.945616265033852,-13.9
2019-10-29,-13.0,-4.528135495647497,-27.225
2019-10-30,15.5,-4.276902541178462,-25.825
2019-10-31,-229.5,-4.660810836927135,-30.175
2019-11-01,-1.5,-4.353030351957321,-28.225
2019-11-04,-134.5,-4.9653799215362175,-33.0
2019-11-05,-28.5,-4.147215680840029,-26.525
2019-11-06,-20.5,-2.7015869842105182,-14.8
2019-11-07,-25.5,-2.483210194281174,-13.55
2019-11-08,84.5,-2.26847583800632,-12.525
