session_date,phase,selected_by_ensemble,feature_name,bucket_label,risk_multiplier,skip_trade
2019-06-18,is,True,opening_range_width_pts,high,0.5,False
2019-08-06,is,True,opening_range_width_pts,low,0.75,False
2019-08-08,is,True,opening_range_width_pts,low,0.75,False
2019-08-13,is,True,opening_range_width_pts,high,0.5,False
2019-09-03,is,True,opening_range_width_pts,low,0.75,False
2019-09-12,is,True,opening_range_width_pts,low,0.75,False
2019-10-03,is,True,opening_range_width_pts,low,0.75,False
2019-12-13,is,True,opening_range_width_pts,low,0.75,False
2020-02-03,is,True,opening_range_width_pts,mid,1.0,False
2020-03-04,is,True,opening_range_width_pts,high,0.5,False
2020-03-24,is,True,opening_range_width_pts,high,0.5,False
2020-03-30,is,True,opening_range_width_pts,high,0.5,False
2020-03-31,is,True,opening_range_width_pts,mid,1.0,False
2020-04-14,is,True,opening_range_width_pts,high,0.5,False
2020-04-23,is,True,opening_range_width_pts,high,0.5,False
2020-05-05,is,True,opening_range_width_pts,low,0.75,False
2020-05-19,is,True,opening_range_width_pts,low,0.75,False
2020-05-20,is,True,opening_range_width_pts,low,0.75,False
2020-05-28,is,True,opening_range_width_pts,high,0.5,False
2020-05-29,is,True,opening_range_width_pts,low,0.75,False
2020-06-04,is,True,opening_range_width_pts,low,0.75,False
2020-06-05,is,True,opening_range_width_pts,high,0.5,False
2020-06-10,is,True,opening_range_width_pts,low,0.75,False
2020-06-30,is,True,opening_range_width_pts,mid,1.0,False
2020-07-02,is,True,opening_range_width_pts,low,0.75,False
2020-07-06,is,True,opening_range_width_pts,low,0.75,False
2020-07-07,is,True,opening_range_width_pts,mid,1.0,False
2020-07-08,is,True,opening_range_width_pts,low,0.75,False
2020-07-20,is,True,opening_range_width_pts,high,0.5,False
2020-07-22,is,True,opening_range_width_pts,low,0.75,False
2020-07-27,is,True,opening_range_width_pts,high,0.5,False
2020-08-03,is,True,opening_range_width_pts,mid,1.0,False
2020-08-12,is,True,opening_range_width_pts,low,0.75,False
2020-08-20,is,True,opening_range_width_pts,mid,1.0,False
2020-08-25,is,True,opening_range_width_pts,mid,1.0,False
2020-09-01,is,True,opening_range_width_pts,high,0.5,False
2020-09-14,is,True,opening_range_width_pts,high,0.5,False
2020-09-15,is,True,opening_range_width_pts,low,0.75,False
2020-09-30,is,True,opening_range_width_pts,low,0.75,False
2020-10-05,is,True,opening_range_width_pts,low,0.75,False
2020-10-20,is,True,opening_range_width_pts,mid,1.0,False
2020-10-21,is,True,opening_range_width_pts,high,0.5,False
2020-10-29,is,True,opening_range_width_pts,mid,1.0,False
2020-11-02,is,True,opening_range_width_pts,high,0.5,False
2020-11-03,is,True,opening_range_width_pts,low,0.75,False
2020-11-05,is,True,opening_range_width_pts,high,0.5,False
2020-11-11,is,True,opening_range_width_pts,high,0.5,False
2020-11-16,is,True,opening_range_width_pts,high,0.5,False
2020-11-23,is,True,opening_range_width_pts,low,0.75,False
2020-12-03,is,True,opening_range_width_pts,low,0.75,False
2020-12-07,is,True,opening_range_width_pts,mid,1.0,False
2020-12-14,is,True,opening_range_width_pts,high,0.5,False
2020-12-22,is,True,opening_range_width_pts,low,0.75,False
2021-01-05,is,True,opening_range_width_pts,high,0.5,False
2021-01-07,is,True,opening_range_width_pts,high,0.5,False
2021-01-13,is,True,opening_range_width_pts,low,0.75,False
2021-01-20,is,True,opening_range_width_pts,mid,1.0,False
2021-02-01,is,True,opening_range_width_pts,low,0.75,False
2021-02-02,is,True,opening_range_width_pts,mid,1.0,False
2021-02-09,is,True,opening_range_width_pts,low,0.75,False
2021-02-26,is,True,opening_range_width_pts,high,0.5,False
2021-03-01,is,True,opening_range_width_pts,high,0.5,False
2021-03-09,is,True,opening_range_width_pts,mid,1.0,False
2021-03-11,is,True,opening_range_width_pts,mid,1.0,False
2021-03-16,is,True,opening_range_width_pts,mid,1.0,False
2021-03-22,is,True,opening_range_width_pts,mid,1.0,False
2021-03-26,is,True,opening_range_width_pts,mid,1.0,False
2021-03-31,is,True,opening_range_width_pts,mid,1.0,False
2021-04-05,is,True,opening_range_width_pts,low,0.75,False
2021-04-13,is,True,opening_range_width_pts,mid,1.0,False
2021-04-21,is,True,opening_range_width_pts,mid,1.0,False
2021-04-23,is,True,opening_range_width_pts,low,0.75,False
2021-05-07,is,True,opening_range_width_pts,high,0.5,False
2021-05-13,is,True,opening_range_width_pts,mid,1.0,False
2021-05-14,is,True,opening_range_width_pts,low,0.75,False
2021-05-20,is,True,opening_range_width_pts,high,0.5,False
2021-05-24,is,True,opening_range_width_pts,high,0.5,False
2021-06-04,is,True,opening_range_width_pts,high,0.5,False
2021-06-17,is,True,opening_range_width_pts,high,0.5,False
2021-06-23,is,True,opening_range_width_pts,low,0.75,False
2021-06-28,is,True,opening_range_width_pts,mid,1.0,False
2021-07-06,is,True,opening_range_width_pts,low,0.75,False
2021-07-13,is,True,opening_range_width_pts,low,0.75,False
2021-07-21,is,True,opening_range_width_pts,low,0.75,False
2021-07-22,is,True,opening_range_width_pts,low,0.75,False
