sleeve_id,M2K_15min_m2k_15min_avoid_immediate_adverse_move_sm1p25_tm3p00_d5_aw5_mt8,M2K_15min_m2k_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d5_sz1p00,M2K_1H_m2k_1h_avoid_immediate_adverse_move_sm0p75_tm2p00_d15_aw5_mt8,M2K_30min_m2k_30min_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_sz0p75,M2K_30min_m2k_30min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d15_sz0p50,M2K_30min_m2k_30min_require_no_stop_zone_touch_before_entry_sm1p25_tm2p00_d30_sz0p50,MGC_15min_mgc_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d30_aw5_mt8,MGC_1H_mgc_1h_avoid_immediate_adverse_move_sm1p25_tm3p00_d30_aw5_mt12,MGC_1H_mgc_1h_none_sm1p50_tm3p00_d15,MGC_1H_mgc_1h_require_no_stop_zone_touch_before_entry_sm1p25_tm3p00_d15_sz0p50,MGC_30min_mgc_30min_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_aw5_mt8,MGC_30min_mgc_30min_none_sm0p75_tm3p00_d15,MGC_30min_mgc_30min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d5_sz0p50,MNQ_15min_mnq_15min_avoid_immediate_adverse_move_sm1p25_tm3p00_d5_aw5_mt16,MNQ_1H_mnq_1h_none_sm1p00_tm1p00_d30,MNQ_1H_mnq_1h_none_sm1p00_tm2p50_d30,MNQ_1H_mnq_1h_require_no_stop_zone_touch_before_entry_sm0p75_tm2p50_d5_sz1p00,MNQ_30min_mnq_30min_avoid_immediate_adverse_move_sm0p75_tm2p00_d5_aw5_mt16
M2K_15min_m2k_15min_avoid_immediate_adverse_move_sm1p25_tm3p00_d5_aw5_mt8,1.0,0.26034794611304585,0.037693138406549496,0.06330822454964818,0.08591314843950619,0.02514656438256858,-0.04244529855603155,0.10604313063528213,0.01528336170796355,-0.005027295615412528,-0.005262873382651985,0.00024238893278506396,0.009579993682177561,-0.015313459455924387,-0.015824667323565005,-0.015015864228497745,0.052637796076087366,-0.02602776748755321
M2K_15min_m2k_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d5_sz1p00,0.26034794611304585,1.0,-0.028131738953446405,0.06619671462067771,0.05173275157079352,0.013189798943937582,-0.017785257823949144,-0.003168249288883542,0.027627298198763497,0.01567160003353954,-0.0019619724664449584,0.019790566298848282,0.0035713729870654434,0.035928186971243205,-0.04203304185568362,-0.04018078999546173,0.005180961438706628,-0.005065294945378611
M2K_1H_m2k_1h_avoid_immediate_adverse_move_sm0p75_tm2p00_d15_aw5_mt8,0.037693138406549496,-0.028131738953446405,1.0,0.17947789151097218,0.29738380132850967,-0.003841989127414301,-0.004684603588291194,-3.252630809378135e-05,0.6754177931589537,0.6887197860411401,0.0035006975140462423,-0.23234578795326952,-0.006372309882720071,0.0056809840671393705,0.1938501340547811,0.2924463065092174,0.3245838827055867,-0.0013957485536051958
M2K_30min_m2k_30min_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_sz0p75,0.06330822454964818,0.06619671462067771,0.17947789151097218,1.0,0.5662199926616442,0.2567972854212397,-0.022805176366252865,1.3428955618488311e-05,-0.009131043127301942,0.002582510952191318,-0.0014453134802246807,0.0009250184838926122,0.0026309000811152775,-0.050393007481619824,-0.03306715450032504,-0.026757577218159464,-0.056199047649574375,0.004153184019365014
M2K_30min_m2k_30min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d15_sz0p50,0.08591314843950619,0.05173275157079352,0.29738380132850967,0.5662199926616442,1.0,0.009091245854263012,-0.04632332416038355,6.20731353917488e-05,0.0196419313932529,0.011937231497386836,-0.006680723497066425,0.0042757455770781345,0.012160902275406994,-0.13292037202264573,-0.03388471949844684,-0.022615360846805023,-0.006422826615406923,0.009521501094147324
M2K_30min_m2k_30min_require_no_stop_zone_touch_before_entry_sm1p25_tm2p00_d30_sz0p50,0.02514656438256858,0.013189798943937582,-0.003841989127414301,0.2567972854212397,0.009091245854263012,1.0,0.0012074912639631126,-2.3925990179413268e-05,-0.03450341980381213,-0.004601186677188906,0.0025750741246338416,-0.0016480792542733162,-0.0046874002187565714,-0.0004270187568340367,0.0005774665752397878,0.0004918525857080707,0.0005801482334384304,-0.001026697099781575
MGC_15min_mgc_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d30_aw5_mt8,-0.04244529855603155,-0.017785257823949144,-0.004684603588291194,-0.022805176366252865,-0.04632332416038355,0.0012074912639631126,1.0,1.022262988512046e-05,0.001638206642477048,0.001965905196839989,-0.018223131193819565,-0.003060672377522912,0.0020027408354038657,0.018947854503187898,0.002059903258229106,0.0019988837436795,-0.0002478744087277385,-0.013161179787304422
MGC_1H_mgc_1h_avoid_immediate_adverse_move_sm1p25_tm3p00_d30_aw5_mt12,0.10604313063528213,-0.003168249288883542,-3.252630809378135e-05,1.3428955618488311e-05,6.20731353917488e-05,-2.3925990179413268e-05,1.022262988512046e-05,1.0,0.20301283047387572,0.12881263508958427,0.09230629632664032,0.0227513355739675,-3.968356458539612e-05,-0.10294991781678275,-0.042617781539928776,-0.04081504152027921,0.1266494022465669,-8.692025166911738e-06
MGC_1H_mgc_1h_none_sm1p50_tm3p00_d15,0.01528336170796355,0.027627298198763497,0.6754177931589537,-0.009131043127301942,0.0196419313932529,-0.03450341980381213,0.001638206642477048,0.20301283047387572,1.0,0.9819342012476944,0.0360640199910847,-0.27853796070980097,-0.006359408472333235,-0.024903329184661628,0.25035333614790484,0.36484625118864544,0.4404742223835202,-0.00359369466275302
MGC_1H_mgc_1h_require_no_stop_zone_touch_before_entry_sm1p25_tm3p00_d15_sz0p50,-0.005027295615412528,0.01567160003353954,0.6887197860411401,0.002582510952191318,0.011937231497386836,-0.004601186677188906,0.001965905196839989,0.12881263508958427,0.9819342012476944,1.0,0.004192454020123244,-0.29853538604524493,-0.007631512313785113,-0.004279781070494622,0.2722967031786698,0.3916477314549989,0.4245535185552427,-0.003918710361536276
MGC_30min_mgc_30min_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_aw5_mt8,-0.005262873382651985,-0.0019619724664449584,0.0035006975140462423,-0.0014453134802246807,-0.006680723497066425,0.0025750741246338416,-0.018223131193819565,0.09230629632664032,0.0360640199910847,0.004192454020123244,1.0,0.22188865471769065,0.12522282757373945,-0.0020329416874819432,-0.014569116382960667,-0.013896917724791426,-0.03854745229660279,0.0009354935336068434
MGC_30min_mgc_30min_none_sm0p75_tm3p00_d15,0.00024238893278506396,0.019790566298848282,-0.23234578795326952,0.0009250184838926122,0.0042757455770781345,-0.0016480792542733162,-0.003060672377522912,0.0227513355739675,-0.27853796070980097,-0.29853538604524493,0.22188865471769065,1.0,0.6950814704377343,0.0013011077965620931,-0.09222844255940475,-0.13172642895707465,-0.14824117480313106,-0.0034162064762670416
MGC_30min_mgc_30min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d5_sz0p50,0.009579993682177561,0.0035713729870654434,-0.006372309882720071,0.0026309000811152775,0.012160902275406994,-0.0046874002187565714,0.0020027408354038657,-3.968356458539612e-05,-0.006359408472333235,-0.007631512313785113,0.12522282757373945,0.6950814704377343,1.0,0.0037005580614023,-0.008526381184137675,-0.008267083047067207,-0.019394876402409562,-0.001702876259803813
MNQ_15min_mnq_15min_avoid_immediate_adverse_move_sm1p25_tm3p00_d5_aw5_mt16,-0.015313459455924387,0.035928186971243205,0.0056809840671393705,-0.050393007481619824,-0.13292037202264573,-0.0004270187568340367,0.018947854503187898,-0.10294991781678275,-0.024903329184661628,-0.004279781070494622,-0.0020329416874819432,0.0013011077965620931,0.0037005580614023,1.0,-0.036720734899774087,-0.020255502570512885,0.022757615527439722,0.025531416023644567
MNQ_1H_mnq_1h_none_sm1p00_tm1p00_d30,-0.015824667323565005,-0.04203304185568362,0.1938501340547811,-0.03306715450032504,-0.03388471949844684,0.0005774665752397878,0.002059903258229106,-0.042617781539928776,0.25035333614790484,0.2722967031786698,-0.014569116382960667,-0.09222844255940475,-0.008526381184137675,-0.036720734899774087,1.0,0.9779496365816586,0.36981127508595146,-0.019024678201814946
MNQ_1H_mnq_1h_none_sm1p00_tm2p50_d30,-0.015015864228497745,-0.04018078999546173,0.2924463065092174,-0.026757577218159464,-0.022615360846805023,0.0004918525857080707,0.0019988837436795,-0.04081504152027921,0.36484625118864544,0.3916477314549989,-0.013896917724791426,-0.13172642895707465,-0.008267083047067207,-0.020255502570512885,0.9779496365816586,1.0,0.44604815126179115,-0.011615185321776734
MNQ_1H_mnq_1h_require_no_stop_zone_touch_before_entry_sm0p75_tm2p50_d5_sz1p00,0.052637796076087366,0.005180961438706628,0.3245838827055867,-0.056199047649574375,-0.006422826615406923,0.0005801482334384304,-0.0002478744087277385,0.1266494022465669,0.4404742223835202,0.4245535185552427,-0.03854745229660279,-0.14824117480313106,-0.019394876402409562,0.022757615527439722,0.36981127508595146,0.44604815126179115,1.0,0.02806649446362187
MNQ_30min_mnq_30min_avoid_immediate_adverse_move_sm0p75_tm2p00_d5_aw5_mt16,-0.02602776748755321,-0.005065294945378611,-0.0013957485536051958,0.004153184019365014,0.009521501094147324,-0.001026697099781575,-0.013161179787304422,-8.692025166911738e-06,-0.00359369466275302,-0.003918710361536276,0.0009354935336068434,-0.0034162064762670416,-0.001702876259803813,0.025531416023644567,-0.019024678201814946,-0.011615185321776734,0.02806649446362187,1.0
