symbol,signal_timeframe,config_id,family,trades,net_pnl,gross_profit,gross_loss,winrate,avg_trade,median_trade,profit_factor,max_drawdown,sharpe_daily,sortino_daily,pnl_to_maxdd,avg_holding_minutes,median_holding_minutes,stop_exit_rate,target_exit_rate,time_stop_exit_rate,eod_exit_rate,skipped_trades,skip_rate,blocked_setups,turnover_proxy,estimated_cost_per_trade,execution_timeframe,base_signal_variant,stop_multiplier,target_multiplier,entry_delay_minutes,filter_name,filter_params_json,stop_zone_fraction,adverse_window_minutes,max_adverse_ticks,trades_per_year,avg_trade_to_cost,normalized_net_pnl,normalized_profit_factor,normalized_pnl_to_maxdd,trade_count_score,simplicity_score,temporal_stability_score,parameter_neighborhood_score,penalties,admissible_is,positive_years_is,years_with_trades_is,max_year_contribution_pct,robust_score_is,rank_is
MES,15min,mes_15min_none_sm1p00_tm1p00_d0,raw_hybrid,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,0,none,{},,,,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.5,False,0,0,1.0,-0.25,1
MES,15min,mes_15min_none_sm1p00_tm1p00_d5,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,5,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,2
MES,15min,mes_15min_none_sm1p00_tm1p00_d15,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,15,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,3
MNQ,1H,mnq_1h_none_sm1p00_tm2p50_d30,delay_stop_target,128,1881.8125,6769.3125,4887.5,0.390625,14.70166015625,-17.5,1.3850255754475704,-558.5,1.9408405360844203,4.786553350607358,3.3694046553267682,75.5234375,111.0,0.9375,0.03125,0.4765625,0.03125,0,0.0,2,27.696682464454973,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,none,{},,,,18.62629482071713,5.8806640625,0.9541424745983275,0.9572459743134996,1.0,1.0,0.65,0.587851019804907,1.0,0.1,True,4,5,0.6242979603901863,0.8029553427531014,1
MNQ,1H,mnq_1h_require_no_stop_zone_touch_before_entry_sm0p75_tm2p50_d5_sz1p00,delay_stop_zone_filter,110,1646.625,5539.375,3892.75,0.3,14.969318181818181,-25.3125,1.422997880675615,-580.875,1.8564515758167388,5.743562564769364,2.8347320852162685,56.57272727272727,34.5,0.9454545454545454,0.045454545454545456,0.3090909090909091,0.00909090909090909,50,0.2347417840375587,2,23.801836492890992,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.5,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",1.0,,,16.006972111553786,5.987727272727272,0.8952837979878865,1.0,0.8802214441285996,1.0,0.45,0.6402075661198527,0.3333333333333333,0.1,True,4,5,0.5195848677602946,0.6796211111348451,2
MNQ,1H,mnq_1h_none_sm1p00_tm1p00_d30,delay_only,128,1032.9249999999956,5920.424999999996,4887.5,0.390625,8.069726562499966,-17.5,1.2113401534526844,-685.8500000000022,1.2319652840190438,2.627334349025785,1.5060508857621817,60.2109375,46.0,0.734375,0.2421875,0.2734375,0.0234375,0,0.0,2,27.696682464454973,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,1.0,30,none,{},,,,18.62629482071713,3.2278906249999864,0.7416975324090276,0.7616889506157202,0.5825672830946793,1.0,0.85,0.5327314794476423,1.0,0.1,True,3,5,0.5345370411047153,0.6604721109862978,3
MNQ,30min,mnq_30min_avoid_immediate_adverse_move_sm0p75_tm2p00_d5_aw5_mt16,delay_adverse_filter,66,376.0249999999978,2039.8999999999978,1663.875,0.4090909090909091,5.697348484848452,-14.8125,1.225993539178122,-379.125,1.188594407255704,2.493793160502697,0.9918232772832122,30.424242424242426,25.5,0.9242424242424242,0.07575757575757576,0.3484848484848485,0.0,234,0.5441860465116279,1,14.264201183431952,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",,5.0,16.0,9.60418326693227,2.278939393939381,0.9684087034533165,0.4666399748744144,0.5900529463732085,1.0,0.35,0.6159183343113248,0.375,0.1,True,3,5,0.36816333137735036,0.5416554277682262,1
MES,30min,mes_30min_none_sm1p00_tm1p00_d0,raw_hybrid,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,0,none,{},,,,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.5,False,0,0,1.0,-0.25,1
MES,30min,mes_30min_none_sm1p00_tm1p00_d5,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,5,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,2
MES,30min,mes_30min_none_sm1p00_tm1p00_d15,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,15,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,3
