config_id,symbol,signal_time,signal_actionable_time,direction,filter_family,filter_label,stop_multiplier,target_multiplier,entry_delay_minutes,skipped_by_filter,filter_reason,executed,pnl,net_pnl_usd,gross_pnl_usd,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,holding_minutes,mfe_ticks_1m,mae_ticks_1m,quantity,session_date,signal_timeframe,fold_id
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-03 09:45:00-05:00,2022-01-03 10:00:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-03 10:01:00-05:00,,4765.75,,,,,,,,1,2022-01-03,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-03 10:00:00-05:00,2022-01-03 10:15:00-05:00,short,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-03 10:16:00-05:00,,4768.0,,,,,,,,1,2022-01-03,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-05 15:45:00-05:00,2022-01-05 16:00:00-05:00,long,none,none,1.0,1.0,0,False,entry_delay_out_of_session,False,,,,,,,,,,,,,,1,2022-01-05,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-06 09:30:00-05:00,2022-01-06 09:45:00-05:00,short,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-06 09:46:00-05:00,,4702.75,,,,,,,,1,2022-01-06,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-06 09:45:00-05:00,2022-01-06 10:00:00-05:00,long,none,none,1.0,1.0,0,False,invalid_stop_geometry,False,,,,2022-01-06 10:01:00-05:00,,4673.5,,,,,,,,1,2022-01-06,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-10 09:30:00-05:00,2022-01-10 09:45:00-05:00,long,none,none,1.0,1.0,0,False,invalid_stop_geometry,False,,,,2022-01-10 09:46:00-05:00,,4611.5,,,,,,,,1,2022-01-10,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-10 09:45:00-05:00,2022-01-10 10:00:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-10 10:01:00-05:00,,4598.75,,,,,,,,1,2022-01-10,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-11 09:30:00-05:00,2022-01-11 09:45:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-11 09:46:00-05:00,,4634.25,,,,,,,,1,2022-01-11,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-13 12:15:00-05:00,2022-01-13 12:30:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-13 12:31:00-05:00,,4681.25,,,,,,,,1,2022-01-13,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-14 09:30:00-05:00,2022-01-14 09:45:00-05:00,short,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-14 09:46:00-05:00,,4636.75,,,,,,,,1,2022-01-14,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-20 15:30:00-05:00,2022-01-20 15:45:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-20 15:46:00-05:00,,4496.0,,,,,,,,1,2022-01-20,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-20 15:45:00-05:00,2022-01-20 16:00:00-05:00,long,none,none,1.0,1.0,0,False,entry_delay_out_of_session,False,,,,,,,,,,,,,,1,2022-01-20,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-21 09:30:00-05:00,2022-01-21 09:45:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-21 09:46:00-05:00,,4449.5,,,,,,,,1,2022-01-21,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-21 10:00:00-05:00,2022-01-21 10:15:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-21 10:16:00-05:00,,4429.5,,,,,,,,1,2022-01-21,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-01-28 09:30:00-05:00,2022-01-28 09:45:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-01-28 09:46:00-05:00,,4289.5,,,,,,,,1,2022-01-28,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-02-01 09:30:00-05:00,2022-02-01 09:45:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-02-01 09:46:00-05:00,,4496.0,,,,,,,,1,2022-02-01,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-02-10 09:30:00-05:00,2022-02-10 09:45:00-05:00,short,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-02-10 09:46:00-05:00,,4546.0,,,,,,,,1,2022-02-10,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-02-10 09:45:00-05:00,2022-02-10 10:00:00-05:00,short,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-02-10 10:01:00-05:00,,4556.25,,,,,,,,1,2022-02-10,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-02-10 12:45:00-05:00,2022-02-10 13:00:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-02-10 13:01:00-05:00,,4541.75,,,,,,,,1,2022-02-10,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-02-17 09:45:00-05:00,2022-02-17 10:00:00-05:00,long,none,none,1.0,1.0,0,False,invalid_stop_geometry,False,,,,2022-02-17 10:01:00-05:00,,4408.25,,,,,,,,1,2022-02-17,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-02-18 09:30:00-05:00,2022-02-18 09:45:00-05:00,long,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-02-18 09:46:00-05:00,,4365.25,,,,,,,,1,2022-02-18,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-02-24 09:45:00-05:00,2022-02-24 10:00:00-05:00,short,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-02-24 10:01:00-05:00,,4151.0,,,,,,,,1,2022-02-24,15min,fold_1
mes_15min_none_sm1p00_tm1p00_d0,MES,2022-02-28 10:30:00-05:00,2022-02-28 10:45:00-05:00,short,none,none,1.0,1.0,0,False,invalid_target_geometry,False,,,,2022-02-28 10:46:00-05:00,,4360.0,,,,,,,,1,2022-02-28,15min,fold_1
