symbol,signal_timeframe,config_id,family,trades,net_pnl,gross_profit,gross_loss,winrate,avg_trade,median_trade,profit_factor,max_drawdown,sharpe_daily,sortino_daily,pnl_to_maxdd,avg_holding_minutes,median_holding_minutes,stop_exit_rate,target_exit_rate,time_stop_exit_rate,eod_exit_rate,skipped_trades,skip_rate,blocked_setups,turnover_proxy,estimated_cost_per_trade,execution_timeframe,base_signal_variant,stop_multiplier,target_multiplier,entry_delay_minutes,filter_name,filter_params_json,stop_zone_fraction,adverse_window_minutes,max_adverse_ticks,trades_per_year,avg_trade_to_cost,normalized_net_pnl,normalized_profit_factor,normalized_pnl_to_maxdd,trade_count_score,simplicity_score,temporal_stability_score,parameter_neighborhood_score,penalties,admissible_is,positive_years_is,years_with_trades_is,max_year_contribution_pct,robust_score_is,rank_is,symbol_oos,signal_timeframe_oos,config_id_oos,family_oos,trades_oos,net_pnl_oos,gross_profit_oos,gross_loss_oos,winrate_oos,avg_trade_oos,median_trade_oos,profit_factor_oos,max_drawdown_oos,sharpe_daily_oos,sortino_daily_oos,pnl_to_maxdd_oos,avg_holding_minutes_oos,median_holding_minutes_oos,stop_exit_rate_oos,target_exit_rate_oos,time_stop_exit_rate_oos,eod_exit_rate_oos,skipped_trades_oos,skip_rate_oos,blocked_setups_oos,turnover_proxy_oos,estimated_cost_per_trade_oos,execution_timeframe_oos,base_signal_variant_oos,stop_multiplier_oos,target_multiplier_oos,entry_delay_minutes_oos,filter_name_oos,filter_params_json_oos,stop_zone_fraction_oos,adverse_window_minutes_oos,max_adverse_ticks_oos,trades_per_year_oos,avg_trade_to_cost_oos,symbol_full,signal_timeframe_full,config_id_full,family_full,trades_full,net_pnl_full,gross_profit_full,gross_loss_full,winrate_full,avg_trade_full,median_trade_full,profit_factor_full,max_drawdown_full,sharpe_daily_full,sortino_daily_full,pnl_to_maxdd_full,avg_holding_minutes_full,median_holding_minutes_full,stop_exit_rate_full,target_exit_rate_full,time_stop_exit_rate_full,eod_exit_rate_full,skipped_trades_full,skip_rate_full,blocked_setups_full,turnover_proxy_full,estimated_cost_per_trade_full,execution_timeframe_full,base_signal_variant_full,stop_multiplier_full,target_multiplier_full,entry_delay_minutes_full,filter_name_full,filter_params_json_full,stop_zone_fraction_full,adverse_window_minutes_full,max_adverse_ticks_full,trades_per_year_full,avg_trade_to_cost_full,degradation_ratio,oos_pass,verdict,params
MES,15min,mes_15min_none_sm1p00_tm1p00_d0,raw_hybrid,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,0,none,{},,,,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.5,False,0,0,1.0,-0.25,1,MES,15min,mes_15min_none_sm1p00_tm1p00_d0,raw_hybrid,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,0,none,{},,,,0.0,0.0,MES,15min,mes_15min_none_sm1p00_tm1p00_d0,raw_hybrid,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,0,none,{},,,,0.0,0.0,,False,weak_watchlist,"{""entry_delay_minutes"": 0, ""filter_name"": ""none"", ""filter_params_json"": ""{}"", ""stop_multiplier"": 1.0, ""target_multiplier"": 1.0}"
MES,15min,mes_15min_none_sm1p00_tm1p00_d5,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,5,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,2,MES,15min,mes_15min_none_sm1p00_tm1p00_d5,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,5,none,{},,,,0.0,0.0,MES,15min,mes_15min_none_sm1p00_tm1p00_d5,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,5,none,{},,,,0.0,0.0,,False,weak_watchlist,"{""entry_delay_minutes"": 5, ""filter_name"": ""none"", ""filter_params_json"": ""{}"", ""stop_multiplier"": 1.0, ""target_multiplier"": 1.0}"
MES,15min,mes_15min_none_sm1p00_tm1p00_d15,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,15,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,3,MES,15min,mes_15min_none_sm1p00_tm1p00_d15,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,15,none,{},,,,0.0,0.0,MES,15min,mes_15min_none_sm1p00_tm1p00_d15,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,15,none,{},,,,0.0,0.0,,False,weak_watchlist,"{""entry_delay_minutes"": 15, ""filter_name"": ""none"", ""filter_params_json"": ""{}"", ""stop_multiplier"": 1.0, ""target_multiplier"": 1.0}"
MNQ,1H,mnq_1h_none_sm1p00_tm2p50_d30,delay_stop_target,128,1881.8125,6769.3125,4887.5,0.390625,14.70166015625,-17.5,1.3850255754475704,-558.5,1.9408405360844203,4.786553350607358,3.3694046553267682,75.5234375,111.0,0.9375,0.03125,0.4765625,0.03125,0,0.0,2,27.696682464454973,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,none,{},,,,18.62629482071713,5.8806640625,0.9541424745983275,0.9572459743134996,1.0,1.0,0.65,0.587851019804907,1.0,0.1,True,4,5,0.6242979603901863,0.8029553427531014,1,MNQ,1H,mnq_1h_none_sm1p00_tm2p50_d30,delay_stop_target,65,-183.5,3550.0,3733.5,0.35384615384615387,-2.8230769230769233,-32.0,0.9508504084639079,-1324.5,-0.30002966678096527,-0.5457437144227633,-0.1385428463571159,69.93846153846154,76.0,1.0,0.0,0.46153846153846156,0.0,0,0.0,1,29.86320754716981,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,none,{},,,,9.45866533864542,-1.1292307692307693,MNQ,1H,mnq_1h_none_sm1p00_tm2p50_d30,delay_stop_target,193,1698.3125,10319.3125,8621.0,0.37823834196891193,8.799546632124352,-22.0,1.1969971581023082,-1324.5,1.0663979965623747,2.188461235769437,1.2822291430728576,73.64248704663213,100.0,0.9585492227979274,0.02072538860103627,0.47150259067357514,0.02072538860103627,0,0.0,3,28.356094127111824,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,2.5,30,none,{},,,,28.084960159362552,3.519818652849741,-0.09751237171609818,False,reject,"{""entry_delay_minutes"": 30, ""filter_name"": ""none"", ""filter_params_json"": ""{}"", ""stop_multiplier"": 1.0, ""target_multiplier"": 2.5}"
MNQ,1H,mnq_1h_require_no_stop_zone_touch_before_entry_sm0p75_tm2p50_d5_sz1p00,delay_stop_zone_filter,110,1646.625,5539.375,3892.75,0.3,14.969318181818181,-25.3125,1.422997880675615,-580.875,1.8564515758167388,5.743562564769364,2.8347320852162685,56.57272727272727,34.5,0.9454545454545454,0.045454545454545456,0.3090909090909091,0.00909090909090909,50,0.2347417840375587,2,23.801836492890992,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.5,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",1.0,,,16.006972111553786,5.987727272727272,0.8952837979878865,1.0,0.8802214441285996,1.0,0.45,0.6402075661198527,0.3333333333333333,0.1,True,4,5,0.5195848677602946,0.6796211111348451,2,MNQ,1H,mnq_1h_require_no_stop_zone_touch_before_entry_sm0p75_tm2p50_d5_sz1p00,delay_stop_zone_filter,50,-183.125,2572.5,2755.625,0.3,-3.6625,-48.5625,0.933545021546836,-1345.375,-0.40449790765640387,-1.1130000835477487,-0.13611446622688841,54.18,30.5,0.96,0.0,0.28,0.04,29,0.26126126126126126,1,22.971698113207548,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.5,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",1.0,,,7.27589641434263,-1.465,MNQ,1H,mnq_1h_require_no_stop_zone_touch_before_entry_sm0p75_tm2p50_d5_sz1p00,delay_stop_zone_filter,160,1463.5,8111.875,6648.375,0.3,9.146875,-26.625,1.220128978885818,-1345.375,1.0892852051180828,3.1304813876922752,1.0878007990337266,55.825,33.0,0.95,0.03125,0.3,0.01875,79,0.24382716049382716,3,23.507642799678198,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.5,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",1.0,,,23.282868525896415,3.65875,-0.11121232824717224,False,reject,"{""entry_delay_minutes"": 5, ""filter_name"": ""require_no_stop_zone_touch_before_entry"", ""filter_params_json"": ""{\""stop_zone_fraction\"": 1.0}"", ""stop_multiplier"": 0.75, ""target_multiplier"": 2.5}"
MNQ,1H,mnq_1h_none_sm1p00_tm1p00_d30,delay_only,128,1032.9249999999956,5920.424999999996,4887.5,0.390625,8.069726562499966,-17.5,1.2113401534526844,-685.8500000000022,1.2319652840190438,2.627334349025785,1.5060508857621817,60.2109375,46.0,0.734375,0.2421875,0.2734375,0.0234375,0,0.0,2,27.696682464454973,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,1.0,30,none,{},,,,18.62629482071713,3.2278906249999864,0.7416975324090276,0.7616889506157202,0.5825672830946793,1.0,0.85,0.5327314794476423,1.0,0.1,True,3,5,0.5345370411047153,0.6604721109862978,3,MNQ,1H,mnq_1h_none_sm1p00_tm1p00_d30,delay_only,65,-206.32500000001164,3527.1749999999884,3733.5,0.35384615384615387,-3.1742307692309484,-32.0,0.94473684210526,-1324.0,-0.35227223210117886,-0.6136270947045392,-0.1558345921450239,61.0,56.0,0.8307692307692308,0.16923076923076924,0.2923076923076923,0.0,0,0.0,1,29.86320754716981,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,1.0,30,none,{},,,,9.45866533864542,-1.2696923076923794,MNQ,1H,mnq_1h_none_sm1p00_tm1p00_d30,delay_only,193,826.599999999984,9447.599999999984,8621.0,0.37823834196891193,4.282901554404062,-22.0,1.0958821482426615,-1324.0,0.5731255037248608,1.0651644249730137,0.6243202416918308,60.476683937823836,56.0,0.7668393782383419,0.21761658031088082,0.27979274611398963,0.015544041450777202,0,0.0,3,28.356094127111824,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.0,1.0,30,none,{},,,,28.084960159362552,1.7131606217616249,-0.19974828762980132,False,reject,"{""entry_delay_minutes"": 30, ""filter_name"": ""none"", ""filter_params_json"": ""{}"", ""stop_multiplier"": 1.0, ""target_multiplier"": 1.0}"
MNQ,30min,mnq_30min_avoid_immediate_adverse_move_sm0p75_tm2p00_d5_aw5_mt16,delay_adverse_filter,66,376.0249999999978,2039.8999999999978,1663.875,0.4090909090909091,5.697348484848452,-14.8125,1.225993539178122,-379.125,1.188594407255704,2.493793160502697,0.9918232772832122,30.424242424242426,25.5,0.9242424242424242,0.07575757575757576,0.3484848484848485,0.0,234,0.5441860465116279,1,14.264201183431952,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",,5.0,16.0,9.60418326693227,2.278939393939381,0.9684087034533165,0.4666399748744144,0.5900529463732085,1.0,0.35,0.6159183343113248,0.375,0.1,True,3,5,0.36816333137735036,0.5416554277682262,1,MNQ,30min,mnq_30min_avoid_immediate_adverse_move_sm0p75_tm2p00_d5_aw5_mt16,delay_adverse_filter,23,190.27500000000146,1126.4000000000015,936.125,0.34782608695652173,8.272826086956584,-17.25,1.2032581118974512,-575.6500000000015,1.0466455061933486,3.0142664471359932,0.33053939025449663,30.434782608695652,22.0,0.9130434782608695,0.08695652173913043,0.30434782608695654,0.0,118,0.5462962962962963,1,10.487827715355806,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",,5.0,16.0,3.3469123505976097,3.3091304347826336,MNQ,30min,mnq_30min_avoid_immediate_adverse_move_sm0p75_tm2p00_d5_aw5_mt16,delay_adverse_filter,89,566.2999999999993,3166.2999999999993,2600.0,0.39325842696629215,6.3629213483145985,-15.75,1.217807692307692,-575.6500000000015,1.1119338564744345,2.5779888800991935,0.9837574915313086,30.426966292134832,24.0,0.9213483146067416,0.07865168539325842,0.33707865168539325,0.0,352,0.544891640866873,2,13.034182036888533,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,0.75,2.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",,5.0,16.0,12.951095617529882,2.5451685393258394,0.5060168871750617,True,strong_candidate,"{""entry_delay_minutes"": 5, ""filter_name"": ""avoid_immediate_adverse_move"", ""filter_params_json"": ""{\""adverse_window_minutes\"": 5, \""max_adverse_ticks\"": 16}"", ""stop_multiplier"": 0.75, ""target_multiplier"": 2.0}"
MES,30min,mes_30min_none_sm1p00_tm1p00_d0,raw_hybrid,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,0,none,{},,,,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.5,False,0,0,1.0,-0.25,1,MES,30min,mes_30min_none_sm1p00_tm1p00_d0,raw_hybrid,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,0,none,{},,,,0.0,0.0,MES,30min,mes_30min_none_sm1p00_tm1p00_d0,raw_hybrid,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,0,none,{},,,,0.0,0.0,,False,weak_watchlist,"{""entry_delay_minutes"": 0, ""filter_name"": ""none"", ""filter_params_json"": ""{}"", ""stop_multiplier"": 1.0, ""target_multiplier"": 1.0}"
MES,30min,mes_30min_none_sm1p00_tm1p00_d5,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,5,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,2,MES,30min,mes_30min_none_sm1p00_tm1p00_d5,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,5,none,{},,,,0.0,0.0,MES,30min,mes_30min_none_sm1p00_tm1p00_d5,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,5,none,{},,,,0.0,0.0,,False,weak_watchlist,"{""entry_delay_minutes"": 5, ""filter_name"": ""none"", ""filter_params_json"": ""{}"", ""stop_multiplier"": 1.0, ""target_multiplier"": 1.0}"
MES,30min,mes_30min_none_sm1p00_tm1p00_d15,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,15,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,3,MES,30min,mes_30min_none_sm1p00_tm1p00_d15,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,15,none,{},,,,0.0,0.0,MES,30min,mes_30min_none_sm1p00_tm1p00_d15,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,15,none,{},,,,0.0,0.0,,False,weak_watchlist,"{""entry_delay_minutes"": 15, ""filter_name"": ""none"", ""filter_params_json"": ""{}"", ""stop_multiplier"": 1.0, ""target_multiplier"": 1.0}"
