symbol,signal_timeframe,total_test_trades,total_test_net_pnl,test_profit_factor,test_winrate,avg_trade,max_drawdown,pnl_to_maxdd,number_of_folds,positive_folds,pass_rate,selected_family_counts,train_score_test_corr,benchmark_raw_hybrid_net_pnl_same_windows,improvement_vs_raw_hybrid,verdict
MES,15min,0,0.0,inf,0.0,0.0,0.0,,5,0,0.0,"{""raw_hybrid"": 5}",,0.0,0.0,reject
MNQ,1H,116,-886.1500000000015,0.8653318642908702,0.35344827586206895,-7.639224137931047,-2400.0250000000015,-0.3692253205695778,5,1,0.2,"{""delay_stop_target"": 4, ""delay_stop_zone_filter"": 1}",-0.5464894925403346,-362.0250000000051,-524.1249999999964,reject
MNQ,30min,33,-482.5249999999978,0.7503427758375383,0.3939393939393939,-14.62196969696963,-636.5249999999978,-0.7580613487294285,5,1,0.0,"{""delay_adverse_filter"": 4, ""delay_stop_zone_filter"": 1}",0.06599039650401457,-1569.7249999999913,1087.1999999999935,reject
MES,30min,0,0.0,inf,0.0,0.0,0.0,,5,0,0.0,"{""raw_hybrid"": 5}",,0.0,0.0,reject
MES,1H,0,0.0,inf,0.0,0.0,0.0,,5,0,0.0,"{""raw_hybrid"": 5}",,0.0,0.0,reject
MNQ,15min,127,-2148.1749999999993,0.6297686242405964,0.29133858267716534,-16.914763779527554,-2600.875,-0.8259431921949342,5,1,0.2,"{""delay_adverse_filter"": 4, ""stop_target_recalibration"": 1}",0.5581216088478601,55.225000000016735,-2203.400000000016,reject
M2K,1H,51,314.20000000003483,1.3335456475584313,0.37254901960784315,6.1607843137261735,-325.699999999988,0.9646914338349598,5,4,0.2,"{""delay_adverse_filter"": 5}",0.7272837979291266,147.95000000013488,166.24999999989996,weak_watchlist
M2K,30min,51,-345.1749999999572,0.6915670724896975,0.21568627450980393,-6.768137254901122,-659.7249999999667,-0.5232104285876307,5,2,0.0,"{""delay_stop_zone_filter"": 5}",0.5998259235585991,-1614.924999999762,1269.7499999998047,reject
MGC,15min,25,-317.9999999999768,0.5225225225225518,0.4,-12.719999999999072,-287.49999999997726,-1.106086956521746,5,2,0.0,"{""delay_adverse_filter"": 4, ""delay_stop_zone_filter"": 1}",-0.25689725847033573,-695.0999999999522,377.09999999997535,reject
M2K,15min,105,-825.974999999911,0.6646127296721422,0.3619047619047619,-7.866428571427724,-834.3749999999147,-0.9899325842696575,5,2,0.0,"{""delay_adverse_filter"": 3, ""delay_stop_zone_filter"": 2}",-0.38764916929797627,-2313.149999999506,1487.1749999995948,reject
MGC,1H,16,748.0000000000132,3.8387096774195864,0.4375,46.750000000000824,-130.24999999999636,5.742802303263217,5,2,0.0,"{""delay_stop_target"": 1, ""delay_stop_zone_filter"": 3, ""stop_target_recalibration"": 1}",0.47981246612392753,862.6000000000249,-114.60000000001173,reject
MGC,30min,27,45.150000000010095,1.08835616438358,0.48148148148148145,1.6722222222225962,-234.00000000002365,0.1929487179487416,5,2,0.0,"{""delay_stop_target"": 3, ""delay_stop_zone_filter"": 2}",0.08565279372629477,-564.5999999999617,609.7499999999718,reject
