session_date,daily_pnl,equity,drawdown,sleeve_id,symbol,signal_timeframe,config_id,selection_basis
2022-01-14,138.5,138.5,0.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-01-21,141.5,280.0,0.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-02-24,-60.5,219.5,-60.5,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-03-21,12.0,231.5,-48.5,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-04-05,-71.75,159.75,-120.25,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-04-06,-35.5,124.25,-155.75,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-04-20,-167.375,-43.125,-323.125,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-04-22,-114.875,-158.0,-438.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-04-25,54.0,-104.0,-384.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-04-28,524.0,420.0,0.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-05-02,163.5,583.5,0.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-05-25,-44.25,539.25,-44.25,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-06-09,-7.5,531.75,-51.75,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-06-21,-7.375,524.375,-59.125,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-06-22,100.0,624.375,0.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-06-24,-30.5,593.875,-30.5,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-06-27,-107.5,486.375,-138.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-07-21,254.5,740.875,0.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-07-28,90.5,831.375,0.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-07-29,-46.0,785.375,-46.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-08-09,-37.5,747.875,-83.5,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-08-25,71.5,819.375,-12.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-09-26,194.0,1013.375,0.0,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
2022-10-07,-96.75,916.625,-96.75,MNQ_1H_wfa,MNQ,1H,walkforward_stitched,walkforward_train_only
