signal_timeframe,total_configs,median_is_pf,median_oos_pf,pct_configs_is_positive,pct_configs_oos_positive,pct_selected_configs_oos_pass,wfa_stitched_median_pnl,best_symbol,verdict
15min,1136,0.9186030455881293,0.8349999878808909,0.12235915492957747,0.12323943661971831,0.0,-571.9874999999439,MES,reject
1H,1136,1.0380197915481661,1.8953841803916165,0.3019366197183099,0.5466549295774648,0.3,157.10000000001742,MGC,weak_watchlist
30min,1136,0.9148176966475683,1.0067281536069845,0.18309859154929578,0.25264084507042256,0.2,-172.5874999999786,MGC,reject
