name,block,hypothesis,column,lower,upper,strictly_positive,candidate_signals_before_filter,candidate_signals_after_filter,selected_signal_days,n_trades,win_rate,avg_win,avg_loss,average_losing_trade,expectancy,profit_factor,cumulative_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,max_consecutive_losses,avg_consecutive_losses,longest_loss_streak,number_of_loss_streaks_2_plus,worst_trade,worst_day,stop_hit_rate,target_hit_rate,time_exit_rate,time_exit_count,time_exit_win_rate,time_exit_loss_rate,time_exit_pnl_usd,eod_exit_rate,proportion_filtered_out,trade_count_after_filters,percent_of_days_traded,percent_days_traded,avg_R,median_R,pnl_to_risk_ratio,average_loss_streak_length,count_loss_streaks_2_plus,daily_sharpe_basis,n_sessions,raw_signal_count,delta_sharpe_pct,delta_profit_factor_pct,delta_expectancy_pct,drawdown_improvement_pct,delta_win_rate_pct,trade_floor_ok,improvement_count,major_degrade,signal_credible_phase3,phase3_robustness_score
b_atr_q20_q90,B_atr_regime,Avoid low-vol and extreme-vol ATR tails at signal time.,atr_14,6.839285714285714,21.54642857142857,False,1340,865,865,788,0.4936548223350254,226.81491002570695,-170.82706766917292,-170.82706766917292,25.470812182741117,1.294468896713615,20071.0,-2083.5,0.04167,1.089292114958305,8,1.946341463414634,8,107,-250.0,-250.0,0.44923857868020306,0.21192893401015228,0.33375634517766495,263,0.8288973384030418,0.17110266159695817,25737.0,0.005076142131979695,0.6450553959786622,788,0.3704748472026328,0.3704748472026328,0.13641669793420902,-0.03204349216501439,0.1364812441138171,1.946341463414634,107,daily_pnl_over_static_capital,2127,2437,57.88499795834817,12.792942643910694,90.15637205908659,27.645788336933048,7.006103107303195,True,4,False,True,0.4618093969299236
b_atr_ge_q30,B_atr_regime,Require at least moderate ATR regime for expansion potential.,atr_14,8.807142857142857,,False,1340,999,999,787,0.4650571791613723,241.91666666666666,-174.4061757719715,-174.4061757719715,19.20775095298602,1.2058767449778687,15116.5,-2298.5,0.04597,0.8020248696195836,8,2.0047619047619047,8,114,-250.0,-250.0,0.48284625158831,0.21473951715374842,0.29987293519695046,236,0.826271186440678,0.17372881355932204,25247.5,0.0025412960609911056,0.5900697578990562,787,0.3700047014574518,0.3700047014574518,0.10222153914405728,-0.3183856502242152,0.10226773017258292,2.0047619047619047,114,daily_pnl_over_static_capital,2127,2437,16.247692573519974,5.0735068855083725,43.39849905175709,15.705895149010225,0.8071920147483326,True,4,False,True,0.18462287078234077
a_ratio_q10_q90,A_or_width_over_atr,OR width/ATR too extreme degrades follow-through quality.,or_width_atr_ratio,3.0084545044719135,9.240503467762652,False,1340,1079,1079,899,0.47163515016685204,229.3384433962264,-172.90421052631578,-172.90421052631578,16.807563959955505,1.1839777424676883,15110.0,-2080.0,0.0416,0.7645205544254566,8,2.01271186440678,8,124,-250.0,-250.0,0.457174638487208,0.19911012235817574,0.339265850945495,305,0.7901639344262295,0.2098360655737705,28545.5,0.004449388209121246,0.557242511284366,899,0.4226610249177245,0.4226610249177245,0.09179157494949813,-0.1937984496124031,0.08781641661363392,2.01271186440678,124,daily_pnl_over_static_capital,2127,2437,10.811713880072219,3.1653475312275714,25.479523889773343,27.860576923076923,2.233052781832092,True,4,False,True,0.14178973233045558
b_atr_q35_q85,B_atr_regime,Conservative bounded ATR regime around the center of distribution.,atr_14,9.732142857142858,19.689285714285713,False,1340,618,618,563,0.48845470692717585,235.8018181818182,-168.74131944444446,-168.74131944444446,28.85968028419183,1.334338186120685,16248.0,-2636.0,0.05272,1.0317500640201633,8,2.0425531914893615,8,78,-250.0,-250.0,0.45293072824156305,0.22735346358792186,0.31616341030195383,178,0.8146067415730337,0.1853932584269663,17434.0,0.003552397868561279,0.7464095199015183,563,0.2646920545369064,0.2646920545369064,0.15452936127742098,-0.11559139784946236,0.1566668755815467,2.0425531914893615,78,daily_pnl_over_static_capital,2127,2437,49.54469468236658,16.26693455268656,115.4565022212211,0.8915022761760243,5.878910461093035,False,3,False,False,0.4591180663520551
d_price_vwap_dist_atr_q30_q85,D_price_vwap_distance,Centered positive distance from VWAP can stabilize post-breakout path.,price_vwap_distance_atr,2.3067160315074857,7.155652290125351,True,1340,720,720,618,0.47249190938511326,230.8458904109589,-172.07515337423314,-172.07515337423314,18.301779935275082,1.2016257698786912,11310.5,-2074.5,0.04149,0.6889668153744428,10,1.9289940828402368,10,83,-250.0,-250.0,0.4482200647249191,0.20550161812297735,0.33980582524271846,210,0.7714285714285715,0.22857142857142856,19214.0,0.006472491909385114,0.7045547804677883,618,0.29055007052186177,0.29055007052186177,0.11236916847863206,-0.1837778589696748,0.09553755448187316,1.9289940828402368,83,daily_pnl_over_static_capital,2127,2437,-0.13925305708539273,4.703100155953481,36.634829299784116,28.199566160520607,2.4187664852124158,False,3,False,False,0.135887807565718
c_vwap_slope_atr_q40_q95,C_breakout_structure,Bounded VWAP slope/ATR to avoid flat and overextended slope states.,continuous_vwap_slope_5_atr,0.06600978191261131,0.4075028375547468,False,1340,714,714,617,0.47811993517017826,226.10338983050846,-171.5390625,-171.5390625,19.13776337115073,1.2151113540101106,11808.0,-3346.5,0.06693,0.7258748459488041,7,1.9393939393939394,7,80,-250.0,-250.0,0.4376012965964344,0.1993517017828201,0.3565640194489465,220,0.7681818181818182,0.22272727272727272,19834.0,0.006482982171799027,0.70701682396389,617,0.29007992477668076,0.29007992477668076,0.11538758249637167,-0.07339449541284404,0.09946384874891022,1.9393939393939394,80,daily_pnl_over_static_capital,2127,2437,5.2102985020046475,5.878160229869914,42.875995703394864,-20.528910802330795,3.6387142709924,False,3,True,False,0.09730935328354538
a_ratio_q30_q85,A_or_width_over_atr,Tighter OR width/ATR window can improve risk-adjusted entries.,or_width_atr_ratio,3.9177560839766694,7.840906637884511,False,1340,758,758,618,0.48220064724919093,221.58557046979865,-173.3078125,-173.3078125,17.110032362459545,1.1906650919155766,10574.0,-2986.0,0.05972,0.6527697931953155,9,2.1333333333333333,9,81,-250.0,-250.0,0.43851132686084143,0.1925566343042071,0.3640776699029126,225,0.7822222222222223,0.21777777777777776,20356.0,0.0048543689320388345,0.6889618383258104,618,0.29055007052186177,0.29055007052186177,0.1065174024385993,-0.12882633959325485,0.08915758142986029,2.1333333333333333,81,daily_pnl_over_static_capital,2127,2437,-5.385749101967309,3.7480466015802265,27.73764953060581,-10.93436034829203,4.523261686963355,False,2,True,False,0.03939344332618962
a_ratio_q20_q80,A_or_width_over_atr,Mid-range OR width/ATR may avoid both compression and blow-off opens.,or_width_atr_ratio,3.4679216020614074,7.0620974549634505,False,1340,815,815,675,0.4666666666666667,228.76666666666668,-174.4388888888889,-174.4388888888889,13.723703703703704,1.147512659638842,9263.5,-2315.5,0.04631,0.5417271443985243,8,2.1818181818181817,8,91,-250.0,-250.0,0.46074074074074073,0.1985185185185185,0.3362962962962963,227,0.7841409691629956,0.21585903083700442,21210.0,0.0044444444444444444,0.6655724251128436,675,0.31734837799717913,0.31734837799717913,0.08635737074523449,-0.1989389920424403,0.07172250933937248,2.1818181818181817,91,daily_pnl_over_static_capital,2127,2437,-21.480576318486744,-0.012020427524899478,2.4564779790740436,14.856402504858563,1.156069364161855,True,2,True,False,-0.040502207337390655
c_vwap_slope_atr_ge_median,C_breakout_structure,Require at least median VWAP slope normalized by ATR.,continuous_vwap_slope_5_atr,0.09097691763220786,,False,1340,651,651,561,0.47058823529411764,217.89204545454547,-167.21525423728812,-167.21525423728812,14.607843137254902,1.1661311412266742,8195.0,-2929.0,0.05858,0.5447117814758548,8,2.0205479452054793,8,73,-250.0,-250.0,0.43672014260249553,0.18538324420677363,0.37076648841354726,208,0.7548076923076923,0.23557692307692307,18490.0,0.0071301247771836,0.7328682806729585,561,0.2637517630465444,0.2637517630465444,0.09385587298498681,-0.06818181818181818,0.07650191604859902,2.0205479452054793,73,daily_pnl_over_static_capital,2127,2437,-21.047974803806024,1.610292268581276,9.057160590694574,-9.201092523045409,2.0061203672220356,False,1,True,False,-0.056039584775297
d_price_vwap_dist_atr_ge_q20,D_price_vwap_distance,Exclude near-VWAP breakouts with low displacement.,price_vwap_distance_atr,1.6012728954067839,,True,1340,1054,1054,900,0.46,219.92632850241546,-165.77950310559007,-165.77950310559007,12.197777777777778,1.1371024646721992,10978.0,-3434.5,0.06869,0.5732893728356246,9,2.037974683544304,9,127,-250.0,-250.0,0.4388888888888889,0.18555555555555556,0.3711111111111111,334,0.7305389221556886,0.26047904191616766,27025.5,0.0044444444444444444,0.5675010258514567,900,0.4231311706629055,0.4231311706629055,0.07374610048940432,-0.146627457644651,0.06346967152219098,2.037974683544304,127,daily_pnl_over_static_capital,2127,2437,-16.905860038140542,-0.9191079031417448,-8.935563076514688,-22.565147765322465,-0.2890173410404547,True,0,True,False,-0.1101389017570545
