symbol,variant_name,box_lookback,compression_threshold,target_r,year,oos_sessions,n_trades,net_pnl,profit_factor,sharpe_ratio,win_rate,average_trade,max_drawdown
M2K,vceb_n12_ct20_tr1p8,12,20.0,1.8,2024,217,70,-312.68333333330247,0.6762972868050091,-1.5599320478549425,0.32857142857142857,-4.466904761904321,-350.7833333333076
M2K,vceb_n12_ct20_tr1p8,12,20.0,1.8,2025,253,72,-49.78958333328251,0.951651308402755,-0.18367818904645436,0.4305555555555556,-0.6915219907400348,-317.09999999998786
M2K,vceb_n12_ct20_tr1p8,12,20.0,1.8,2026,55,13,91.67500000000473,1.7051923076923563,1.7339102717416839,0.6923076923076923,7.0519230769234404,-81.124999999995
MES,vceb_n12_ct20_tr1p8,12,20.0,1.8,2024,217,117,-674.8177083333303,0.7358000020391318,-1.6803241922019883,0.3418803418803419,-5.7676727207976946,-854.6041666666633
MES,vceb_n12_ct20_tr1p8,12,20.0,1.8,2025,253,109,-1115.5625000000055,0.7055835051546377,-1.3462250197467052,0.29357798165137616,-10.234518348623903,-1762.1250000000055
MES,vceb_n12_ct20_tr1p8,12,20.0,1.8,2026,55,18,-183.87499999999818,0.7056528264132095,-1.1162040405255271,0.2222222222222222,-10.215277777777677,-249.375
MGC,vceb_n12_ct20_tr1p8,12,20.0,1.8,2021,15,0,0.0,0.0,0.0,0.0,0.0,0.0
MGC,vceb_n12_ct20_tr1p8,12,20.0,1.8,2022,207,65,-281.5124999999193,0.6537627796141926,-1.452800623324341,0.38461538461538464,-4.330961538460297,-367.2374999999465
MGC,vceb_n12_ct20_tr1p8,12,20.0,1.8,2023,214,41,-233.42499999994288,0.571205510907085,-1.4699044267318215,0.3902439024390244,-5.693292682925436,-197.6749999999447
MGC,vceb_n12_ct20_tr1p8,12,20.0,1.8,2024,222,37,-449.04999999994516,0.3555077143882862,-2.4866400921882543,0.32432432432432434,-12.136486486485005,-501.5999999999508
MGC,vceb_n12_ct20_tr1p8,12,20.0,1.8,2025,227,45,-199.4499999999607,0.8563040345821596,-0.5220413608586207,0.4444444444444444,-4.432222222221349,-636.3499999999658
MGC,vceb_n12_ct20_tr1p8,12,20.0,1.8,2026,54,19,187.7999999998974,1.1768361581919835,0.5966872146442157,0.3684210526315789,9.88421052631039,-519.0000000000236
MNQ,vceb_n12_ct20_tr1p8,12,20.0,1.8,2024,217,91,-327.44791666666424,0.9131972729004847,-0.4111048041444321,0.4065934065934066,-3.598328754578728,-1153.3062500000015
MNQ,vceb_n12_ct20_tr1p8,12,20.0,1.8,2025,253,95,1088.3520833333314,1.2448239420943237,0.8014189640936752,0.4105263157894737,11.456337719298226,-946.7979166666701
MNQ,vceb_n12_ct20_tr1p8,12,20.0,1.8,2026,55,16,-258.125,0.7534328358208955,-1.189231446477635,0.375,-16.1328125,-377.25
M2K,vceb_n16_ct15_tr1p8,16,15.0,1.8,2024,217,56,-383.26874999997244,0.5374467282670405,-2.0718265698274148,0.32142857142857145,-6.844084821428079,-478.4937499999796
M2K,vceb_n16_ct15_tr1p8,16,15.0,1.8,2025,253,50,-205.54999999996312,0.7224172856178669,-0.9737956678125471,0.4,-4.110999999999263,-289.82499999998595
M2K,vceb_n16_ct15_tr1p8,16,15.0,1.8,2026,55,3,59.00000000000318,inf,2.863070111554697,1.0,19.666666666667727,0.0
MES,vceb_n16_ct15_tr1p8,16,15.0,1.8,2024,217,64,-293.93750000000637,0.7899039535403126,-0.9447941698152671,0.375,-4.5927734375000995,-601.1875000000009
MES,vceb_n16_ct15_tr1p8,16,15.0,1.8,2025,253,75,-492.93750000000273,0.7877270892208305,-0.8406773728726827,0.32,-6.572500000000036,-811.3750000000027
MES,vceb_n16_ct15_tr1p8,16,15.0,1.8,2026,55,11,-327.1875,0.11794439764111204,-4.068921802855272,0.18181818181818182,-29.744318181818183,-364.6875
MGC,vceb_n16_ct15_tr1p8,16,15.0,1.8,2021,15,0,0.0,0.0,0.0,0.0,0.0,0.0
MGC,vceb_n16_ct15_tr1p8,16,15.0,1.8,2022,207,44,-119.88749999992933,0.7511093810822589,-0.923376911830231,0.4090909090909091,-2.724715909089303,-213.9374999999427
MGC,vceb_n16_ct15_tr1p8,16,15.0,1.8,2023,214,26,-156.7499999999677,0.5231939163498784,-1.418443694403244,0.38461538461538464,-6.028846153844912,-178.49999999997408
MGC,vceb_n16_ct15_tr1p8,16,15.0,1.8,2024,222,17,-174.19999999998026,0.36884057971020395,-1.371748949559824,0.35294117647058826,-10.247058823528251,-214.69999999998663
MGC,vceb_n16_ct15_tr1p8,16,15.0,1.8,2025,227,34,-407.1999999999616,0.6810027418723317,-0.9519804373561059,0.3235294117647059,-11.976470588234164,-549.1499999999724
MGC,vceb_n16_ct15_tr1p8,16,15.0,1.8,2026,54,12,-629.2000000000553,0.4238095238094962,-2.533974571382847,0.25,-52.43333333333794,-572.0000000000255
MNQ,vceb_n16_ct15_tr1p8,16,15.0,1.8,2024,217,63,102.14374999999563,1.0400264508149528,0.14318408117467504,0.4444444444444444,1.6213293650792957,-527.3000000000029
MNQ,vceb_n16_ct15_tr1p8,16,15.0,1.8,2025,253,59,-1122.4249999999956,0.6456152813955338,-1.3955763086162833,0.3050847457627119,-19.024152542372807,-1273.699999999997
MNQ,vceb_n16_ct15_tr1p8,16,15.0,1.8,2026,55,11,236.64999999999418,1.434918447048002,1.0144471788622564,0.45454545454545453,21.513636363635836,-243.0
