symbol,dataset_path,resampled_dataset_path,variant_name,box_lookback,compression_threshold,target_r,is_sessions,oos_sessions,overall_total_trades,overall_net_pnl,overall_profit_factor,overall_sharpe_ratio,overall_max_drawdown,overall_win_rate,overall_average_trade,overall_expectancy,overall_median_holding_minutes,overall_time_in_market_pct,is_total_trades,is_net_pnl,is_profit_factor,is_sharpe_ratio,oos_total_trades,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_max_drawdown,oos_win_rate,oos_average_trade,oos_expectancy,oos_median_holding_minutes,oos_time_in_market_pct,oos_top_5_day_contribution_pct
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n12_ct15_tr1p8,12,15.0,1.8,1222,525,465,-1819.7687499997323,0.7266588434097223,-0.9939566735136774,-2109.616666666443,0.3655913978494624,-3.9134811827951235,-3.9134811827951235,35.0,0.02481176522390031,347,-1502.9958333331308,0.697912422665877,-1.1048633192017563,118,-316.77291666660153,0.8116840573428216,-0.6880259981553956,-459.5479166666046,0.3898305084745763,-2.6845162429373013,-2.6845162429373013,37.5,0.021391941391941394,-1.1992028990275452
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n12_ct15_tr2p2,12,15.0,2.2,1222,525,464,-1813.4729166663988,0.731207927273659,-0.9313594422405471,-2071.4958333331087,0.34698275862068967,-3.908346803160342,-3.908346803160342,40.0,0.025927230563750313,346,-1350.7416666664642,0.7310613303910461,-0.9289359569307593,118,-462.73124999993456,0.7316349401011618,-0.9629029653248624,-547.6062499999389,0.3559322033898305,-3.921451271185886,-3.921451271185886,42.5,0.02253968253968254,-0.9381795588693472
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n12_ct20_tr1p8,12,20.0,1.8,1222,525,609,-2035.493749999639,0.7666955599811238,-0.9735679097346703,-2362.1770833330593,0.37438423645320196,-3.342354269293332,-3.342354269293332,40.0,0.033889598285705896,454,-1764.6958333330588,0.7325758376993871,-1.1366163082108351,155,-270.79791666658025,0.8726112714568198,-0.5141964277194329,-440.9583333332848,0.4064516129032258,-1.7470833333327758,-1.7470833333327758,40.0,0.02967032967032967,-1.4725925697980524
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n12_ct20_tr2p2,12,20.0,2.2,1222,525,608,-1933.6229166662997,0.7806160268138194,-0.8724737066659541,-2230.547916666379,0.36019736842105265,-3.180300849780098,-3.180300849780098,40.0,0.03519586690737234,453,-1508.69166666639,0.7729921710304977,-0.9119911142350501,155,-424.9312499999098,0.8039881412859476,-0.775562452171535,-519.2833333332746,0.38064516129032255,-2.7414919354832894,-2.7414919354832894,50.0,0.031086691086691088,-1.0829987203814702
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n16_ct15_tr1p8,16,15.0,1.8,1222,525,419,-2006.5854166664064,0.6763446840184015,-1.2143367993507244,-2226.585416666443,0.36754176610978523,-4.788986674621495,-4.788986674621495,45.0,0.02493652121585722,310,-1476.766666666474,0.6810898358767975,-1.2095339376707703,109,-529.8187499999324,0.6623409213120968,-1.2485157445427844,-662.0937499999636,0.3761467889908257,-4.8607224770636,-4.8607224770636,55.0,0.02192918192918193,-0.4636491252905487
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n16_ct15_tr2p2,16,15.0,2.2,1222,525,419,-1745.085416666392,0.7203673504134065,-0.9992365343789514,-1932.0854166664358,0.360381861575179,-4.164881662688286,-4.164881662688286,50.0,0.025670379992074326,310,-1124.5416666664664,0.758632408310044,-0.8555310288049253,109,-620.5437499999255,0.6076465590484645,-1.4866467651816095,-693.0687499999622,0.3669724770642202,-5.693061926604821,-5.693061926604821,60.0,0.02280830280830281,-0.40230845931496967
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n16_ct20_tr1p8,16,20.0,1.8,1222,525,537,-2434.085416666321,0.7007659101474161,-1.284433464325863,-2626.3104166663325,0.3780260707635009,-4.5327475170695,-4.5327475170695,45.0,0.03278147153361807,400,-1698.99166666641,0.7227399756573887,-1.2105773780174498,137,-735.0937499999111,0.6336608992229087,-1.5228519308711679,-874.5937499999127,0.3722627737226277,-5.365647810218329,-5.365647810218329,55.0,0.028473748473748475,-0.3860051864133474
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n16_ct20_tr2p2,16,20.0,2.2,1222,525,537,-2046.7354166663097,0.7496427866085171,-1.0240753869926533,-2259.4604166663266,0.37243947858473,-3.8114253569205023,-3.8114253569205023,50.0,0.03368411782836511,400,-1251.9666666664011,0.7966321033110815,-0.8338239915506802,137,-794.7687499999086,0.6063735277275111,-1.651257618156153,-934.2687499999156,0.36496350364963503,-5.80123175182415,-5.80123175182415,60.0,0.02945054945054945,-0.3629043039249338
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n8_ct15_tr1p8,8,15.0,1.8,1222,525,566,-1937.735416666353,0.7319153474229172,-1.193760313899751,-2275.5999999997002,0.35159010600706714,-3.4235608068310124,-3.4235608068310124,30.0,0.02584650609836643,405,-1714.6104166664463,0.6693478662627996,-1.5541334742994837,161,-223.12499999990678,0.8907605452793373,-0.4308832594247465,-624.5770833332499,0.39751552795031053,-1.3858695652168123,-1.3858695652168123,30.0,0.024078144078144077,-1.7536134453788965
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\volatility_compression_expansion_20260328_run\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n8_ct15_tr2p2,8,15.0,2.2,1222,525,566,-2075.6458333329965,0.7182014628600253,-1.244400246452975,-2350.2249999996784,0.3321554770318021,-3.6672187868074144,-3.6672187868074144,30.0,0.027769216092055245,405,-1638.6999999997693,0.687980578518989,-1.4152902918965886,161,-436.94583333322726,0.7932881275748993,-0.8570422468300977,-691.2562499999112,0.36645962732919257,-2.71394927536166,-2.71394927536166,30.0,0.026349206349206348,-0.8561320529816182
