trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,holding_minutes,gross_pnl_usd,entry_hour,signal_atr,signal_box_width,mfe_points,mae_points,mfe_usd,mae_usd,mfe_r,mae_r
1,2010-11-09,short,1,2010-11-09 13:30:00-05:00,1414.5,1418.6999999999998,1406.94,2010-11-09 13:45:00-05:00,1407.04,target,50000.0,,,45.49999999999727,45.49999999999727,45.49999999999727,14145.0,0.2829,7.460000000000036,74.60000000000036,74.60000000000036,2.5,72.10000000000036,vceb_n16_ct15_tr1p8,2010-11-09 13:25:00-05:00,2,15.0,74.60000000000036,13.0,2.0249999999999964,5.599999999999909,11.200000000000045,-0.09999999999990905,112.00000000000045,-0.9999999999990905,2.4615384615386193,-0.021978021978003307
2,2010-11-12,short,1,2010-11-12 09:50:00-05:00,1391.1000000000001,1396.4250000000002,1381.5149999999999,2010-11-12 11:00:00-05:00,1381.6149999999998,target,50000.0,,,56.749999999999545,56.749999999999545,56.749999999999545,13911.000000000002,0.27822,9.485000000000355,94.85000000000355,94.85000000000355,2.5,92.35000000000355,vceb_n16_ct15_tr1p8,2010-11-12 09:40:00-05:00,9,70.0,94.85000000000355,9.0,2.2124999999999866,7.100000000000136,16.100000000000136,-1.3999999999998636,161.00000000000136,-13.999999999998636,2.8370044052863905,-0.24669603524226869
3,2010-11-15,long,1,2010-11-15 10:30:00-05:00,1372.1,1366.6249999999998,1381.9550000000002,2010-11-15 14:10:00-05:00,1369.0,time_stop,50000.0,,,58.250000000000455,58.250000000000455,58.250000000000455,13721.0,0.27442,-3.099999999999909,-30.99999999999909,-30.99999999999909,2.5,-33.49999999999909,vceb_n16_ct15_tr1p8,2010-11-15 10:25:00-05:00,12,220.0,-30.99999999999909,10.0,2.168749999999998,7.300000000000182,2.2000000000000455,-5.099999999999909,22.000000000000455,-50.99999999999909,0.37768240343348125,-0.8755364806866728
4,2010-11-17,long,1,2010-11-17 10:25:00-05:00,1343.3,1339.85,1349.5099999999998,2010-11-17 11:15:00-05:00,1339.75,stop,50000.0,,,37.999999999999545,37.999999999999545,37.999999999999545,13433.0,0.26866,-3.5499999999999545,-35.499999999999545,-35.499999999999545,2.5,-37.999999999999545,vceb_n16_ct15_tr1p8,2010-11-17 10:20:00-05:00,5,50.0,-35.499999999999545,10.0,1.5291666666666544,4.599999999999909,0.0,-4.7999999999999545,0.0,-47.999999999999545,0.0,-1.2631578947368451
5,2010-11-22,long,1,2010-11-22 13:15:00-05:00,1358.1,1354.275,1364.9849999999997,2010-11-22 15:05:00-05:00,1362.9,time_stop,50000.0,,,41.74999999999727,41.74999999999727,41.74999999999727,13581.0,0.27162,4.800000000000182,48.00000000000182,48.00000000000182,2.5,45.50000000000182,vceb_n16_ct15_tr1p8,2010-11-22 12:50:00-05:00,12,110.0,48.00000000000182,13.0,1.4145833333333495,5.099999999999909,4.900000000000091,-0.09999999999990905,49.00000000000091,-0.9999999999990905,1.173652694610877,-0.023952095808363015
6,2010-11-26,short,1,2010-11-26 10:10:00-05:00,1355.9,1359.275,1349.825,2010-11-26 13:30:00-05:00,1359.375,stop,50000.0,,,37.24999999999909,37.24999999999909,37.24999999999909,13559.0,0.27118,-3.474999999999909,-34.74999999999909,-34.74999999999909,2.5,-37.24999999999909,vceb_n16_ct15_tr1p8,2010-11-26 09:40:00-05:00,6,200.0,-34.74999999999909,10.0,2.187500000000014,4.5,1.400000000000091,-4.5,14.00000000000091,-45.0,0.37583892617453024,-1.2080536912751973
7,2010-12-31,long,1,2010-12-31 09:55:00-05:00,1413.8,1411.4875,1417.9624999999999,2010-12-31 10:50:00-05:00,1417.8625,target,50000.0,,,26.62499999999909,26.62499999999909,26.62499999999909,14138.0,0.28276,4.0625,40.625,40.625,2.5,38.125,vceb_n16_ct15_tr1p8,2010-12-31 09:35:00-05:00,4,55.0,40.625,9.0,2.312499999999981,2.6000000000001364,4.7999999999999545,-0.09999999999990905,47.999999999999545,-0.9999999999990905,1.8028169014084952,-0.037558685445976514
8,2011-01-03,long,1,2011-01-03 09:45:00-05:00,1421.6999999999998,1419.5249999999996,1425.615,2011-01-03 10:30:00-05:00,1419.4249999999997,stop,50000.0,,,25.25000000000091,25.25000000000091,25.25000000000091,14216.999999999998,0.28434,-2.275000000000091,-22.75000000000091,-22.75000000000091,2.5,-25.25000000000091,vceb_n16_ct15_tr1p8,2011-01-03 09:40:00-05:00,7,45.0,-22.75000000000091,9.0,0.9062500000000048,2.900000000000091,1.900000000000091,-2.699999999999818,19.00000000000091,-26.99999999999818,0.7524752475247614,-1.0693069306929588
9,2011-01-04,short,1,2011-01-04 12:35:00-05:00,1378.8000000000002,1381.65,1373.6700000000003,2011-01-04 13:40:00-05:00,1378.5,time_stop,50000.0,,,31.99999999999818,31.99999999999818,31.99999999999818,13788.000000000002,0.27576000000000006,0.3000000000001819,3.000000000001819,3.000000000001819,2.5,0.500000000001819,vceb_n16_ct15_tr1p8,2011-01-04 12:30:00-05:00,12,65.0,3.000000000001819,12.0,1.6520833333333467,3.7999999999999545,4.500000000000227,-1.2999999999997272,45.000000000002274,-12.999999999997272,1.406250000000151,-0.4062499999999378
10,2011-01-10,long,1,2011-01-10 10:35:00-05:00,1371.8,1368.425,1377.875,2011-01-10 12:35:00-05:00,1371.7,time_stop,50000.0,,,37.24999999999909,37.24999999999909,37.24999999999909,13718.0,0.27436,-0.09999999999990905,-0.9999999999990905,-0.9999999999990905,2.5,-3.4999999999990905,vceb_n16_ct15_tr1p8,2011-01-10 10:30:00-05:00,12,120.0,-0.9999999999990905,10.0,1.2958333333333247,4.5,0.7000000000000455,-3.0,7.000000000000455,-30.0,0.18791946308726512,-0.8053691275167982
