variant_name,family,period_type,period_label,phase,n_sessions,sufficient_observations,net_pnl,sharpe,sortino,profit_factor,expectancy,max_drawdown,n_trades,n_days_traded,pct_days_traded,worst_day,longest_losing_streak_daily,median_recovery_days,max_recovery_days,daily_loss_limit_breach_freq,days_to_profit_target,profit_target_reached_before_max_loss,max_loss_limit_buffer_usd
nominal,stress_execution,semester,2019H1,is,39,False,-205.0,-0.4820989601699001,-0.17238789967839485,0.8506919155134741,-34.166666666666664,-680.0,6,6,0.15384615384615385,-680.0,1,36.0,36.0,0.0,,False,1665.0
nominal,stress_execution,semester,2019H2,is,129,False,660.5,0.4362131131653928,0.17477717043539956,1.283659007945029,60.04545454545455,-1376.5,11,11,0.08527131782945736,-750.0,2,2.0,90.0,0.0,,False,1490.0
nominal,stress_execution,semester,2020H1,is,126,True,801.0,0.1896335623228938,0.16273362659244775,1.0385773111469647,12.714285714285714,-5962.0,63,63,0.5,-749.0,3,29.0,58.0,0.0,,False,-1908.5
nominal,stress_execution,semester,2020H2,is,129,True,-3071.0,-0.6087773708525112,-0.6519646840171909,0.8999706849939741,-31.989583333333332,-5798.5,96,96,0.7441860465116279,-740.0,6,10.0,111.0,0.0,,False,-1450.0
nominal,stress_execution,semester,2021H1,is,125,True,11964.0,2.495625566365259,2.6278983636998903,1.51857310042911,123.34020618556701,-3444.0,97,97,0.776,-750.0,4,8.5,26.0,0.0,16.0,True,1606.5
nominal,stress_execution,semester,2021H2,is,129,True,1438.0,0.3440319752893381,0.3224666180375569,1.0633508084056567,15.46236559139785,-5345.0,93,93,0.7209302325581395,-747.5,4,20.0,64.0,0.0,64.0,True,1033.5
nominal,stress_execution,semester,2022H1,is,126,True,1922.5,0.47025922498235373,0.41499770330089114,1.0936206476747017,26.70138888888889,-4653.5,72,72,0.5714285714285714,-750.0,8,11.0,47.0,0.0,13.0,True,804.0
nominal,stress_execution,semester,2022H2,is,128,True,144.5,0.033637488512020364,0.03318212172537355,1.0054249887370477,1.3018018018018018,-6042.5,111,111,0.8671875,-743.0,4,3.5,112.0,0.0,16.0,True,-779.0
nominal,stress_execution,semester,2023H1,is,126,True,-3204.0,-0.6160419147564284,-0.6486679385273296,0.9091192738618635,-30.514285714285716,-8827.0,105,105,0.8333333333333334,-750.0,4,8.0,111.0,0.0,,False,-6458.5
nominal,stress_execution,semester,2023H2,is,127,True,4961.5,0.9889574414362665,1.0797282148260636,1.1719757365684575,46.36915887850467,-5281.0,107,107,0.84251968503937,-750.0,6,6.0,66.0,0.0,87.0,False,-3440.0
nominal,stress_execution,semester,2024H1,mixed,126,True,16505.5,2.8801208120237693,3.616673416196852,1.5980578654637028,155.71226415094338,-6716.5,106,106,0.8412698412698413,-750.0,4,2.0,71.0,0.0,81.0,False,-3628.0
nominal,stress_execution,semester,2024H2,oos,129,True,12203.5,2.448222124689377,2.669472011899599,1.5288738650891678,127.11979166666667,-5605.0,96,96,0.7441860465116279,-750.0,4,3.5,57.0,0.0,9.0,True,1386.0
nominal,stress_execution,semester,2025H1,oos,124,True,-1819.5,-0.4774176596166114,-0.37323358227836506,0.9129259188361409,-25.992857142857144,-8081.5,70,70,0.5645161290322581,-746.0,7,8.0,38.0,0.0,31.0,True,-267.0
nominal,stress_execution,semester,2025H2,oos,129,True,4460.5,1.0763943153962086,0.9801143604083697,1.2193454795800447,51.270114942528735,-3687.5,87,87,0.6744186046511628,-744.0,4,2.0,43.0,0.0,70.0,False,-131.0
nominal,stress_execution,semester,2026H1,oos,55,False,256.0,0.3231344740313483,0.14718169356621308,1.1132492811324928,18.285714285714285,-990.0,14,14,0.2545454545454545,-694.5,1,13.0,24.0,0.0,,False,1129.5
slippage_x1p5,stress_execution,semester,2019H1,is,39,False,-220.0,-0.5171518872718778,-0.18410577782435333,0.8406374501992032,-36.666666666666664,-682.5,6,6,0.15384615384615385,-682.5,1,36.0,36.0,0.0,,False,1659.5
