variant_name,family,period_type,period_label,phase,n_sessions,sufficient_observations,net_pnl,sharpe,sortino,profit_factor,expectancy,max_drawdown,n_trades,n_days_traded,pct_days_traded,worst_day,longest_losing_streak_daily,median_recovery_days,max_recovery_days,daily_loss_limit_breach_freq,days_to_profit_target,profit_target_reached_before_max_loss,max_loss_limit_buffer_usd
nominal,stress_execution,year,2019,is,168,False,455.5,0.23469109670965566,0.09141507150888675,1.1230582196406862,26.794117647058822,-1376.5,17,17,0.10119047619047619,-750.0,2,79.5,90.0,0.0,,False,1285.0
nominal,stress_execution,year,2020,is,255,True,-2270.0,-0.24411472524985653,-0.23735291775234532,0.955891925502045,-14.276729559748428,-5962.0,159,159,0.6235294117647059,-749.0,6,22.0,111.0,0.0,143.0,False,-1908.5
nominal,stress_execution,year,2021,is,254,True,13402.0,1.484007137264606,1.4877260304085527,1.2928118855145292,70.53684210526316,-5345.0,190,190,0.7480314960629921,-750.0,4,12.0,64.0,0.0,16.0,True,1606.5
nominal,stress_execution,year,2022,is,254,True,2067.0,0.24648426486129585,0.23150844768785867,1.043819295753747,11.295081967213115,-6042.5,183,183,0.7204724409448819,-750.0,8,32.0,112.0,0.0,13.0,True,804.0
nominal,stress_execution,year,2023,is,253,True,1757.5,0.1717445251286569,0.183829009165499,1.0274159581935887,8.290094339622641,-9012.5,212,212,0.8379446640316206,-750.0,6,7.0,227.0,0.0,,False,-6644.0
nominal,stress_execution,year,2024,mixed,255,True,28709.0,2.6693892328207345,3.1396074773211886,1.566554180727409,142.12376237623764,-6716.5,202,202,0.792156862745098,-750.0,4,3.0,71.0,0.0,81.0,False,-3628.0
nominal,stress_execution,year,2025,oos,253,True,2641.0,0.331506407762421,0.28029382782475065,1.0640529692104337,16.821656050955415,-9765.0,157,157,0.6205533596837944,-746.0,7,8.0,167.0,0.0,31.0,True,-1950.5
nominal,stress_execution,year,2026,oos,55,False,256.0,0.3231344740313483,0.14718169356621308,1.1132492811324928,18.285714285714285,-990.0,14,14,0.2545454545454545,-694.5,1,13.0,24.0,0.0,,False,1129.5
slippage_x1p5,stress_execution,year,2019,is,168,False,635.75,0.33650890145781603,0.13668800180602367,1.1813320022818026,37.39705882352941,-1258.5,17,17,0.10119047619047619,-682.5,2,79.5,90.0,0.0,,False,1356.5
slippage_x1p5,stress_execution,year,2020,is,255,True,-3495.75,-0.38036557898234413,-0.36518396573616657,0.9321727235685597,-21.985849056603772,-6596.75,159,159,0.6235294117647059,-745.5,6,22.0,111.0,0.0,,False,-1984.0
