portfolio,net_pnl,sharpe,sortino,max_drawdown,diversification_benefit
equal_weight,5116.500000000315,0.7189322408570237,0.7669619449057099,-2570.7499999999636,0.2716608107703795
vol_targeted,5414.427770483466,0.8402866216311661,0.9391765830548074,-2134.47071896695,0.2716608107703795
