campaign_variant_name,variant_role,scope,sizing_mode,risk_pct,max_contracts,skip_trade_if_too_small,fixed_contracts,initial_capital_usd,worst_trade_loss_usd,worst_day_pnl_usd,max_daily_drawdown_usd,nb_days_below_minus_250,nb_days_below_minus_500,nb_days_below_minus_1000,nb_trades_below_minus_150,nb_trades_below_minus_250,nb_trades_below_minus_500,pass_target_3000_usd_without_breaching_2000_dd,days_to_3000_usd_if_reached,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd
fixed_1_contract,baseline,full,fixed_contracts,,,,1.0,50000.0,127.5,-127.5,482.203125,0,0,0,0,0,0,False,,482.203125,266.125
fixed_1_contract,baseline,oos,fixed_contracts,,,,1.0,50000.0,103.75,-103.75,370.59375,0,0,0,0,0,0,False,,370.59375,20.0
risk_pct_0p0015__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,2.0,True,,50000.0,80.0,-80.0,831.875,0,0,0,0,0,0,True,1585.0,831.875,420.375
risk_pct_0p0015__max_contracts_2__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,2.0,True,,50000.0,80.0,-80.0,343.6875,0,0,0,0,0,0,False,,343.6875,40.0
risk_pct_0p0015__max_contracts_3__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,3.0,True,,50000.0,90.0,-105.0,900.625,0,0,0,0,0,0,True,1363.0,900.625,250.48437500000728
risk_pct_0p0015__max_contracts_3__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,3.0,True,,50000.0,90.0,-90.0,373.75,0,0,0,0,0,0,True,363.0,373.75,60.0
risk_pct_0p0015__max_contracts_4__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,4.0,True,,50000.0,95.0,-111.25,1028.125,0,0,0,0,0,0,True,1363.0,1028.125,156.81250000000728
risk_pct_0p0015__max_contracts_4__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,4.0,True,,50000.0,90.0,-90.0,373.75,0,0,0,0,0,0,True,191.0,373.75,80.0
risk_pct_0p0015__max_contracts_5__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,5.0,True,,50000.0,100.0,-117.5,1111.875,0,0,0,0,0,0,True,1310.0,1111.875,242.37500000000728
risk_pct_0p0015__max_contracts_5__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,5.0,True,,50000.0,95.0,-95.0,373.75,0,0,0,0,0,0,True,191.0,373.75,80.0
risk_pct_0p0015__max_contracts_6__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,6.0,True,,50000.0,105.0,-123.75,1160.625,0,0,0,0,0,0,True,1350.0,1160.625,308.5625000000073
risk_pct_0p0015__max_contracts_6__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,6.0,True,,50000.0,100.0,-100.0,398.75,0,0,0,0,0,0,True,141.0,398.75,80.0
risk_pct_0p0020__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,2.0,True,,50000.0,105.0,-105.0,764.171875,0,0,0,0,0,0,True,1413.0,764.171875,442.671875
risk_pct_0p0020__max_contracts_2__skip_trade_if_too_small_true,grid,oos,risk_percent,0.002,2.0,True,,50000.0,103.75,-103.75,396.1875,0,0,0,0,0,0,False,,396.1875,40.0
risk_pct_0p0020__max_contracts_3__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,3.0,True,,50000.0,120.0,-120.0,953.546875,0,0,0,0,0,0,True,1363.0,953.546875,381.2968750000073
risk_pct_0p0020__max_contracts_3__skip_trade_if_too_small_true,grid,oos,risk_percent,0.002,3.0,True,,50000.0,108.75,-108.75,405.0,0,0,0,0,0,0,True,363.0,405.0,60.0
risk_pct_0p0020__max_contracts_4__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,4.0,True,,50000.0,125.0,-140.0,1076.671875,0,0,0,0,0,0,True,1255.0,1076.671875,265.7812500000073
risk_pct_0p0020__max_contracts_4__skip_trade_if_too_small_true,grid,oos,risk_percent,0.002,4.0,True,,50000.0,120.0,-120.0,462.5,0,0,0,0,0,0,True,191.0,462.5,80.0
risk_pct_0p0020__max_contracts_5__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,5.0,True,,50000.0,125.0,-146.25,1265.421875,0,0,0,0,0,0,True,1233.0,1265.421875,233.35937500000728
