variant_name,session_date,entry_time,entry_signal_time,direction,entry_price,initial_stop_price,position_sizing_mode,stop_distance_points,risk_per_contract_usd,contracts_raw,contracts,actual_risk_usd,notional_usd,skipped,skip_reason,campaign_variant_name,variant_role,scope,alpha_variant_name,phase,capital_before_trade_usd,risk_pct,risk_budget_usd,leverage_used,max_contracts,skip_trade_if_too_small
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-06-25,2019-06-25 10:30:00-04:00,2019-06-25 09:30:00-04:00,long,2942.25,2937.5,fixed_contracts,4.75,23.75,1.0,1.0,23.75,14711.25,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-07-01,2019-07-01 10:30:00-04:00,2019-07-01 09:30:00-04:00,long,2970.25,2969.5,fixed_contracts,0.75,3.75,1.0,1.0,3.75,14851.25,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-07-05,2019-07-05 10:30:00-04:00,2019-07-05 09:30:00-04:00,long,2976.25,2975.5,fixed_contracts,0.75,3.75,1.0,1.0,3.75,14881.25,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-07-24,2019-07-24 10:30:00-04:00,2019-07-24 09:30:00-04:00,short,3008.25,3011.0,fixed_contracts,2.75,13.75,1.0,1.0,13.75,15041.25,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-07-29,2019-07-29 10:30:00-04:00,2019-07-29 09:30:00-04:00,long,3019.0,3015.5,fixed_contracts,3.5,17.5,1.0,1.0,17.5,15095.0,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-08-01,2019-08-01 10:30:00-04:00,2019-08-01 09:30:00-04:00,short,3001.75,3002.25,fixed_contracts,0.5,2.5,1.0,1.0,2.5,15008.75,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-08-01,2019-08-01 14:30:00-04:00,2019-08-01 13:30:00-04:00,long,2958.5,2950.75,fixed_contracts,7.75,38.75,1.0,1.0,38.75,14792.5,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-08-13,2019-08-13 10:30:00-04:00,2019-08-13 09:30:00-04:00,short,2940.0,2944.25,fixed_contracts,4.25,21.25,1.0,1.0,21.25,14700.0,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-08-23,2019-08-23 11:30:00-04:00,2019-08-23 10:30:00-04:00,long,2881.25,2872.5,fixed_contracts,8.75,43.75,1.0,1.0,43.75,14406.25,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-09-05,2019-09-05 10:30:00-04:00,2019-09-05 09:30:00-04:00,short,2980.25,2986.75,fixed_contracts,6.5,32.5,1.0,1.0,32.5,14901.25,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-09-24,2019-09-24 12:30:00-04:00,2019-09-24 11:30:00-04:00,long,2974.25,2970.0,fixed_contracts,4.25,21.25,1.0,1.0,21.25,14871.25,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-09-24,2019-09-24 14:30:00-04:00,2019-09-24 13:30:00-04:00,short,2976.25,2979.75,fixed_contracts,3.5,17.5,1.0,1.0,17.5,14881.25,False,,fixed_1_contract,baseline,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,
