split,n_trades,win_rate,avg_win,avg_loss,average_losing_trade,expectancy,profit_factor,cumulative_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,max_consecutive_losses,avg_consecutive_losses,longest_loss_streak,number_of_loss_streaks_2_plus,worst_trade,worst_day,stop_hit_rate,target_hit_rate,time_exit_rate,time_exit_count,time_exit_win_rate,time_exit_loss_rate,time_exit_pnl_usd,eod_exit_rate,proportion_filtered_out,trade_count_after_filters,percent_of_days_traded,percent_days_traded,avg_R,median_R,pnl_to_risk_ratio,average_loss_streak_length,count_loss_streaks_2_plus,daily_sharpe_basis,n_sessions,raw_signal_count,net_pnl,sortino_ratio,max_daily_drawdown,worst_losing_days_streak,worst_losing_trades_streak,avg_trades_per_day,max_trades_per_day,expectancy_per_trade,expectancy_per_day,pct_green_days,avg_gain_loss_ratio,hit_rate,avg_time_in_position_min,rolling_20d_sharpe_median,rolling_20d_expectancy_median,days_to_target_pct,daily_loss_limit_breach_freq,trailing_drawdown_breach_freq,empirical_prob_red_streak_ge_threshold,profit_to_drawdown_ratio
overall,76,0.40789473684210525,97.93548387096774,-28.658531746031723,-28.658531746031723,22.97850093984964,2.354156425896055,1746.3660714285725,-242.2767857142826,0.004845535714285652,0.6695385559254462,8,2.25,8,10,-111.0,-111.0,0.15789473684210525,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,76,0.04293073840870063,0.04293073840870063,0.0,0.0,0.0,2.25,10,daily_pnl_over_static_capital,1747,78,1746.3660714285725,0.4047788580784407,-312.5,2,8,0.04350314825414997,2,22.97850093984964,0.9996371330444033,0.017744705208929592,3.4173238440426603,0.40789473684210525,48.9078947368421,-2.065098124084572,0.0,,0.0,0.0,0.0,7.208144462870928
is,57,0.38596491228070173,71.52272727272727,-20.89107142857143,-20.89107142857143,14.777412280701755,2.1519788016069747,842.3125,-170.0,0.0034,0.7737207692839309,8,2.1875,8,7,-111.0,-111.0,0.10526315789473684,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,57,0.04582651391162029,0.04582651391162029,0.0,0.0,0.0,2.1875,7,daily_pnl_over_static_capital,1222,59,842.3125,0.3762784390522771,-312.5,2,8,0.046644844517184945,2,14.777412280701755,0.6892900981996727,0.01800327332242226,3.4236026389201872,0.38596491228070173,41.78947368421053,-3.6418618720012983,0.0,,0.0,0.0,0.0,4.954779411764706
oos,19,0.47368421052631576,162.5,-55.84464285714275,-55.84464285714275,47.58176691729329,2.618872509832768,904.0535714285725,-242.2767857142826,0.004845535714285652,0.7298105852320257,4,2.5,4,3,-106.0,-106.0,0.3157894736842105,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19,0.03619047619047619,0.03619047619047619,0.0,0.0,0.0,2.5,3,daily_pnl_over_static_capital,525,19,904.0535714285725,0.43844409267504514,-265.0,1,4,0.03619047619047619,1,47.58176691729329,1.7220068027210904,0.017142857142857144,2.909858344258631,0.47368421052631576,70.26315789473684,1.9911504079069486,0.0,,0.0,0.0,0.0,3.7314906946748265
