trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_reason,bars_held,holding_minutes,gross_pnl_usd,r_multiple,entry_signal_time,exit_signal_time
1,2019-05-23,short,1,2019-05-23 09:41:00-04:00,7328.75,7342.53125,,2019-05-23 09:48:00-04:00,7329.5,vwap_recross,50000.0,,,,,,14657.5,0.29315,-0.75,-3.0,-1.5,2.5,-4.0,vwap_reclaim,vwap_reclaim,7,7.0,-1.5,,2019-05-23 09:41:00-04:00,2019-05-23 09:48:00-04:00
2,2019-05-27,short,1,2019-05-27 11:59:00-04:00,7311.75,7314.580357142857,,2019-05-27 12:23:00-04:00,7314.830357142857,stop,49996.0,,,,,,14623.5,0.29249339947195774,-3.080357142856883,-12.321428571427532,-6.160714285713766,2.5,-8.660714285713766,vwap_reclaim,vwap_reclaim,16,24.0,-6.160714285713766,,2019-05-27 11:59:00-04:00,2019-05-27 12:23:00-04:00
3,2019-05-27,long,1,2019-05-27 12:27:00-04:00,7315.75,7313.8125,,2019-05-27 12:28:00-04:00,7313.5625,stop,49987.33928571429,,,,,,14631.5,0.2927041168638773,-2.1875,-8.75,-4.375,2.5,-6.875,vwap_reclaim,vwap_reclaim,1,1.0,-4.375,,2019-05-27 12:27:00-04:00,2019-05-27 12:28:00-04:00
4,2019-06-05,short,1,2019-06-05 09:44:00-04:00,7211.25,7230.151785714285,,2019-06-05 10:01:00-04:00,7214.75,vwap_recross,49980.46428571429,,,,,,14422.5,0.28856274558702577,-3.5,-14.0,-7.0,2.5,-9.5,vwap_reclaim,vwap_reclaim,17,17.0,-7.0,,2019-06-05 09:44:00-04:00,2019-06-05 10:01:00-04:00
5,2019-09-02,short,1,2019-09-02 09:35:00-04:00,7653.0,7663.459821428572,,2019-09-02 09:48:00-04:00,7649.5,vwap_recross,49970.96428571429,,,,,,15306.0,0.30629787154969274,3.5,14.0,7.0,2.5,4.5,vwap_reclaim,vwap_reclaim,13,13.0,7.0,,2019-09-02 09:35:00-04:00,2019-09-02 09:48:00-04:00
6,2019-09-16,long,1,2019-09-16 14:58:00-04:00,7854.75,7852.049107142857,,2019-09-16 15:03:00-04:00,7851.799107142857,stop,49975.46428571429,,,,,,15709.5,0.3143442532156851,-2.950892857143117,-11.803571428572468,-5.901785714286234,2.5,-8.401785714286234,vwap_reclaim,vwap_reclaim,5,5.0,-5.901785714286234,,2019-09-16 14:58:00-04:00,2019-09-16 15:03:00-04:00
7,2019-10-08,short,1,2019-10-08 15:10:00-04:00,7661.5,7672.839285714285,,2019-10-08 15:19:00-04:00,7666.25,vwap_recross,49967.0625,,,,,,15323.0,0.30666201360145995,-4.75,-19.0,-9.5,2.5,-12.0,vwap_reclaim,vwap_reclaim,9,9.0,-9.5,,2019-10-08 15:10:00-04:00,2019-10-08 15:19:00-04:00
8,2019-10-11,long,1,2019-10-11 09:37:00-04:00,7857.25,7846.0,,2019-10-11 11:57:00-04:00,7882.25,vwap_recross,49955.0625,,,,,,15714.5,0.3145727222341079,25.0,100.0,50.0,2.5,47.5,vwap_reclaim,vwap_reclaim,140,140.0,50.0,,2019-10-11 09:37:00-04:00,2019-10-11 11:57:00-04:00
9,2019-11-04,long,1,2019-11-04 09:40:00-05:00,8226.25,8217.52232142857,,2019-11-04 09:45:00-05:00,8222.75,vwap_recross,50002.5625,,,,,,16452.5,0.3290331370517261,-3.5,-14.0,-7.0,2.5,-9.5,vwap_reclaim,vwap_reclaim,5,5.0,-7.0,,2019-11-04 09:40:00-05:00,2019-11-04 09:45:00-05:00
10,2019-11-07,long,1,2019-11-07 09:41:00-05:00,8254.25,8244.0,,2019-11-07 10:05:00-05:00,8250.0,vwap_recross,49993.0625,,,,,,16508.5,0.33021581744467043,-4.25,-17.0,-8.5,2.5,-11.0,vwap_reclaim,vwap_reclaim,24,24.0,-8.5,,2019-11-07 09:41:00-05:00,2019-11-07 10:05:00-05:00
11,2019-12-10,long,1,2019-12-10 12:19:00-05:00,8376.0,8370.72767857143,,2019-12-10 12:23:00-05:00,8371.75,vwap_recross,49982.0625,,,,,,16752.0,0.33516023873564643,-4.25,-17.0,-8.5,2.5,-11.0,vwap_reclaim,vwap_reclaim,4,4.0,-8.5,,2019-12-10 12:19:00-05:00,2019-12-10 12:23:00-05:00
12,2019-12-19,short,1,2019-12-19 10:18:00-05:00,8597.5,8601.29017857143,,2019-12-19 10:25:00-05:00,8601.5,vwap_recross,49971.0625,,,,,,17195.0,0.34409914738154707,-4.0,-16.0,-8.0,2.5,-10.5,vwap_reclaim,vwap_reclaim,6,7.0,-8.0,,2019-12-19 10:18:00-05:00,2019-12-19 10:25:00-05:00
13,2020-01-03,long,1,2020-01-03 09:43:00-05:00,8832.5,8813.52232142857,,2020-01-03 09:56:00-05:00,8814.5,vwap_recross,49960.5625,,,,,,17665.0,0.3535788853458165,-18.0,-72.0,-36.0,2.5,-38.5,vwap_reclaim,vwap_reclaim,13,13.0,-36.0,,2020-01-03 09:43:00-05:00,2020-01-03 09:56:00-05:00
14,2020-01-22,long,1,2020-01-22 09:39:00-05:00,9231.0,9218.441964285714,,2020-01-22 10:07:00-05:00,9229.5,vwap_recross,49922.0625,,,,,,18462.0,0.3698164513936098,-1.5,-6.0,-3.0,2.5,-5.5,vwap_reclaim,vwap_reclaim,28,28.0,-3.0,,2020-01-22 09:39:00-05:00,2020-01-22 10:07:00-05:00
15,2020-03-09,long,1,2020-03-09 09:56:00-04:00,8053.75,7895.455357142857,,2020-03-09 10:25:00-04:00,8077.75,vwap_recross,49916.5625,,,,,,16107.5,0.3226884864116995,24.0,96.0,48.0,2.5,45.5,vwap_reclaim,vwap_reclaim,29,29.0,48.0,,2020-03-09 09:56:00-04:00,2020-03-09 10:25:00-04:00
16,2020-03-12,short,1,2020-03-12 09:50:00-04:00,7433.25,7508.638392857143,,2020-03-12 09:56:00-04:00,7450.75,vwap_recross,49962.0625,,,,,,14866.5,0.297555770440822,-17.5,-70.0,-35.0,2.5,-37.5,vwap_reclaim,vwap_reclaim,6,6.0,-35.0,,2020-03-12 09:50:00-04:00,2020-03-12 09:56:00-04:00
17,2020-03-16,long,1,2020-03-16 09:53:00-04:00,7153.75,7084.169642857143,,2020-03-16 10:05:00-04:00,7183.25,vwap_recross,49924.5625,,,,,,14307.5,0.2865823811675866,29.5,118.0,59.0,2.5,56.5,vwap_reclaim,vwap_reclaim,12,12.0,59.0,,2020-03-16 09:53:00-04:00,2020-03-16 10:05:00-04:00
18,2020-04-07,short,1,2020-04-07 09:36:00-04:00,8255.0,8307.75,,2020-04-07 09:47:00-04:00,8247.0,vwap_recross,49981.0625,,,,,,16510.0,0.33032511063565323,8.0,32.0,16.0,2.5,13.5,vwap_reclaim,vwap_reclaim,11,11.0,16.0,,2020-04-07 09:36:00-04:00,2020-04-07 09:47:00-04:00
19,2020-04-14,long,1,2020-04-14 09:43:00-04:00,8517.25,8497.316964285714,,2020-04-14 11:08:00-04:00,8561.5,vwap_recross,49994.5625,,,,,,17034.5,0.3407270540671298,44.25,177.0,88.5,2.5,86.0,vwap_reclaim,vwap_reclaim,85,85.0,88.5,,2020-04-14 09:43:00-04:00,2020-04-14 11:08:00-04:00
20,2020-06-18,long,1,2020-06-18 10:46:00-04:00,9984.5,9969.07142857143,,2020-06-18 10:52:00-04:00,9978.5,vwap_recross,50080.5625,,,,,,19969.0,0.39873753414810387,-6.0,-24.0,-12.0,2.5,-14.5,vwap_reclaim,vwap_reclaim,6,6.0,-12.0,,2020-06-18 10:46:00-04:00,2020-06-18 10:52:00-04:00
21,2020-08-24,long,1,2020-08-24 09:39:00-04:00,11705.0,11685.419642857143,,2020-08-24 09:50:00-04:00,11702.25,vwap_recross,50066.0625,,,,,,23410.0,0.4675822070089894,-2.75,-11.0,-5.5,2.5,-8.0,vwap_reclaim,vwap_reclaim,11,11.0,-5.5,,2020-08-24 09:39:00-04:00,2020-08-24 09:50:00-04:00
22,2020-09-01,long,1,2020-09-01 09:40:00-04:00,12164.25,12138.29017857143,,2020-09-01 11:24:00-04:00,12211.25,vwap_recross,50058.0625,,,,,,24328.5,0.486005625966846,47.0,188.0,94.0,2.5,91.5,vwap_reclaim,vwap_reclaim,104,104.0,94.0,,2020-09-01 09:40:00-04:00,2020-09-01 11:24:00-04:00
23,2020-09-10,short,1,2020-09-10 09:43:00-04:00,11509.0,11546.223214285714,,2020-09-10 09:48:00-04:00,11519.75,vwap_recross,50149.5625,,,,,,23018.0,0.4589870549718156,-10.75,-43.0,-21.5,2.5,-24.0,vwap_reclaim,vwap_reclaim,5,5.0,-21.5,,2020-09-10 09:43:00-04:00,2020-09-10 09:48:00-04:00
