direction,trades,net_pnl_usd,avg_trade_pnl_usd,win_rate,profit_factor
long,49,673.9732142857138,13.754555393585996,0.40816326530612246,1.759811569549155
short,27,1072.3928571428587,39.718253968254025,0.4074074074074074,3.663621041426431
