campaign_variant_name,scope,sizing_mode,risk_pct,max_contracts,skip_trade_if_too_small,fixed_contracts,initial_capital_usd,worst_trade_loss_usd,worst_day_pnl_usd,max_daily_drawdown_usd,days_below_minus_500_usd,days_below_minus_1000_usd,trades_loss_gt_250_usd,trades_loss_gt_500_usd,pass_target_3000_usd_without_breaching_2000_dd,days_to_target_3000_usd,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd
fixed_1_contract,full,fixed_contracts,,,,1.0,50000.0,95.49999999999955,-95.49999999999955,195.79999999998836,0,0,0,0,False,,195.79999999998836,57.74999999996362
fixed_1_contract,oos,fixed_contracts,,,,1.0,50000.0,78.49999999999909,-78.49999999999909,152.49999999999272,0,0,0,0,False,,152.49999999999272,6.5
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_true,full,risk_percent,0.0025,3.0,True,,50000.0,136.49999999999181,-136.49999999999181,495.64999999991414,0,0,0,0,False,,495.64999999991414,34.09999999997672
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_true,oos,risk_percent,0.0025,3.0,True,,50000.0,136.49999999999181,-136.49999999999181,271.39999999993597,0,0,0,0,False,,271.39999999993597,19.499999999985448
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_false,full,risk_percent,0.0025,3.0,False,,50000.0,136.49999999999181,-136.49999999999181,495.64999999991414,0,0,0,0,False,,495.64999999991414,34.09999999997672
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_false,oos,risk_percent,0.0025,3.0,False,,50000.0,136.49999999999181,-136.49999999999181,271.39999999993597,0,0,0,0,False,,271.39999999993597,19.499999999985448
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_true,full,risk_percent,0.0025,5.0,True,,50000.0,142.49999999999545,-142.49999999999545,842.1499999998632,0,0,0,0,False,,842.1499999998632,120.14999999997235
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_true,oos,risk_percent,0.0025,5.0,True,,50000.0,142.49999999999545,-142.49999999999545,501.39999999990687,0,0,0,0,False,,501.39999999990687,32.49999999998545
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_false,full,risk_percent,0.0025,5.0,False,,50000.0,142.49999999999545,-142.49999999999545,842.1499999998632,0,0,0,0,True,3115.0,842.1499999998632,120.14999999997235
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_false,oos,risk_percent,0.0025,5.0,False,,50000.0,142.49999999999545,-142.49999999999545,501.39999999990687,0,0,0,0,False,,501.39999999990687,32.49999999998545
risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_true,full,risk_percent,0.0025,10.0,True,,50000.0,154.99999999997272,-154.99999999997272,1352.2499999997162,0,0,0,0,True,3085.0,1352.2499999997162,216.3499999992564
risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_true,oos,risk_percent,0.0025,10.0,True,,50000.0,143.4999999999809,-143.4999999999809,686.3999999998705,0,0,0,0,True,896.0,686.3999999998705,64.99999999996362
risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_false,full,risk_percent,0.0025,10.0,False,,50000.0,154.99999999997272,-154.99999999997272,1352.2499999997162,0,0,0,0,True,3085.0,1352.2499999997162,216.3499999992564
risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_false,oos,risk_percent,0.0025,10.0,False,,50000.0,143.4999999999809,-143.4999999999809,686.3999999998705,0,0,0,0,True,896.0,686.3999999998705,64.99999999996362
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_true,full,risk_percent,0.0025,15.0,True,,50000.0,172.49999999997954,-172.49999999997954,1504.7499999996799,0,0,0,0,True,3085.0,1504.7499999996799,279.9499999991531
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_true,oos,risk_percent,0.0025,15.0,True,,50000.0,157.49999999995907,-157.49999999995907,791.3999999998487,0,0,0,0,True,896.0,791.3999999998487,97.49999999994179
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_false,full,risk_percent,0.0025,15.0,False,,50000.0,172.49999999997954,-172.49999999997954,1504.7499999996799,0,0,0,0,True,3085.0,1504.7499999996799,279.9499999991531
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_false,oos,risk_percent,0.0025,15.0,False,,50000.0,157.49999999995907,-157.49999999995907,791.3999999998487,0,0,0,0,True,896.0,791.3999999998487,97.49999999994179
risk_pct_0p0050__max_contracts_3__skip_trade_if_too_small_true,full,risk_percent,0.005,3.0,True,,50000.0,235.49999999999727,-235.49999999999727,491.89999999997235,0,0,0,0,False,,491.89999999997235,159.59999999999127
risk_pct_0p0050__max_contracts_3__skip_trade_if_too_small_true,oos,risk_percent,0.005,3.0,True,,50000.0,235.49999999999727,-235.49999999999727,457.4999999999709,0,0,0,0,False,,457.4999999999709,19.499999999985448
risk_pct_0p0050__max_contracts_3__skip_trade_if_too_small_false,full,risk_percent,0.005,3.0,False,,50000.0,235.49999999999727,-235.49999999999727,491.89999999997235,0,0,0,0,True,3115.0,491.89999999997235,159.59999999999127
risk_pct_0p0050__max_contracts_3__skip_trade_if_too_small_false,oos,risk_percent,0.005,3.0,False,,50000.0,235.49999999999727,-235.49999999999727,457.4999999999709,0,0,0,0,False,,457.4999999999709,19.499999999985448
risk_pct_0p0050__max_contracts_5__skip_trade_if_too_small_true,full,risk_percent,0.005,5.0,True,,50000.0,252.49999999998636,-252.49999999998636,742.9499999998588,0,0,1,0,True,3083.0,742.9499999998588,132.99999999998545
risk_pct_0p0050__max_contracts_5__skip_trade_if_too_small_true,oos,risk_percent,0.005,5.0,True,,50000.0,242.49999999997272,-242.49999999997272,605.4999999999563,0,0,0,0,False,,605.4999999999563,32.49999999998545
risk_pct_0p0050__max_contracts_5__skip_trade_if_too_small_false,full,risk_percent,0.005,5.0,False,,50000.0,252.49999999998636,-252.49999999998636,742.9499999998588,0,0,1,0,True,3083.0,742.9499999998588,132.99999999998545
