simulation_mode,variant,base_variant,source_variant_name,leverage_factor,run_id,start_session_date,status,pass,fail,expire,failure_reason,days_to_pass,days_to_fail,cycle_trading_days,trading_days_elapsed,calendar_days_elapsed,daily_loss_limit_breached,trailing_drawdown_breached,final_profit_usd,final_equity_usd
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_0,,fail,False,True,False,trailing_drawdown,,4.0,4.0,4,4,False,True,-2047.5,47952.5
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_1,,fail,False,True,False,trailing_drawdown,,17.0,17.0,17,21,False,True,-1258.0,48742.0
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_2,,fail,False,True,False,trailing_drawdown,,22.0,22.0,22,35,False,True,-989.0,49011.0
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_3,,pass,True,False,False,,18.0,,18.0,18,24,False,False,3025.0,53025.0
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_4,,fail,False,True,False,trailing_drawdown,,13.0,13.0,13,18,False,True,-1658.0,48342.0
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_5,,fail,False,True,False,trailing_drawdown,,15.0,15.0,15,22,False,True,-109.0,49891.0
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_6,,fail,False,True,False,trailing_drawdown,,7.0,7.0,7,9,False,True,-811.5,49188.5
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_7,,fail,False,True,False,trailing_drawdown,,8.0,8.0,8,12,False,True,-2045.0,47955.0
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_8,,fail,False,True,False,trailing_drawdown,,8.0,8.0,8,14,False,True,389.0,50389.0
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_9,,pass,True,False,False,,33.0,,33.0,33,61,False,False,3469.5,53469.5
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_10,,pass,True,False,False,,13.0,,13.0,13,20,False,False,3761.5,53761.5
block_bootstrap,nominal,nominal,nominal,1.0,bootstrap_11,,fail,False,True,False,trailing_drawdown,,6.0,6.0,6,7,False,True,-1498.5,48501.5
