session_date,meta_risk_variant,risk_multiplier,daily_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
2019-05-06,skip_day_after_3_losses,1.0,0.0,50000.0,50000.0,0.0,0.0
2019-05-07,skip_day_after_3_losses,1.0,0.0,50000.0,50000.0,0.0,0.0
2019-05-08,skip_day_after_3_losses,1.0,-41.0,49959.0,50000.0,-41.0,0.00082
2019-05-09,skip_day_after_3_losses,1.0,45.0,50004.0,50004.0,0.0,0.0
2019-05-10,skip_day_after_3_losses,1.0,-64.0,49940.0,50004.0,-64.0,0.0012798976081913446
2019-05-13,skip_day_after_3_losses,1.0,0.0,49940.0,50004.0,-64.0,0.0012798976081913446
2019-05-14,skip_day_after_3_losses,1.0,0.0,49940.0,50004.0,-64.0,0.0012798976081913446
2019-05-15,skip_day_after_3_losses,1.0,210.5,50150.5,50150.5,0.0,0.0
2019-05-16,skip_day_after_3_losses,1.0,0.0,50150.5,50150.5,0.0,0.0
2019-05-17,skip_day_after_3_losses,1.0,0.0,50150.5,50150.5,0.0,0.0
2019-05-20,skip_day_after_3_losses,1.0,-55.5,50095.0,50150.5,-55.5,0.0011066689265311412
2019-05-21,skip_day_after_3_losses,1.0,0.0,50095.0,50150.5,-55.5,0.0011066689265311412
2019-05-22,skip_day_after_3_losses,1.0,-63.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-23,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-24,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-27,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-28,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-29,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-30,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-05-31,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-03,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-04,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-05,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-06,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-07,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-10,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-11,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-12,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-13,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-14,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-17,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-18,skip_day_after_3_losses,1.0,0.0,50032.0,50150.5,-118.5,0.002362887707998923
2019-06-19,skip_day_after_3_losses,1.0,-1.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-06-20,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-06-21,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-06-24,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-06-25,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-06-26,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-06-27,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-06-28,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-01,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-02,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-03,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-04,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-05,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-08,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-09,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-10,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-11,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-12,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-15,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-16,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-17,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-18,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-19,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-22,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-23,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-24,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-25,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-26,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-29,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-30,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-07-31,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-08-01,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-08-02,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-08-05,skip_day_after_3_losses,1.0,0.0,50031.0,50150.5,-119.5,0.002382827688657142
2019-08-06,skip_day_after_3_losses,1.0,-85.5,49945.5,50150.5,-205.0,0.004087696034934846
2019-08-07,skip_day_after_3_losses,1.0,198.0,50143.5,50150.5,-7.0,0.00013957986460753132
2019-08-08,skip_day_after_3_losses,1.0,228.5,50372.0,50372.0,0.0,0.0
2019-08-09,skip_day_after_3_losses,1.0,0.0,50372.0,50372.0,0.0,0.0
2019-08-12,skip_day_after_3_losses,1.0,0.0,50372.0,50372.0,0.0,0.0
2019-08-13,skip_day_after_3_losses,1.0,0.0,50372.0,50372.0,0.0,0.0
2019-08-14,skip_day_after_3_losses,1.0,0.0,50372.0,50372.0,0.0,0.0
2019-08-15,skip_day_after_3_losses,1.0,0.0,50372.0,50372.0,0.0,0.0
2019-08-16,skip_day_after_3_losses,1.0,24.5,50396.5,50396.5,0.0,0.0
2019-08-19,skip_day_after_3_losses,1.0,0.0,50396.5,50396.5,0.0,0.0
2019-08-20,skip_day_after_3_losses,1.0,0.0,50396.5,50396.5,0.0,0.0
2019-08-21,skip_day_after_3_losses,1.0,0.0,50396.5,50396.5,0.0,0.0
2019-08-22,skip_day_after_3_losses,1.0,0.0,50396.5,50396.5,0.0,0.0
2019-08-23,skip_day_after_3_losses,1.0,-121.0,50275.5,50396.5,-121.0,0.0024009603841536613
2019-08-26,skip_day_after_3_losses,1.0,0.0,50275.5,50396.5,-121.0,0.0024009603841536613
2019-08-27,skip_day_after_3_losses,1.0,0.0,50275.5,50396.5,-121.0,0.0024009603841536613
2019-08-28,skip_day_after_3_losses,1.0,0.0,50275.5,50396.5,-121.0,0.0024009603841536613
2019-08-29,skip_day_after_3_losses,1.0,0.0,50275.5,50396.5,-121.0,0.0024009603841536613
2019-08-30,skip_day_after_3_losses,1.0,0.0,50275.5,50396.5,-121.0,0.0024009603841536613
2019-09-02,skip_day_after_3_losses,1.0,0.0,50275.5,50396.5,-121.0,0.0024009603841536613
2019-09-03,skip_day_after_3_losses,1.0,-90.0,50185.5,50396.5,-211.0,0.004186798686416715
2019-09-04,skip_day_after_3_losses,1.0,0.0,50185.5,50396.5,-211.0,0.004186798686416715
2019-09-05,skip_day_after_3_losses,1.0,0.0,50185.5,50396.5,-211.0,0.004186798686416715
