campaign_variant_name,variant_role,scope,sizing_mode,risk_pct,max_contracts,skip_trade_if_too_small,fixed_contracts,initial_capital_usd,worst_trade_loss_usd,worst_day_pnl_usd,max_daily_drawdown_usd,nb_days_below_minus_250,nb_days_below_minus_500,nb_days_below_minus_1000,nb_trades_below_minus_150,nb_trades_below_minus_250,nb_trades_below_minus_500,pass_target_3000_usd_without_breaching_2000_dd,days_to_3000_usd_if_reached,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd
fixed_1_contract,baseline,full,fixed_contracts,,,,1.0,50000.0,86.99999999999818,-86.99999999999818,394.0749999999607,0,0,0,0,0,0,False,,394.0749999999607,325.0499999999374
fixed_1_contract,baseline,oos,fixed_contracts,,,,1.0,50000.0,60.499999999999545,-60.499999999999545,154.0,0,0,0,0,0,0,False,,154.0,52.174999999995634
risk_pct_0p0015__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,2.0,True,,50000.0,82.99999999999955,-82.99999999999955,558.0999999999258,0,0,0,0,0,0,True,1504.0,558.0999999999258,451.27499999987776
risk_pct_0p0015__max_contracts_2__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,2.0,True,,50000.0,80.0,-80.0,279.92499999996653,0,0,0,0,0,0,False,,279.92499999996653,76.27499999996508
risk_pct_0p0015__max_contracts_3__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,3.0,True,,50000.0,85.50000000000068,-116.9999999999925,755.0499999999447,0,0,0,0,0,0,True,1209.0,755.0499999999447,579.9999999998181
risk_pct_0p0015__max_contracts_3__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,3.0,True,,50000.0,80.99999999999454,-80.99999999999454,365.44999999994616,0,0,0,0,0,0,False,,365.44999999994616,161.7999999999447
risk_pct_0p0015__max_contracts_4__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,4.0,True,,50000.0,93.99999999999636,-155.99999999999,915.8999999999287,0,0,0,0,0,0,True,1079.0,915.8999999999287,667.1499999997759
risk_pct_0p0015__max_contracts_4__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,4.0,True,,50000.0,83.99999999999636,-83.99999999999636,400.8999999999796,0,0,0,0,0,0,False,,400.8999999999796,197.24999999997817
risk_pct_0p0015__max_contracts_5__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,5.0,True,,50000.0,100.0,-155.99999999999,995.7499999999127,0,0,0,0,0,0,True,823.0,995.7499999999127,625.3249999997424
risk_pct_0p0015__max_contracts_5__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,5.0,True,,50000.0,83.99999999999636,-83.99999999999636,427.8999999999796,0,0,0,0,0,0,True,503.0,427.8999999999796,224.24999999997817
risk_pct_0p0015__max_contracts_6__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,6.0,True,,50000.0,100.0,-155.99999999999,1094.599999999904,0,0,0,0,0,0,True,763.0,1094.599999999904,612.4499999997133
risk_pct_0p0015__max_contracts_6__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,6.0,True,,50000.0,92.99999999998363,-92.99999999998363,491.12499999991996,0,0,0,0,0,0,True,348.0,491.12499999991996,251.2499999999709
risk_pct_0p0020__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,2.0,True,,50000.0,101.99999999999818,-101.99999999999818,658.0999999999258,0,0,0,0,0,0,True,1504.0,658.0999999999258,605.0499999998719
