variant_name,phase,bucket_label,risk_multiplier,num_trades,net_pnl,avg_trade_pnl,win_rate
single_15_60,is,high,0.25,140,-1427.0,-10.192857142857143,0.40714285714285714
single_15_60,is,low,0.5,251,-3213.5,-12.802788844621514,0.47410358565737054
single_15_60,is,mid,1.0,265,19378.0,73.1245283018868,0.5056603773584906
single_15_60,oos,high,0.25,31,637.5,20.56451612903226,0.5161290322580645
single_15_60,oos,low,0.5,128,4649.5,36.32421875,0.515625
single_15_60,oos,mid,1.0,98,22672.0,231.3469387755102,0.6530612244897959
single_14_60,is,high,0.25,142,-924.0,-6.507042253521127,0.4084507042253521
single_14_60,is,low,0.5,251,-357.0,-1.4223107569721116,0.4820717131474104
single_14_60,is,mid,1.0,265,15674.0,59.14716981132076,0.5094339622641509
single_14_60,oos,high,0.25,33,523.0,15.848484848484848,0.48484848484848486
single_14_60,oos,low,0.5,134,5757.0,42.96268656716418,0.5373134328358209
single_14_60,oos,mid,1.0,94,21266.5,226.23936170212767,0.6382978723404256
single_16_60,is,high,0.25,136,-201.0,-1.4779411764705883,0.41911764705882354
single_16_60,is,low,0.5,251,-1504.0,-5.99203187250996,0.4820717131474104
single_16_60,is,mid,1.0,265,14509.0,54.75094339622642,0.49433962264150944
single_16_60,oos,high,0.25,33,558.0,16.90909090909091,0.48484848484848486
single_16_60,oos,low,0.5,123,3972.5,32.296747967479675,0.5284552845528455
single_16_60,oos,mid,1.0,101,22963.0,227.35643564356437,0.6336633663366337
single_15_70,is,high,0.25,140,118.5,0.8464285714285714,0.42142857142857143
single_15_70,is,low,0.5,252,-6163.0,-24.456349206349206,0.4523809523809524
single_15_70,is,mid,1.0,265,18928.5,71.42830188679245,0.5169811320754717
single_15_70,oos,high,0.25,33,460.5,13.954545454545455,0.48484848484848486
single_15_70,oos,low,0.5,127,4192.5,33.011811023622045,0.5118110236220472
single_15_70,oos,mid,1.0,101,25066.0,248.17821782178217,0.6534653465346535
single_15_80,is,high,0.25,140,-205.0,-1.4642857142857142,0.42857142857142855
single_15_80,is,low,0.5,251,-6232.5,-24.830677290836654,0.450199203187251
single_15_80,is,mid,1.0,265,18540.0,69.9622641509434,0.5094339622641509
single_15_80,oos,high,0.25,30,302.0,10.066666666666666,0.4666666666666667
single_15_80,oos,low,0.5,129,3472.5,26.91860465116279,0.5038759689922481
single_15_80,oos,mid,1.0,103,25274.5,245.38349514563106,0.6504854368932039
single_16_75,is,high,0.25,134,-672.5,-5.018656716417911,0.41044776119402987
single_16_75,is,low,0.5,251,-6249.5,-24.89840637450199,0.4541832669322709
single_16_75,is,mid,1.0,265,23830.5,89.92641509433962,0.5132075471698113
single_16_75,oos,high,0.25,31,705.0,22.741935483870968,0.4838709677419355
single_16_75,oos,low,0.5,125,3720.5,29.764,0.504
single_16_75,oos,mid,1.0,106,20670.0,195.0,0.6415094339622641
median_fast15_slow_60_70_80,is,high,0.25,139,-185.5,-1.3345323741007193,0.4172661870503597
median_fast15_slow_60_70_80,is,low,0.5,252,-5913.0,-23.464285714285715,0.45634920634920634
median_fast15_slow_60_70_80,is,mid,1.0,265,19087.5,72.02830188679245,0.5132075471698113
median_fast15_slow_60_70_80,oos,high,0.25,31,679.5,21.919354838709676,0.5161290322580645
median_fast15_slow_60_70_80,oos,low,0.5,127,4192.5,33.011811023622045,0.5118110236220472
median_fast15_slow_60_70_80,oos,mid,1.0,105,26066.0,248.24761904761905,0.6476190476190476
median_plateau_compact,is,high,0.25,138,-500.0,-3.6231884057971016,0.41304347826086957
median_plateau_compact,is,low,0.5,251,-3218.0,-12.820717131474103,0.4701195219123506
median_plateau_compact,is,mid,1.0,265,15908.0,60.030188679245285,0.5018867924528302
median_plateau_compact,oos,high,0.25,31,388.0,12.516129032258064,0.4838709677419355
median_plateau_compact,oos,low,0.5,132,4340.0,32.878787878787875,0.5151515151515151
median_plateau_compact,oos,mid,1.0,100,26982.0,269.82,0.68
