variant_name,net_pnl,sharpe,sortino,max_drawdown,max_daily_loss,profit_factor,win_rate,num_trades,avg_trade_pnl,prop_pass,pass_prop_constraints,daily_loss_limit_breach_freq,profit_target_reached_before_max_loss,max_loss_limit_buffer_usd,is_net_pnl,is_sharpe,is_sortino,delta_sharpe_vs_single_15_60,delta_net_pnl_vs_single_15_60,delta_maxdd_vs_single_15_60,abs_max_drawdown
median_plateau_compact,31710.0,2.68794926302473,2.5933767768333724,-2774.0,-744.0,1.9242203439230545,0.5741444866920152,263,120.5703422053232,True,True,0.0,True,626.5,12190.0,0.45635830766907226,0.4029424017100272,0.27410122358685296,3751.0,-353.5,2774.0
median_fast15_slow_60_70_80,30938.0,2.562404505756248,2.445828287270596,-2774.0,-744.0,1.8585184465750004,0.5665399239543726,263,117.63498098859316,True,True,0.0,True,256.5,12989.0,0.4857073800268032,0.431892399456524,0.14855646631837072,2979.0,-353.5,2774.0
single_15_70,29719.0,2.5007805747021314,2.3846377715082427,-2774.0,-744.0,1.8400062182902528,0.5632183908045977,261,113.86590038314176,True,True,0.0,True,256.5,12884.0,0.4846707838455136,0.4303271231455276,0.08693253526425426,1760.0,-353.5,2774.0
single_15_60,27959.0,2.413848039437877,2.2295972336413947,-2420.5,-744.0,1.8006586483390608,0.5680933852140078,257,108.78988326848248,True,True,0.0,True,166.0,14737.5,0.5494461034846418,0.49179281920638424,0.0,0.0,0.0,2420.5
single_14_60,27546.5,2.412543188454265,2.2445220670383055,-2339.0,-744.0,1.7912250466752837,0.5670498084291188,261,105.54214559386973,True,True,0.0,True,1017.5,14393.0,0.5428547660179274,0.477281619041737,-0.0013048509836122157,-412.5,81.5,2339.0
single_15_80,29049.0,2.410111364367575,2.270503908293596,-2774.0,-744.0,1.7862556163048773,0.5572519083969466,262,110.87404580152672,True,True,0.0,True,770.0,12102.5,0.4517297310264511,0.4021057931589235,-0.0037366750703022866,1090.0,-353.5,2774.0
single_16_60,27493.5,2.380296337525593,2.2141770987027436,-2420.5,-744.0,1.785136003426858,0.5642023346303502,257,106.97859922178988,True,True,0.0,True,217.0,12804.0,0.47504640472598053,0.41741795262826653,-0.03355170191228396,-465.5,0.0,2420.5
single_16_75,25095.5,2.1657344576122104,1.9608293458453951,-2692.5,-744.0,1.6779086415084146,0.5572519083969466,262,95.78435114503817,True,True,0.0,True,256.5,16908.5,0.615674503192109,0.558788283761043,-0.24811358182566678,-2863.5,-272.0,2692.5
