session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day,variant_name,phase,daily_return
2019-05-06,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False,single_15_60,is,0.0
2019-05-07,57.5,60.0,2.5,1.0,0.0,50057.5,50057.5,0.0,0.0,True,single_15_60,is,0.00115
2019-05-08,0.0,0.0,0.0,0.0,0.0,50057.5,50057.5,0.0,0.0,False,single_15_60,is,0.0
2019-05-09,-136.0,-133.5,2.5,1.0,1.0,49921.5,50057.5,-136.0,0.002716875593067972,False,single_15_60,is,-0.00272
2019-05-10,0.0,0.0,0.0,0.0,0.0,49921.5,50057.5,-136.0,0.002716875593067972,False,single_15_60,is,0.0
2019-05-13,69.0,71.5,2.5,1.0,0.0,49990.5,50057.5,-67.0,0.0013384607701143684,True,single_15_60,is,0.00138
2019-05-14,0.0,0.0,0.0,0.0,0.0,49990.5,50057.5,-67.0,0.0013384607701143684,False,single_15_60,is,0.0
2019-05-15,0.0,0.0,0.0,0.0,0.0,49990.5,50057.5,-67.0,0.0013384607701143684,False,single_15_60,is,0.0
2019-05-16,0.0,0.0,0.0,0.0,0.0,49990.5,50057.5,-67.0,0.0013384607701143684,False,single_15_60,is,0.0
2019-05-17,0.0,0.0,0.0,0.0,0.0,49990.5,50057.5,-67.0,0.0013384607701143684,False,single_15_60,is,0.0
2019-05-20,-166.5,-159.0,7.5,1.0,1.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,-0.00333
2019-05-21,0.0,0.0,0.0,0.0,0.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,0.0
2019-05-22,0.0,0.0,0.0,0.0,0.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,0.0
2019-05-23,0.0,0.0,0.0,0.0,0.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,0.0
2019-05-24,0.0,0.0,0.0,0.0,0.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,0.0
2019-05-27,0.0,0.0,0.0,0.0,0.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,0.0
2019-05-28,0.0,0.0,0.0,0.0,0.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,0.0
2019-05-29,0.0,0.0,0.0,0.0,0.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,0.0
2019-05-30,0.0,0.0,0.0,0.0,0.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,0.0
2019-05-31,0.0,0.0,0.0,0.0,0.0,49824.0,50057.5,-233.5,0.004664635668980672,False,single_15_60,is,0.0
2019-06-03,119.5,122.0,2.5,1.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,True,single_15_60,is,0.00239
2019-06-04,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-05,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-06,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-07,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-10,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-11,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-12,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-13,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-14,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-17,0.0,0.0,0.0,0.0,0.0,49943.5,50057.5,-114.0,0.002277381011836388,False,single_15_60,is,0.0
2019-06-18,-180.0,-175.0,5.0,1.0,1.0,49763.5,50057.5,-294.0,0.005873245767367527,False,single_15_60,is,-0.0036
2019-06-19,0.0,0.0,0.0,0.0,0.0,49763.5,50057.5,-294.0,0.005873245767367527,False,single_15_60,is,0.0
2019-06-20,0.0,0.0,0.0,0.0,0.0,49763.5,50057.5,-294.0,0.005873245767367527,False,single_15_60,is,0.0
2019-06-24,0.0,0.0,0.0,0.0,0.0,49763.5,50057.5,-294.0,0.005873245767367527,False,single_15_60,is,0.0
2019-06-25,0.0,0.0,0.0,0.0,0.0,49763.5,50057.5,-294.0,0.005873245767367527,False,single_15_60,is,0.0
2019-06-26,0.0,0.0,0.0,0.0,0.0,49763.5,50057.5,-294.0,0.005873245767367527,False,single_15_60,is,0.0
2019-06-27,0.0,0.0,0.0,0.0,0.0,49763.5,50057.5,-294.0,0.005873245767367527,False,single_15_60,is,0.0
2019-06-28,0.0,0.0,0.0,0.0,0.0,49763.5,50057.5,-294.0,0.005873245767367527,False,single_15_60,is,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,49763.5,50057.5,-294.0,0.005873245767367527,False,single_15_60,is,0.0
