variant_name,family,feature_name,bucketing,description,calibration_scope,parameters_json,note,verdict,overall_net_pnl,overall_sharpe,overall_sortino,overall_profit_factor,overall_expectancy,overall_max_drawdown,overall_n_trades,overall_n_days_traded,overall_pct_days_traded,overall_worst_day,overall_longest_losing_streak_daily,overall_median_recovery_days,overall_max_recovery_days,is_net_pnl,is_sharpe,is_sortino,is_profit_factor,is_expectancy,is_max_drawdown,is_n_trades,is_n_days_traded,is_pct_days_traded,is_worst_day,is_longest_losing_streak_daily,is_median_recovery_days,is_max_recovery_days,oos_net_pnl,oos_sharpe,oos_sortino,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_n_trades,oos_n_days_traded,oos_pct_days_traded,oos_worst_day,oos_longest_losing_streak_daily,oos_median_recovery_days,oos_max_recovery_days,overall_trade_coverage_vs_nominal,overall_day_coverage_vs_nominal,is_trade_coverage_vs_nominal,is_day_coverage_vs_nominal,oos_trade_coverage_vs_nominal,oos_day_coverage_vs_nominal,oos_net_pnl_retention_vs_nominal,oos_sharpe_delta_vs_nominal,oos_max_drawdown_improvement_vs_nominal
nominal,baseline,nominal,none,Retained-final original sleeve without extra 3-state overlay.,none,{},Reference retained-final sleeve for all coverage and improvement comparisons.,baseline_reference,9776.0,0.8915421848238143,0.40374647833119653,1.4074606647910806,32.80536912751678,-1913.5,298,298,0.13905739617358842,-249.0,2,47.5,227.0,4620.5,0.6037000275741012,0.2702329718610144,1.2487684066008022,20.813063063063062,-1913.5,222,222,0.148,-249.0,2,84.0,224.0,5155.5,1.5588227415386855,0.7312321536287533,1.9513747923971212,67.83552631578948,-590.5,76,76,0.1181959564541213,-247.5,2,17.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
filter_skip_worst_gap_abs_atr20,regime_filter,gap_abs_atr20,quantile_3,Skip the weakest retained-final IS bucket for feature gap_abs_atr20.,is_only,"{""bucket_multipliers"": {""high"": 1.0, ""low"": 0.0, ""mid"": 1.0}}",Retained-final campaign: bucket low removed using IS-only ranking.,worse_than_baseline,6847.5,0.7656451672040065,0.28459527515188293,1.4345687630894206,35.479274611398964,-1325.5,193,193,0.09006066262249184,-243.0,2,45.0,336.0,4128.0,0.6436264496402524,0.2433511237102704,1.333805037803744,27.89189189189189,-1325.5,148,148,0.09866666666666667,-243.0,2,67.5,333.0,2719.5,1.0780517069996982,0.38695815513338555,1.8020940864179325,60.43333333333333,-759.0,45,45,0.06998444790046657,-239.0,1,37.0,149.0,0.6476510067114094,0.6476510067114094,0.6666666666666666,0.6666666666666666,0.5921052631578947,0.5921052631578947,0.5274949083503055,-0.4807710345389873,-0.2853513971210838
filter_skip_worst_overnight_range_pts,regime_filter,overnight_range_pts,quantile_3,Skip the weakest retained-final IS bucket for feature overnight_range_pts.,is_only,"{""bucket_multipliers"": {""high"": 1.0, ""low"": 1.0, ""mid"": 0.0}}",Retained-final campaign: bucket mid removed using IS-only ranking.,mixed,8760.5,0.9961068614568598,0.3660726761669789,1.6215986092879697,45.39119170984456,-1319.5,193,193,0.09006066262249184,-249.0,2,40.0,300.0,4756.0,0.7622464619894358,0.2829000027915704,1.4150268336314848,32.13513513513514,-1319.5,148,148,0.09866666666666667,-249.0,2,72.0,300.0,4004.5,1.5696333087039498,0.5665475556473489,2.520311313591496,88.9888888888889,-385.0,45,45,0.06998444790046657,-247.5,1,32.0,71.0,0.6476510067114094,0.6476510067114094,0.6666666666666666,0.6666666666666666,0.5921052631578947,0.5921052631578947,0.7767432838715934,0.010810567165264295,0.34801016088060965
sizing_3state_overnight_range_pts,dynamic_sizing,overnight_range_pts,quantile_3,Three-state discrete sizing on retained-final feature overnight_range_pts.,is_only,"{""bucket_multipliers"": {""high"": 0.75, ""low"": 1.0, ""mid"": 0.5}}","Retained-final original trade set, with risk scaled by the calibrated 3-state map.",cuts_too_much_exposure,4976.5,0.707430987272147,0.23799903339565018,1.446322869955157,30.34451219512195,-1542.0,164,164,0.07652823145123658,-249.0,2,83.0,502.0,2797.0,0.5326219652456748,0.19312069124909523,1.2942661756970015,20.87313432835821,-1542.0,134,134,0.08933333333333333,-249.0,2,84.0,502.0,2179.5,1.2533275928507084,0.32579370942793806,2.3249240121580548,72.65,-517.5,30,30,0.04665629860031104,-186.0,1,54.5,160.0,0.5503355704697986,0.5503355704697986,0.6036036036036037,0.6036036036036037,0.39473684210526316,0.39473684210526316,0.4227524003491417,-0.3054951486879771,0.12362404741744284
sizing_3state_realized_vol_ratio_15_60,dynamic_sizing,realized_vol_ratio_15_60,quantile_3,Three-state discrete sizing on retained-final feature realized_vol_ratio_15_60.,is_only,"{""bucket_multipliers"": {""high"": 1.0, ""low"": 0.75, ""mid"": 0.5}}","Retained-final original trade set, with risk scaled by the calibrated 3-state map.",cuts_too_much_exposure,4581.5,0.5804249788868887,0.20884661598065832,1.350817412611509,27.9359756097561,-1632.0,164,164,0.07652823145123658,-247.5,2,39.0,694.0,2207.0,0.40514900462106374,0.1487796661446217,1.2241974806989029,17.515873015873016,-1632.0,126,126,0.084,-243.0,2,49.0,694.0,2374.5,0.9719381068968443,0.32288293095123394,1.7384543616855854,62.48684210526316,-887.5,38,38,0.05909797822706065,-247.5,2,24.5,243.0,0.5503355704697986,0.5503355704697986,0.5675675675675675,0.5675675675675675,0.5,0.5,0.4605760837940064,-0.5868846346418412,-0.5029635901778154
sizing_3state_gap_abs_atr20,dynamic_sizing,gap_abs_atr20,quantile_3,Three-state discrete sizing on retained-final feature gap_abs_atr20.,is_only,"{""bucket_multipliers"": {""high"": 1.0, ""low"": 0.5, ""mid"": 0.75}}","Retained-final original trade set, with risk scaled by the calibrated 3-state map.",mixed,5375.5,0.674796367687416,0.2552060121057746,1.3903634581169892,29.056756756756755,-1185.5,185,185,0.0863275781614559,-243.0,2,64.5,341.0,2438.0,0.4389280345791397,0.16926824303597174,1.2261385771264262,17.169014084507044,-1185.5,142,142,0.09466666666666666,-243.0,2,101.0,341.0,2937.5,1.2191498698165484,0.4260632569154153,1.9826057869208897,68.31395348837209,-533.5,43,43,0.06687402799377916,-239.0,1,37.0,149.0,0.6208053691275168,0.6208053691275168,0.6396396396396397,0.6396396396396397,0.5657894736842105,0.5657894736842105,0.5697798467655901,-0.3396728717221371,0.09652836579170194
sizing_3state_signal_extension_over_or,dynamic_sizing,signal_extension_over_or,quantile_3,Three-state discrete sizing on retained-final feature signal_extension_over_or.,is_only,"{""bucket_multipliers"": {""high"": 1.0, ""low"": 0.75, ""mid"": 0.5}}","Retained-final original trade set, with risk scaled by the calibrated 3-state map.",cuts_too_much_exposure,5542.5,0.7282656266687989,0.26758247432023535,1.4298844334134801,30.28688524590164,-973.5,183,183,0.08539430704619692,-243.0,2,24.0,331.0,3786.5,0.6859172574505944,0.26472570751998437,1.3800943585625376,26.66549295774648,-973.5,142,142,0.09466666666666666,-243.0,2,17.0,331.0,1756.0,0.8452958176354046,0.2694266183762441,1.5991129307403618,42.829268292682926,-647.0,41,41,0.06376360808709176,-208.0,2,63.0,200.0,0.6140939597315436,0.6140939597315436,0.6396396396396397,0.6396396396396397,0.5394736842105263,0.5394736842105263,0.3406071186111919,-0.7135269239032809,-0.09568162574089754
sizing_3state_opening_range_width_pts,dynamic_sizing,opening_range_width_pts,quantile_3,Three-state discrete sizing on retained-final feature opening_range_width_pts.,is_only,"{""bucket_multipliers"": {""high"": 0.5, ""low"": 0.75, ""mid"": 1.0}}","Retained-final original trade set, with risk scaled by the calibrated 3-state map.",cuts_too_much_exposure,5247.0,0.7323516423114117,0.263959347816944,1.4279073560593705,29.15,-883.5,180,180,0.08399440037330845,-243.0,2,49.0,413.0,3544.0,0.6853415020003427,0.2594856673923784,1.3683225940552899,24.61111111111111,-883.5,144,144,0.096,-243.0,2,29.0,413.0,1703.0,0.8580844071822334,0.2660003222275412,1.6450757575757575,47.30555555555556,-691.5,36,36,0.05598755832037325,-208.0,2,97.0,143.0,0.6040268456375839,0.6040268456375839,0.6486486486486487,0.6486486486486487,0.47368421052631576,0.47368421052631576,0.3303268354184851,-0.700738334356452,-0.1710414902624894
sizing_3state_atr_ratio_10_30,dynamic_sizing,atr_ratio_10_30,quantile_3,Three-state discrete sizing on retained-final feature atr_ratio_10_30.,is_only,"{""bucket_multipliers"": {""high"": 1.0, ""low"": 0.5, ""mid"": 0.75}}","Retained-final original trade set, with risk scaled by the calibrated 3-state map.",cuts_too_much_exposure,7353.0,0.9348261054855397,0.34426138043587323,1.5988272660640117,41.77840909090909,-1875.0,176,176,0.08212785814279049,-249.0,2,35.5,335.0,3330.5,0.5924701189826417,0.22195527402394796,1.3254507255582157,24.31021897810219,-1875.0,137,137,0.09133333333333334,-249.0,2,55.0,228.0,4022.5,1.7991303376736174,0.639420521852367,2.966511855292105,103.14102564102564,-328.0,39,39,0.060653188180404355,-228.0,1,21.0,165.0,0.5906040268456376,0.5906040268456376,0.6171171171171171,0.6171171171171171,0.5131578947368421,0.5131578947368421,0.7802347008049656,0.2403075961349319,0.4445385266723116
sizing_3state_signal_vwap_distance_atr20,dynamic_sizing,signal_vwap_distance_atr20,quantile_3,Three-state discrete sizing on retained-final feature signal_vwap_distance_atr20.,is_only,"{""bucket_multipliers"": {""high"": 1.0, ""low"": 0.5, ""mid"": 0.75}}","Retained-final original trade set, with risk scaled by the calibrated 3-state map.",mixed,5973.0,0.7610251854429181,0.26894225488751144,1.449774096385542,32.28648648648649,-1148.0,185,185,0.0863275781614559,-247.5,2,45.0,319.0,3616.0,0.664917309766412,0.24115826537744284,1.3580198019801981,25.286713286713287,-1148.0,143,143,0.09533333333333334,-240.5,2,49.0,319.0,2357.0,0.9783866678839729,0.3147140199045178,1.7411949685534591,56.11904761904762,-525.0,42,42,0.06531881804043546,-247.5,1,41.0,113.0,0.6208053691275168,0.6208053691275168,0.6441441441441441,0.6441441441441441,0.5526315789473685,0.5526315789473685,0.4571816506643391,-0.5804360736547126,0.1109229466553768
