session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2019-05-06,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-07,267.5,280.0,12.5,1.0,0.0,50267.5,50267.5,0.0,0.0,True,entry_delay_1bar,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-05-08,0.0,0.0,0.0,0.0,0.0,50267.5,50267.5,0.0,0.0,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-09,-714.0,-699.0,15.0,1.0,1.0,49553.5,50267.5,-714.0,0.014204008554234844,False,entry_delay_1bar,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-05-10,0.0,0.0,0.0,0.0,0.0,49553.5,50267.5,-714.0,0.014204008554234844,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-13,240.0,250.0,10.0,1.0,0.0,49793.5,50267.5,-474.0,0.009429551897349182,True,entry_delay_1bar,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-05-14,0.0,0.0,0.0,0.0,0.0,49793.5,50267.5,-474.0,0.009429551897349182,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-15,0.0,0.0,0.0,0.0,0.0,49793.5,50267.5,-474.0,0.009429551897349182,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-16,0.0,0.0,0.0,0.0,0.0,49793.5,50267.5,-474.0,0.009429551897349182,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-17,0.0,0.0,0.0,0.0,0.0,49793.5,50267.5,-474.0,0.009429551897349182,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-20,-320.0,-307.5,12.5,1.0,1.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-05-21,0.0,0.0,0.0,0.0,0.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-22,0.0,0.0,0.0,0.0,0.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-23,0.0,0.0,0.0,0.0,0.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-24,0.0,0.0,0.0,0.0,0.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-27,0.0,0.0,0.0,0.0,0.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-28,0.0,0.0,0.0,0.0,0.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-29,0.0,0.0,0.0,0.0,0.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-30,0.0,0.0,0.0,0.0,0.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-05-31,0.0,0.0,0.0,0.0,0.0,49473.5,50267.5,-794.0,0.015795494106530063,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-03,279.0,286.5,7.5,1.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,True,entry_delay_1bar,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2019-06-04,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-05,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-06,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-07,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-10,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-11,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-12,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-13,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-14,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2019-06-17,0.0,0.0,0.0,0.0,0.0,49752.5,50267.5,-515.0,0.010245188242900483,False,entry_delay_1bar,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
