scope,total_trades,n_trades,net_pnl,gross_pnl,gross_profit,gross_loss_abs,sharpe_ratio,sortino_ratio,profit_factor,hit_rate,expectancy_per_trade,expectancy_per_day,avg_win,avg_loss,avg_gain_loss_ratio,max_drawdown,return_over_max_drawdown,calmar_ratio,ulcer_index,annualized_vol,mean_trades_per_day,median_trades_per_day,max_trades_per_day,avg_time_in_position_min,avg_exposure_pct,long_trade_share,short_trade_share,worst_losing_trades_streak,worst_losing_days_streak,median_recovery_days,max_recovery_days,rolling_sharpe_20d_median,rolling_expectancy_20d_median,rolling_hit_rate_20d_median,top_1_day_contribution_pct,top_3_day_contribution_pct,top_5_day_contribution_pct,top_10_day_contribution_pct,bottom_1_day_contribution_pct,bottom_3_day_contribution_pct,bottom_5_day_contribution_pct,bottom_10_day_contribution_pct,pnl_excluding_top_1_day,pnl_excluding_top_3_days,pnl_excluding_top_5_days,pnl_excluding_best_month,top_day_contribution_ratio,reference_r_usd,worst_daily_loss_usd,days_below_neg_0p25r_freq,days_below_neg_0p5r_freq,days_below_neg_1r_freq,red_streak_ge_2_freq,red_streak_ge_3_freq,red_streak_ge_4_freq,red_streak_ge_5_freq,trade_loss_streak_ge_3_freq,trade_loss_streak_ge_4_freq,trade_loss_streak_ge_5_freq,trade_loss_streak_ge_6_freq,daily_loss_limit_breach_freq,trailing_drawdown_breach_freq,profit_to_drawdown_ratio
overall,489,489,-4063.51953124999,-2841.01953124999,7798.292968750025,10639.312500000015,-2.3776774407486356,-2.0157702608050587,0.6435294206339212,0.37014314928425357,-8.30985589212677,-7.217619060834796,40.52924292127086,-37.252655228758215,1.0879558160993366,-4125.666666666657,-0.9849364622889228,-0.4408596598522355,4.308932835343899,0.01529929983065902,0.8685612788632326,1.0,4,35.97137014314929,0.08011112629229858,0.7075664621676891,0.29243353783231085,10,5,280.5,557.0,-3.333672788091631,-7.3020507812500455,0.3684210526315789,-0.09641618786054608,-0.2245388416945359,-0.2939473843583476,-0.44103931609471386,0.06120515268123445,0.15237522121852146,0.2236272115042927,0.37149523052387967,-4455.308593749988,-4975.937499999987,-5257.9804687499845,-4588.880208333318,0.44103931609471386,37.1484375,-248.70833333333394,0.3552397868561279,0.3285968028419183,0.1847246891651865,0.3897058823529412,0.16911764705882354,0.051470588235294115,0.014705882352941176,0.42857142857142855,0.2605042016806723,0.15126050420168066,0.09243697478991597,0.0,0.41207815275310833,-0.9849364622889228
is,334,334,-2746.5299479166424,-1911.5299479166424,5516.496093750029,7428.0260416666715,-2.1692565791335743,-1.9223172396928345,0.6549271650413171,0.3562874251497006,-8.223143556636654,-6.970888192681834,43.804589023109486,-37.367493153364656,1.1722645895277355,-2808.6770833333067,-0.9778731646348933,-0.625441719512673,2.8483255611096783,0.01619599858728979,0.8477157360406091,1.0,4,35.5688622754491,0.07731354939476767,0.6736526946107785,0.3263473053892216,10,5,196.0,388.0,-3.310417525865175,-6.551171874999909,0.35,-0.14264874948739795,-0.33220754408380054,-0.433774625652167,-0.6234969789056819,0.0905536579064028,0.22544071946846006,0.32444538207539586,0.5237916215300099,-3138.3190104166397,-3658.947916666639,-3937.9049479166497,-3271.890624999969,0.6234969789056819,37.36197916666697,-248.70833333333394,0.3680203045685279,0.33756345177664976,0.1802030456852792,0.39361702127659576,0.20212765957446807,0.06382978723404255,0.010638297872340425,0.45454545454545453,0.3116883116883117,0.19480519480519481,0.11688311688311688,0.0,0.1598984771573604,-0.9778731646348933
oos,155,155,-1316.9895833333476,-929.4895833333476,2281.7968749999955,3211.286458333343,-3.028587745596855,-2.2484503327804575,0.6171582483833867,0.4,-8.496706989247404,-7.79283777120324,34.24269153225799,-36.98963933691767,0.9257373725750802,-1375.4739583333649,-0.9574805654111535,-1.4277224999030216,1.2521594589702718,0.012968388458933056,0.9171597633136095,1.0,4,36.83870967741935,0.08663328781671976,0.7806451612903226,0.21935483870967742,8,5,58.0,105.0,-2.732368686728524,-7.601041666666902,0.41640866873065013,-0.1050068812237473,-0.2763167261193823,-0.3927310153364181,-0.6250326264919073,0.10668665121686859,0.29559997152597,0.466871257840243,0.8003614619832135,-1455.2825520833449,-1680.8958333333476,-1834.2122395833394,-1594.4205729166924,0.6250326264919073,36.46093750000091,-140.50520833333394,0.3254437869822485,0.3076923076923077,0.20118343195266272,0.38095238095238093,0.09523809523809523,0.023809523809523808,0.023809523809523808,0.38095238095238093,0.16666666666666666,0.07142857142857142,0.047619047619047616,0.0,0.0,-0.9574805654111535
