atr_period,q_low,q_high,q_low_pct,q_high_pct,atr_low_threshold_is,atr_high_threshold_is,n_signal_rows_total,n_signal_rows_is,n_selected_signals_total,n_selected_signals_is,n_selected_signals_oos,is_n_trades,is_win_rate,is_expectancy,is_profit_factor,is_sharpe_ratio,is_cumulative_pnl,is_max_drawdown,is_stop_hit_rate,is_target_hit_rate,is_time_exit_rate,is_time_exit_win_rate,oos_n_trades,oos_win_rate,oos_expectancy,oos_profit_factor,oos_sharpe_ratio,oos_cumulative_pnl,oos_max_drawdown,oos_stop_hit_rate,oos_target_hit_rate,oos_time_exit_rate,oos_time_exit_win_rate,oos_rel_sharpe_vs_baseline,oos_rel_pf_vs_baseline,oos_rel_expectancy_vs_baseline,delta_sharpe_oos_minus_is,delta_pf_oos_minus_is,delta_expectancy_oos_minus_is,ratio_oos_is_sharpe,ratio_oos_is_pf,ratio_oos_is_expectancy,oos_good_metric_count,trade_floor_ok,robust_oos_flag,local_robustness_score
60,0.3,0.8,30,80,6.888333333333333,14.344166666666668,1340,950,673,475,198,451,0.5188470066518847,33.80487804878049,1.4119037648425574,2.342267712702281,15246.0,-2065.5,0.42572062084257206,0.21286031042128603,0.35920177383592017,0.8518518518518519,185,0.4810810810810811,24.354054054054053,1.2770228726020658,1.6382988401642213,4505.5,-1391.5,0.4702702702702703,0.23783783783783785,0.2756756756756757,0.8235294117647058,1.6731468665711633,0.11819444992096907,0.8703913513513513,-0.7039688725380595,-0.1348808922404916,-9.450823994726434,0.6994498670154623,0.9044687778309506,0.7204301704301704,3,True,True,0.8101522792665762
60,0.3,0.85,30,85,6.888333333333333,15.973958333333332,1340,950,756,522,234,489,0.5132924335378323,31.47239263803681,1.378406953442913,2.1666080982621305,15390.0,-2092.0,0.4335378323108384,0.21063394683026584,0.3537832310838446,0.8554913294797688,208,0.47115384615384615,22.485576923076923,1.2537572567956161,1.4824234484478636,4677.0,-1391.5,0.47596153846153844,0.23076923076923078,0.27884615384615385,0.8103448275862069,1.418811207699326,0.09782247144907498,0.7268923076923076,-0.684184649814267,-0.12464969664729697,-8.986815714959885,0.6842139331229021,0.9095697418415124,0.7144540035987405,3,True,True,0.7481106819121707
18,0.3,0.8,30,80,8.718055555555555,19.21388888888889,1340,950,662,475,187,443,0.5011286681715575,31.54627539503386,1.3665910313077922,2.116054751736387,13975.0,-2148.0,0.4469525959367946,0.2234762979683973,0.327313769751693,0.8413793103448276,169,0.47337278106508873,27.71301775147929,1.3181401351764426,1.821996568874356,4683.5,-1533.5,0.4556213017751479,0.24260355029585798,0.28994082840236685,0.7551020408163265,1.972879122896581,0.1541977947263195,1.1283597633136093,-0.294058182862031,-0.048450896131349674,-3.833257643554571,0.8610347002502022,0.9645461626621511,0.87848778990378,3,True,True,0.9395302236841491
10,0.3,0.85,30,85,8.3425,20.956249999999997,1340,950,754,522,232,475,0.5010526315789474,31.177894736842106,1.3649637734733107,2.0779892453950946,14809.5,-2178.5,0.4442105263157895,0.2231578947368421,0.33263157894736844,0.8354430379746836,204,0.47058823529411764,24.301470588235293,1.2783783024959992,1.5963211450055337,4957.5,-1385.0,0.46568627450980393,0.23039215686274508,0.29411764705882354,0.7833333333333333,1.6046535358500862,0.11938129959858287,0.8663529411764704,-0.48166810038956087,-0.08658547097731151,-6.876424148606812,0.768204719318468,0.9365657370107453,0.77944552681804,3,True,True,0.82358909097688
21,0.2,0.8,20,80,6.576190476190476,18.89761904761905,1340,950,768,570,198,538,0.5130111524163569,30.065055762081784,1.3572888020056768,2.062072225512465,16175.0,-1962.0,0.43308550185873607,0.20817843866171004,0.35687732342007433,0.8489583333333334,180,0.46111111111111114,14.233333333333333,1.1592590290296512,0.9747454085598151,2562.0,-1470.5,0.4666666666666667,0.21666666666666667,0.3,0.7592592592592593,0.5904532010381646,0.015077364777679654,0.09311999999999988,-1.0873268169526498,-0.19802977297602564,-15.831722428748451,0.4727018755696455,0.8540990151223561,0.4734178258629572,3,True,True,0.403104163445818
18,0.25,0.8,25,80,7.763888888888889,19.21388888888889,1340,950,717,524,193,492,0.5020325203252033,30.13821138211382,1.3533715429620008,2.048456084438036,14828.0,-2163.5,0.44308943089430897,0.21341463414634146,0.34146341463414637,0.8392857142857143,174,0.47701149425287354,26.617816091954023,1.3061237978783171,1.753334039198977,4631.5,-1533.5,0.4540229885057471,0.2413793103448276,0.29310344827586204,0.7647058823529411,1.8608452121393766,0.1436759771744038,1.0442482758620688,-0.29512204523905905,-0.04724774508368368,-3.5203952901597972,0.8559295229802197,0.9650888587621128,0.8831916318614365,3,True,True,0.9051252364158865
18,0.3,0.85,30,85,8.718055555555555,21.129166666666666,1340,950,744,522,222,478,0.5,30.039748953974897,1.3458166754973266,1.9988177723769278,14359.0,-1899.0,0.45188284518828453,0.2196652719665272,0.3263598326359833,0.8525641025641025,200,0.48,30.68,1.3564022885023088,2.008371963920992,6136.0,-1291.0,0.455,0.245,0.29,0.7758620689655172,2.2769804205724906,0.18770113159594884,1.3562239999999997,0.009554191544064006,0.010585613004982175,0.640251046025103,1.0047799212495006,1.0078655683182633,1.0213134619402464,3,True,True,1.086558327494102
10,0.2,0.85,20,85,6.525,20.956249999999997,1340,950,870,618,252,571,0.5096322241681261,29.476357267950963,1.3477371569062941,1.9956386666635768,16831.0,-1913.5,0.4343257443082312,0.21015761821366025,0.35376532399299476,0.8415841584158416,223,0.4663677130044843,18.542600896860986,1.2119100087121406,1.2421442052085656,4135.0,-1635.5,0.45739910313901344,0.21973094170403587,0.3094170403587444,0.7536231884057971,1.0267571511251077,0.061179932340858445,0.4240717488789236,-0.7534944614550112,-0.13582714819415354,-10.933756371089977,0.6224294136800093,0.899218369473509,0.6290669070232086,3,True,True,0.6112889545557348
18,0.2,0.8,20,80,6.608333333333333,19.21388888888889,1340,950,771,570,201,538,0.5074349442379182,29.065985130111525,1.3451681970686915,1.9949586833166255,15637.5,-2120.5,0.43308550185873607,0.20817843866171004,0.35687732342007433,0.8333333333333334,182,0.46703296703296704,22.016483516483518,1.2520759939607449,1.472852543025485,4007.0,-1533.5,0.45604395604395603,0.23076923076923078,0.2967032967032967,0.7407407407407407,1.4031947431002816,0.0963503139715971,0.6908659340659341,-0.5221061402911404,-0.09309220310794664,-7.049501613628006,0.7382872414063547,0.9307951204088771,0.7574655879691852,3,True,True,0.730176566412856
12,0.2,0.85,20,85,6.612500000000001,21.047916666666666,1340,950,868,617,251,571,0.5096322241681261,29.21103327495622,1.3446177685950413,1.9791920002486147,16679.5,-2136.0,0.4343257443082312,0.21015761821366025,0.35376532399299476,0.8415841584158416,221,0.46153846153846156,18.212669683257918,1.2077955601445534,1.216286428832595,4025.0,-1635.5,0.45701357466063347,0.2171945701357466,0.31221719457013575,0.7391304347826086,0.9845660488662579,0.05757721413473357,0.39873303167420804,-0.7629055714160198,-0.13682220845048798,-10.9983635916983,0.6145368557875194,0.8982445333937167,0.623485979144475,3,True,True,0.5956551569398181
