atr_period,q_low,q_high,q_low_pct,q_high_pct,atr_low_threshold_is,atr_high_threshold_is,is_n_trades,is_win_rate,is_expectancy,is_profit_factor,is_sharpe_ratio,is_cumulative_pnl,is_max_drawdown,is_stop_hit_rate,is_target_hit_rate,is_time_exit_rate,is_time_exit_win_rate
12,0.25,0.8,25,80,7.4375,18.941666666666666,490,0.5,24.913265306122447,1.2893766815612,1.7125318022650173,12207.5,-2296.0,0.44693877551020406,0.2,0.3510204081632653,0.8488372093023255
12,0.3,0.8,30,80,8.466666666666665,18.941666666666666,441,0.49206349206349204,25.099773242630384,1.2881689077489815,1.7067663598368412,11069.0,-2511.0,0.4557823129251701,0.20861678004535147,0.3356009070294785,0.8445945945945946
18,0.3,0.85,30,85,8.718055555555555,21.129166666666666,478,0.5,30.039748953974897,1.3458166754973266,1.9988177723769278,14359.0,-1899.0,0.45188284518828453,0.2196652719665272,0.3263598326359833,0.8525641025641025
18,0.25,0.85,25,85,7.763888888888889,21.129166666666666,527,0.5009487666034156,28.865275142314992,1.3353467660156078,1.945907604693497,15212.0,-1914.5,0.4478178368121442,0.21062618595825428,0.3396584440227704,0.8491620111731844
21,0.3,0.85,30,85,8.810714285714285,20.761309523809523,481,0.4864864864864865,23.806652806652806,1.2665347686936281,1.5961191909277623,11451.0,-2414.0,0.46153846153846156,0.20997920997921,0.3264033264033264,0.8407643312101911
16,0.25,0.8,25,80,7.671875,19.512500000000003,490,0.5,27.651020408163266,1.3216417999026695,1.884004244759029,13549.0,-2417.0,0.44693877551020406,0.20612244897959184,0.3448979591836735,0.8461538461538461
12,0.2,0.8,20,80,6.612500000000001,18.941666666666666,536,0.5093283582089553,26.925373134328357,1.3174484465218588,1.8520762763816603,14432.0,-2246.0,0.43656716417910446,0.20149253731343283,0.36007462686567165,0.8497409326424871
30,0.3,0.95,30,95,8.264166666666666,25.707083333333323,541,0.48613678373382624,22.56561922365989,1.2513899757011655,1.4827890373788533,12208.0,-2111.0,0.46395563770794823,0.20702402957486138,0.32717190388170053,0.847457627118644
16,0.3,0.8,30,80,8.6671875,19.512500000000003,441,0.4965986394557823,27.249433106575964,1.314001646176559,1.8417085899197314,12017.0,-2589.0,0.45351473922902497,0.2108843537414966,0.3356009070294785,0.8513513513513513
21,0.25,0.85,25,85,7.773809523809524,20.761309523809523,529,0.4933837429111531,23.907372400756145,1.2725382236636533,1.62547592991337,12647.0,-2429.5,0.45368620037807184,0.20226843100189035,0.34215500945179583,0.8453038674033149
21,0.3,0.95,30,95,8.810714285714285,27.99047619047619,538,0.4795539033457249,22.16914498141264,1.242485234769703,1.43487895414301,11927.0,-2111.0,0.47026022304832715,0.21189591078066913,0.3159851301115242,0.8411764705882353
30,0.3,0.85,30,85,8.264166666666666,19.24125,487,0.49075975359342916,23.594455852156056,1.2680343834194474,1.6135171261392296,11490.5,-2414.0,0.45790554414784396,0.20123203285420946,0.33880903490759756,0.8484848484848485
60,0.3,0.95,30,95,6.888333333333333,22.082708333333333,543,0.4972375690607735,24.6804788213628,1.2838008110712282,1.6460880337625494,13401.5,-1941.5,0.45119705340699817,0.20257826887661143,0.3443830570902394,0.8556149732620321
18,0.3,0.8,30,80,8.718055555555555,19.21388888888889,443,0.5011286681715575,31.54627539503386,1.3665910313077922,2.116054751736387,13975.0,-2148.0,0.4469525959367946,0.2234762979683973,0.327313769751693,0.8413793103448276
10,0.3,0.95,30,95,8.3425,28.804999999999996,537,0.48417132216014896,23.11731843575419,1.2573623161364555,1.50569103398758,12414.0,-2298.5,0.4655493482309125,0.21042830540037244,0.3240223463687151,0.8448275862068966
16,0.25,0.85,25,85,7.671875,21.311718749999997,527,0.5009487666034156,28.886148007590133,1.3354487560873494,1.9473239334407038,15223.0,-1914.5,0.4478178368121442,0.2125237191650854,0.3377609108159393,0.848314606741573
10,0.3,0.8,30,80,8.3425,18.805000000000003,441,0.4965986394557823,27.22222222222222,1.3171646720033816,1.851898297526405,12005.0,-2376.5,0.4489795918367347,0.21315192743764172,0.3378684807256236,0.8389261744966443
30,0.3,0.9,30,90,8.264166666666666,21.694166666666668,521,0.4894433781190019,23.930902111324375,1.2693512497569617,1.609299813819542,12468.0,-2111.0,0.46065259117082535,0.2072936660268714,0.33013435700575816,0.8488372093023255
14,0.25,0.8,25,80,7.553571428571429,19.13928571428572,490,0.5081632653061224,27.942857142857143,1.3276225114854519,1.9139521097000733,13692.0,-2351.0,0.44081632653061226,0.20408163265306123,0.35306122448979593,0.8554913294797688
18,0.2,0.85,20,85,6.608333333333333,21.129166666666666,573,0.506108202443281,27.960732984293195,1.3289531768111775,1.9035026198272456,16021.5,-1871.5,0.43804537521815007,0.20593368237347295,0.3542757417102967,0.8423645320197044
