q_low_pct,q_high_pct,oos_sharpe_ratio,oos_profit_factor,oos_expectancy,oos_n_trades,is_sharpe_ratio,is_profit_factor,is_expectancy,delta_sharpe_oos_minus_is,delta_pf_oos_minus_is,delta_expectancy_oos_minus_is,local_robustness_score
10,80,0.8655547214106728,1.1401544105815342,12.604943701618577,203.5,1.6351551766488397,1.2740334888189664,23.497102452531646,-0.7706147466334905,-0.13398879462720203,-10.906707322779418,0.368425294163996
10,85,0.8346042625346995,1.1365564426456127,12.319690265486726,226.5,1.6580711934029733,1.281265211833241,24.034385852523684,-0.7871296275175625,-0.13583825984636422,-11.10549327094941,0.3734090703234988
10,90,0.7541633715198873,1.125232207083769,11.310586218391352,249.0,1.434670042626736,1.2403269608958465,20.967519869574076,-0.6874912994794681,-0.1162512989979897,-9.85381805034497,0.359580226825031
10,95,1.0054955333944782,1.175004208833005,15.69246821448314,267.5,1.3196509328916577,1.2205860865602915,19.588169024627593,-0.30399505912497365,-0.044327104326224886,-3.788993252945308,0.5610238552789717
15,80,0.995765719592569,1.1622475385258317,14.634473684210526,200.0,1.7395182779518716,1.2941230456893247,25.033287180346043,-0.7136120097122242,-0.1265331163081903,-9.953525208929875,0.44504820641297405
15,85,1.0063130466553103,1.1677048167488644,14.943600517129928,222.0,1.6895500380980315,1.2880065952690387,24.642733788610723,-0.7461514337084267,-0.13077584174119317,-10.487886020186266,0.47261823741323467
15,90,0.9102601279592102,1.1527216976104433,13.669479759116761,244.0,1.4981751480893881,1.2527703940951525,21.99885145482389,-0.5730674624084622,-0.0975135839406055,-8.044134209923204,0.4497786366897689
15,95,1.1239815549835286,1.197576755324191,17.63783269961977,262.5,1.359554462794336,1.228432638298107,20.259150805270863,-0.25748605256502155,-0.03515970971885907,-2.9164031576533436,0.6375860681722291
20,80,1.388007234486936,1.238565785525543,20.612113402061855,193.5,1.887246109575791,1.324147204798543,27.462686567164177,-0.4913299486258913,-0.08528359544282527,-6.767033918730368,0.6927910558420152
20,85,1.2926661586944097,1.2204292509899664,19.374353648774367,215.0,1.919146061783195,1.3318704980021225,28.240837696335078,-0.546527078082076,-0.09524674721812576,-7.582080380331188,0.6413139895868906
20,90,1.1688062855338228,1.2010119591188408,17.77913580686512,236.5,1.6583466104519125,1.2819811802598289,24.589195710091346,-0.46006086762829845,-0.07706880173157649,-6.45386529309209,0.6028511965740823
20,95,1.3746816349234519,1.2474641007955078,21.781685697115385,255.0,1.5049717492853407,1.2559621006574746,22.69693684616437,-0.14134114848709955,-0.011121206056405875,-1.0802096753343893,0.7842281025307298
25,80,1.6753026976998977,1.2882725975709457,25.010708619777894,183.0,1.898978177229551,1.3246321556940606,27.796938775510206,-0.23374304196302587,-0.03503492455374713,-2.651025123612296,0.8615185866991116
25,85,1.4995459426404438,1.2583986034924073,22.68326465201465,207.5,1.8501820345976678,1.317844653543335,27.430459770114943,-0.2878386157640307,-0.0442129231199081,-3.544785077143528,0.7936023705447727
25,90,1.3892199689983635,1.24104536193487,21.338987414187642,227.0,1.5897726536809718,1.2675018761646313,23.675003621910353,-0.17751595847891188,-0.022241052431759778,-1.9312755994937305,0.7564239722720236
25,95,1.5372310713685993,1.28043944256435,24.650523124083698,245.0,1.446563451769332,1.2440681917353253,21.95076400679117,0.0979840375971599,0.03738896474184972,2.8385365218045067,0.8674754461999553
30,80,1.7090204718197077,1.2984286453644382,25.740000000000002,175.0,1.846803443723068,1.3155831590899703,27.235827664399093,-0.15923209078039624,-0.023459724636212598,-1.597307317245365,0.8964901185511873
30,85,1.6245323730791557,1.2829224380751127,24.701496715437443,199.5,1.8923236830043537,1.325870218590651,28.309049875180197,-0.29908911622332934,-0.04886283034302408,-3.986154943507632,0.8452776396374806
30,90,1.458896702167307,1.2560361390437045,22.573656081361563,220.5,1.64529379904179,1.2786257020501126,24.70022512245983,-0.10922930533204445,-0.011228367110077575,-1.134677788842577,0.7939060815621855
30,95,1.6454467936523791,1.3021376123704738,26.496327731092435,238.0,1.4588339957609318,1.2469376052354342,22.367382102536265,0.18532553946661545,0.05326218650055037,4.151924992074283,0.9096593781156603
