trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,holding_minutes,gross_pnl_usd,entry_hour,signal_atr,signal_box_width,mfe_points,mae_points,mfe_usd,mae_usd,mfe_r,mae_r
1,2025-01-14,short,1,2025-01-14 14:55:00-05:00,5878.0,5886.0625,5860.2625,2025-01-14 15:05:00-05:00,5860.5125,target,50000.0,,,44.0625,44.0625,44.0625,29390.0,0.5878,17.487500000000182,69.95000000000073,87.43750000000091,2.5,84.93750000000091,vceb_n8_ct15_tr2p2,2025-01-14 14:50:00-05:00,2,10.0,87.43750000000091,14.0,7.359375,10.75,28.0,-1.0,140.0,-5.0,3.1773049645390072,-0.11347517730496454
2,2025-01-15,short,1,2025-01-15 11:35:00-05:00,5959.25,5969.604166666667,5936.470833333334,2025-01-15 12:10:00-05:00,5969.854166666667,stop,50000.0,,,55.52083333333485,55.52083333333485,55.52083333333485,29796.25,0.595925,-10.60416666666697,-42.41666666666788,-53.02083333333485,2.5,-55.52083333333485,vceb_n8_ct15_tr2p2,2025-01-15 11:30:00-05:00,7,35.0,-53.02083333333485,11.0,10.354166666666666,13.5,3.5,-11.5,17.5,-57.5,0.3151969981238188,-1.0356472795496903
3,2025-01-16,short,1,2025-01-16 13:30:00-05:00,5982.25,5989.744791666667,5965.761458333333,2025-01-16 14:30:00-05:00,5984.5,time_stop,50000.0,,,41.22395833333485,41.22395833333485,41.22395833333485,29911.25,0.598225,-2.25,-9.0,-11.25,2.5,-13.75,vceb_n8_ct15_tr2p2,2025-01-16 13:25:00-05:00,12,60.0,-11.25,13.0,7.494791666666667,8.5,13.25,-3.75,66.25,-18.75,1.6070751737207243,-0.45483259633605405
4,2025-01-22,long,1,2025-01-22 13:45:00-05:00,6132.5,6128.75,6140.75,2025-01-22 14:00:00-05:00,6128.5,stop,50000.0,,,22.5,22.5,22.5,30662.5,0.61325,-4.0,-16.0,-20.0,2.5,-22.5,vceb_n8_ct15_tr2p2,2025-01-22 13:40:00-05:00,3,15.0,-20.0,13.0,3.25,5.0,1.0,-5.5,5.0,-27.5,0.2222222222222222,-1.2222222222222223
5,2025-01-27,long,1,2025-01-27 14:20:00-05:00,6030.75,6022.645833333333,6048.579166666666,2025-01-27 14:50:00-05:00,6022.395833333333,stop,50000.0,,,44.27083333333485,44.27083333333485,44.27083333333485,30153.75,0.603075,-8.35416666666697,-33.41666666666788,-41.77083333333485,2.5,-44.27083333333485,vceb_n8_ct15_tr2p2,2025-01-27 14:15:00-05:00,6,30.0,-41.77083333333485,14.0,8.104166666666666,10.75,12.5,-12.0,62.5,-60.0,1.4117647058823046,-1.3552941176470124
6,2025-01-31,short,1,2025-01-31 13:20:00-05:00,6125.25,6130.932291666667,6112.748958333334,2025-01-31 13:25:00-05:00,6131.182291666667,stop,50000.0,,,32.16145833333485,32.16145833333485,32.16145833333485,30626.25,0.612525,-5.93229166666697,-23.72916666666788,-29.66145833333485,2.5,-32.16145833333485,vceb_n8_ct15_tr2p2,2025-01-31 13:15:00-05:00,1,5.0,-29.66145833333485,13.0,5.682291666666667,6.5,4.75,-6.0,23.75,-30.0,0.7384615384615036,-0.9327935222671625
7,2025-02-04,short,1,2025-02-04 15:00:00-05:00,6060.0,6065.4375,6048.0375,2025-02-04 15:55:00-05:00,6065.6875,stop,50000.0,,,30.9375,30.9375,30.9375,30300.0,0.606,-5.6875,-22.75,-28.4375,2.5,-30.9375,vceb_n8_ct15_tr2p2,2025-02-04 14:55:00-05:00,11,55.0,-28.4375,15.0,4.90625,7.25,5.0,-5.5,25.0,-27.5,0.8080808080808081,-0.8888888888888888
8,2025-02-06,short,1,2025-02-06 14:30:00-05:00,6089.5,6093.713541666667,6080.230208333333,2025-02-06 14:35:00-05:00,6080.480208333333,target,50000.0,,,24.81770833333485,24.81770833333485,24.81770833333485,30447.5,0.60895,9.019791666666606,36.079166666666424,45.09895833333303,2.5,42.59895833333303,vceb_n8_ct15_tr2p2,2025-02-06 14:25:00-05:00,1,5.0,45.09895833333303,14.0,4.213541666666667,5.0,19.5,-0.25,97.5,-1.25,3.9286463798528555,-0.05036726128016481
9,2025-02-11,short,1,2025-02-11 11:55:00-05:00,6081.5,6086.0,6071.6,2025-02-11 12:10:00-05:00,6071.85,target,50000.0,,,26.25,26.25,26.25,30407.5,0.60815,9.649999999999636,38.599999999998545,48.24999999999818,2.5,45.74999999999818,vceb_n8_ct15_tr2p2,2025-02-11 11:50:00-05:00,3,15.0,48.24999999999818,11.0,4.286458333333333,6.0,11.0,-1.5,55.0,-7.5,2.0952380952380953,-0.2857142857142857
10,2025-02-14,long,1,2025-02-14 13:35:00-05:00,6139.0,6135.088541666667,6147.605208333333,2025-02-14 14:35:00-05:00,6134.838541666667,stop,50000.0,,,23.30729166666515,23.30729166666515,23.30729166666515,30695.0,0.6139,-4.16145833333303,-16.64583333333212,-20.80729166666515,2.5,-23.30729166666515,vceb_n8_ct15_tr2p2,2025-02-14 13:30:00-05:00,12,60.0,-20.80729166666515,13.0,3.9114583333333335,4.0,4.0,-4.75,20.0,-23.75,0.8581005586592737,-1.0189944134078874
11,2025-02-18,short,1,2025-02-18 14:10:00-05:00,6122.0,6126.875,6111.275,2025-02-18 14:25:00-05:00,6127.125,stop,50000.0,,,28.125,28.125,28.125,30610.0,0.6122,-5.125,-20.5,-25.625,2.5,-28.125,vceb_n8_ct15_tr2p2,2025-02-18 14:05:00-05:00,3,15.0,-25.625,14.0,4.09375,6.5,3.75,-8.75,18.75,-43.75,0.6666666666666666,-1.5555555555555556
12,2025-03-05,long,1,2025-03-05 12:00:00-05:00,5779.75,5764.067708333333,5814.251041666666,2025-03-05 12:45:00-05:00,5814.001041666666,target,50000.0,,,82.16145833333485,82.16145833333485,82.16145833333485,28898.75,0.577975,34.251041666666424,137.0041666666657,171.25520833333212,2.5,168.75520833333212,vceb_n8_ct15_tr2p2,2025-03-05 11:55:00-05:00,9,45.0,171.25520833333212,12.0,15.682291666666666,20.75,35.25,-1.75,176.25,-8.75,2.1451664025356183,-0.10649762282091721
13,2025-03-05,long,1,2025-03-05 15:05:00-05:00,5864.25,5847.75,5900.55,2025-03-05 15:20:00-05:00,5847.5,stop,50000.0,,,86.25,86.25,86.25,29321.25,0.586425,-16.75,-67.0,-83.75,2.5,-86.25,vceb_n8_ct15_tr2p2,2025-03-05 15:00:00-05:00,3,15.0,-83.75,15.0,13.020833333333334,22.0,5.5,-21.25,27.5,-106.25,0.3188405797101449,-1.2318840579710144
14,2025-03-06,long,1,2025-03-06 14:50:00-05:00,5756.75,5739.6875,5794.2875,2025-03-06 15:00:00-05:00,5739.4375,stop,50000.0,,,89.0625,89.0625,89.0625,28783.75,0.575675,-17.3125,-69.25,-86.5625,2.5,-89.0625,vceb_n8_ct15_tr2p2,2025-03-06 14:45:00-05:00,2,10.0,-86.5625,14.0,12.880208333333334,22.75,11.75,-29.5,58.75,-147.5,0.6596491228070176,-1.656140350877193
15,2025-03-26,short,1,2025-03-26 11:30:00-04:00,5794.5,5802.375,5777.175,2025-03-26 12:00:00-04:00,5777.425,target,50000.0,,,43.125,43.125,43.125,28972.5,0.57945,17.074999999999818,68.29999999999927,85.37499999999909,2.5,82.87499999999909,vceb_n8_ct15_tr2p2,2025-03-26 11:25:00-04:00,6,30.0,85.37499999999909,11.0,6.151041666666667,10.5,22.5,-5.25,112.5,-26.25,2.608695652173913,-0.6086956521739131
16,2025-03-26,short,1,2025-03-26 12:55:00-04:00,5770.5,5779.5,5750.7,2025-03-26 13:40:00-04:00,5750.95,target,50000.0,,,48.75,48.75,48.75,28852.5,0.57705,19.550000000000182,78.20000000000073,97.75000000000091,2.5,95.25000000000091,vceb_n8_ct15_tr2p2,2025-03-26 12:50:00-04:00,9,45.0,97.75000000000091,12.0,7.104166666666667,12.0,20.0,-3.0,100.0,-15.0,2.051282051282051,-0.3076923076923077
17,2025-03-27,short,1,2025-03-27 11:35:00-04:00,5760.25,5769.4375,5740.0375,2025-03-27 12:25:00-04:00,5769.6875,stop,50000.0,,,49.6875,49.6875,49.6875,28801.25,0.576025,-9.4375,-37.75,-47.1875,2.5,-49.6875,vceb_n8_ct15_tr2p2,2025-03-27 11:30:00-04:00,10,50.0,-47.1875,11.0,8.25,12.25,12.25,-9.75,61.25,-48.75,1.2327044025157232,-0.9811320754716981
18,2025-03-31,long,1,2025-03-31 14:05:00-04:00,5612.25,5600.625,5637.825,2025-03-31 14:35:00-04:00,5637.575,target,50000.0,,,61.875,61.875,61.875,28061.25,0.561225,25.324999999999818,101.29999999999927,126.62499999999909,2.5,124.12499999999909,vceb_n8_ct15_tr2p2,2025-03-31 14:00:00-04:00,6,30.0,126.62499999999909,14.0,9.916666666666666,15.5,28.5,-2.0,142.5,-10.0,2.303030303030303,-0.16161616161616163
19,2025-04-01,short,1,2025-04-01 14:05:00-04:00,5643.25,5654.6875,5618.0875,2025-04-01 15:05:00-04:00,5644.5,time_stop,50000.0,,,60.9375,60.9375,60.9375,28216.25,0.564325,-1.25,-5.0,-6.25,2.5,-8.75,vceb_n8_ct15_tr2p2,2025-04-01 14:00:00-04:00,12,60.0,-6.25,14.0,10.4375,15.25,17.5,-2.5,87.5,-12.5,1.435897435897436,-0.20512820512820512
20,2025-04-04,short,1,2025-04-04 12:20:00-04:00,5187.5,5220.6875,5114.4875,2025-04-04 13:20:00-04:00,5149.5,time_stop,50000.0,,,169.6875,169.6875,169.6875,25937.5,0.51875,38.0,152.0,190.0,2.5,187.5,vceb_n8_ct15_tr2p2,2025-04-04 12:15:00-04:00,12,60.0,190.0,12.0,26.973958333333332,44.25,51.75,-10.25,258.75,-51.25,1.5248618784530388,-0.3020257826887661
21,2025-04-04,long,1,2025-04-04 15:15:00-04:00,5154.5,5125.4375,5218.4375,2025-04-04 15:55:00-04:00,5125.1875,stop,50000.0,,,149.0625,149.0625,149.0625,25772.5,0.51545,-29.3125,-117.25,-146.5625,2.5,-149.0625,vceb_n8_ct15_tr2p2,2025-04-04 15:10:00-04:00,8,40.0,-146.5625,15.0,21.546875,38.75,38.25,-40.25,191.25,-201.25,1.2830188679245282,-1.350104821802935
22,2025-04-09,short,1,2025-04-09 10:55:00-04:00,4994.5,5033.875,4907.875,2025-04-09 11:20:00-04:00,5034.125,stop,50000.0,,,200.625,200.625,200.625,24972.5,0.49945,-39.625,-158.5,-198.125,2.5,-200.625,vceb_n8_ct15_tr2p2,2025-04-09 10:50:00-04:00,5,25.0,-198.125,10.0,30.208333333333332,52.5,14.25,-47.5,71.25,-237.5,0.35514018691588783,-1.1838006230529594
23,2025-04-09,long,1,2025-04-09 13:05:00-04:00,5107.5,5077.3125,5173.9125,2025-04-09 13:10:00-04:00,5077.0625,stop,50000.0,,,154.6875,154.6875,154.6875,25537.5,0.51075,-30.4375,-121.75,-152.1875,2.5,-154.6875,vceb_n8_ct15_tr2p2,2025-04-09 13:00:00-04:00,1,5.0,-152.1875,13.0,28.125,40.25,0.0,-39.5,0.0,-197.5,0.0,-1.2767676767676768
