scope,total_trades,n_trades,net_pnl,gross_pnl,gross_profit,gross_loss_abs,sharpe_ratio,sortino_ratio,profit_factor,hit_rate,expectancy_per_trade,expectancy_per_day,avg_win,avg_loss,avg_gain_loss_ratio,max_drawdown,return_over_max_drawdown,calmar_ratio,ulcer_index,annualized_vol,mean_trades_per_day,median_trades_per_day,max_trades_per_day,avg_time_in_position_min,avg_exposure_pct,long_trade_share,short_trade_share,worst_losing_trades_streak,worst_losing_days_streak,median_recovery_days,max_recovery_days,rolling_sharpe_20d_median,rolling_expectancy_20d_median,rolling_hit_rate_20d_median,top_1_day_contribution_pct,top_3_day_contribution_pct,top_5_day_contribution_pct,top_10_day_contribution_pct,bottom_1_day_contribution_pct,bottom_3_day_contribution_pct,bottom_5_day_contribution_pct,bottom_10_day_contribution_pct,pnl_excluding_top_1_day,pnl_excluding_top_3_days,pnl_excluding_top_5_days,pnl_excluding_best_month,top_day_contribution_ratio,reference_r_usd,worst_daily_loss_usd,days_below_neg_0p25r_freq,days_below_neg_0p5r_freq,days_below_neg_1r_freq,red_streak_ge_2_freq,red_streak_ge_3_freq,red_streak_ge_4_freq,red_streak_ge_5_freq,trade_loss_streak_ge_3_freq,trade_loss_streak_ge_4_freq,trade_loss_streak_ge_5_freq,trade_loss_streak_ge_6_freq,daily_loss_limit_breach_freq,trailing_drawdown_breach_freq,profit_to_drawdown_ratio
overall,53,53,957.4770833333241,1089.9770833333241,3303.1124999999956,2213.1354166666715,1.5208207069705946,1.3203589169260028,1.4185444395368167,0.4339622641509434,18.065605345911777,7.721589381720356,141.09184782608676,-76.25451388888905,1.8502753559175869,-611.46875,1.5658642953271513,3.1822403421164696,0.5470605764723101,0.025589348110199733,0.4274193548387097,0.0,3,34.81132075471698,0.03815136476426799,0.37735849056603776,0.6226415094339622,9,3,16.0,42.0,1.8389846449522038,9.764374999999927,0.5,0.4122814079536321,1.0194760971215684,1.4798134855272975,2.2822347793354716,-0.23577587801274844,-0.5322581697995434,-0.7621592335760938,-1.280143780638803,562.7270833333241,-18.647916666675883,-459.410416666673,-169.12291666667443,2.2822347793354716,77.25,-225.75,0.1693548387096774,0.16129032258064516,0.08870967741935484,0.2777777777777778,0.05555555555555555,0.0,0.0,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.0,1.5658642953271513
is,37,37,508.2749999999942,600.7749999999942,2371.649999999994,1770.875,1.136053242160879,0.9261587883782822,1.2780687957327466,0.3783783783783784,13.737162162162004,5.9101744186045835,166.86785714285674,-79.47282608695652,2.0996844501323695,-611.46875,0.8312362651402777,2.435715567620348,0.5975984732887544,0.02621996748419019,0.43023255813953487,0.0,3,36.486486486486484,0.04025044722719141,0.3783783783783784,0.6216216216216216,9,2,12.5,42.0,1.569686577049799,9.128749999999854,0.4444444444444444,0.7766465004180897,1.8004033249717357,2.4262948207171564,3.4323938812651,-0.4441493286114851,-1.0026560424966915,-1.43573852737201,-2.3661936615677526,113.52499999999418,-406.82500000000437,-724.9500000000044,-618.3250000000044,3.4323938812651,97.70833333333576,-225.75,0.16279069767441862,0.16279069767441862,0.09302325581395349,0.21428571428571427,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.8312362651402777
oos,16,16,449.20208333332994,489.20208333332994,931.4625000000015,442.2604166666715,2.4772119381012097,2.7586891295407234,1.977035140584979,0.5625,28.07513020833312,11.821107456140261,100.9958333333335,-65.68005952381021,1.5376939982327615,-252.38541666667152,1.7798258285525133,11.803055494611405,0.2606706888718373,0.024050579065356,0.42105263157894735,0.0,2,30.9375,0.03340080971659919,0.375,0.625,4,3,12.5,16.0,4.372532735457686,26.045104166666352,0.6363636363636364,0.6085234466670081,1.5878989133509969,1.9912251816879185,2.0235046401721757,-0.20870339537235164,-0.5501189609353718,-0.8347903922232595,-1.0235046401721757,175.8520833333314,-264.0854166666686,-445.2604166666715,-56.71041666666861,2.0235046401721757,64.5,-93.75,0.18421052631578946,0.18421052631578946,0.10526315789473684,0.5,0.25,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.7798258285525133
