trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,holding_minutes,gross_pnl_usd,entry_hour,signal_atr,signal_box_width,mfe_points,mae_points,mfe_usd,mae_usd,mfe_r,mae_r
1,2025-01-02,short,1,2025-01-02 12:30:00-05:00,2254.6,2261.7999999999997,2238.76,2025-01-02 13:20:00-05:00,2238.86,target,50000.0,,,38.999999999998636,38.999999999998636,38.999999999998636,11273.0,0.22546,15.739999999999782,157.39999999999782,78.69999999999891,2.5,76.19999999999891,vceb_n8_ct15_tr2p2,2025-01-02 12:25:00-05:00,10,50.0,78.69999999999891,12.0,6.245833333333384,9.599999999999909,16.199999999999818,-0.20000000000027285,80.99999999999909,-1.0000000000013642,2.0769230769231264,-0.025641025641061518
2,2025-01-14,short,1,2025-01-14 11:05:00-05:00,2224.2000000000003,2228.9395833333338,2213.772916666667,2025-01-14 11:45:00-05:00,2213.8729166666667,target,50000.0,,,26.69791666666697,26.69791666666697,26.69791666666697,11121.000000000002,0.22242000000000003,10.327083333333576,103.27083333333576,51.63541666666788,2.5,49.13541666666788,vceb_n8_ct15_tr2p2,2025-01-14 11:00:00-05:00,8,40.0,51.63541666666788,11.0,4.739583333333409,6.0,13.200000000000273,-2.399999999999636,66.00000000000136,-11.999999999998181,2.4721030042918684,-0.449473273507535
3,2025-01-14,short,1,2025-01-14 14:55:00-05:00,2227.3,2230.7645833333336,2219.677916666667,2025-01-14 15:05:00-05:00,2219.777916666667,target,50000.0,,,20.322916666666515,20.322916666666515,20.322916666666515,11136.5,0.22273,7.522083333333285,75.22083333333285,37.610416666666424,2.5,35.110416666666424,vceb_n8_ct15_tr2p2,2025-01-14 14:50:00-05:00,2,10.0,37.610416666666424,14.0,3.4645833333333464,4.0,10.600000000000364,-0.599999999999909,53.00000000000182,-2.9999999999995453,2.60789338800626,-0.1476166068682514
4,2025-01-15,short,1,2025-01-15 10:40:00-05:00,2277.5,2283.3500000000004,2264.6299999999997,2025-01-15 11:40:00-05:00,2269.1,time_stop,50000.0,,,32.250000000001364,32.250000000001364,32.250000000001364,11387.5,0.22775,8.400000000000091,84.00000000000091,42.000000000000455,2.5,39.500000000000455,vceb_n8_ct15_tr2p2,2025-01-15 10:35:00-05:00,12,60.0,42.000000000000455,10.0,5.183333333333327,7.800000000000182,10.5,-4.800000000000182,52.5,-24.00000000000091,1.6279069767441172,-0.7441860465116247
5,2025-01-15,long,1,2025-01-15 14:30:00-05:00,2277.2,2273.45,2285.45,2025-01-15 15:30:00-05:00,2281.7000000000003,time_stop,50000.0,,,21.749999999999545,21.749999999999545,21.749999999999545,11386.0,0.22772,4.500000000000455,45.00000000000455,22.500000000002274,2.5,20.000000000002274,vceb_n8_ct15_tr2p2,2025-01-15 14:25:00-05:00,12,60.0,22.500000000002274,14.0,3.4208333333332632,5.0,6.700000000000273,-0.3999999999996362,33.500000000001364,-1.999999999998181,1.5402298850575662,-0.09195402298842403
6,2025-01-17,long,1,2025-01-17 14:25:00-05:00,2290.0,2287.2250000000004,2296.1049999999996,2025-01-17 14:35:00-05:00,2287.1250000000005,stop,50000.0,,,16.874999999997726,16.874999999997726,16.874999999997726,11450.0,0.229,-2.8749999999995453,-28.749999999995453,-14.374999999997726,2.5,-16.874999999997726,vceb_n8_ct15_tr2p2,2025-01-17 14:20:00-05:00,2,10.0,-14.374999999997726,14.0,2.427083333333352,3.699999999999818,0.3000000000001819,-3.5,1.5000000000009095,-17.5,0.08888888888895476,-1.0370370370371769
7,2025-01-29,short,1,2025-01-29 13:05:00-05:00,2292.8,2296.3250000000003,2285.0449999999996,2025-01-29 13:10:00-05:00,2296.425,stop,50000.0,,,20.625,20.625,20.625,11464.0,0.22928,-3.625,-36.25,-18.125,2.5,-20.625,vceb_n8_ct15_tr2p2,2025-01-29 13:00:00-05:00,1,5.0,-18.125,13.0,3.4166666666666763,4.700000000000273,1.400000000000091,-5.099999999999909,7.000000000000455,-25.499999999999545,0.33939393939396145,-1.2363636363636143
8,2025-01-30,short,1,2025-01-30 10:30:00-05:00,2314.4,2321.75,2298.2299999999996,2025-01-30 10:40:00-05:00,2321.85,stop,50000.0,,,39.74999999999909,39.74999999999909,39.74999999999909,11572.0,0.23144,-7.449999999999818,-74.49999999999818,-37.24999999999909,2.5,-39.74999999999909,vceb_n8_ct15_tr2p2,2025-01-30 10:25:00-05:00,2,10.0,-37.24999999999909,10.0,6.40416666666665,9.800000000000182,0.599999999999909,-9.0,2.9999999999995453,-45.0,0.07547169811319783,-1.1320754716981392
9,2025-01-31,short,1,2025-01-31 13:20:00-05:00,2323.6,2327.225,2315.625,2025-01-31 13:25:00-05:00,2315.725,target,50000.0,,,21.124999999999545,21.124999999999545,21.124999999999545,11618.0,0.23236,7.875,78.75,39.375,2.5,36.875,vceb_n8_ct15_tr2p2,2025-01-31 13:15:00-05:00,1,5.0,39.375,13.0,3.6250000000000284,4.300000000000182,9.099999999999909,-0.8000000000001819,45.499999999999545,-4.0000000000009095,2.1538461538461786,-0.18934911242608263
10,2025-02-03,short,1,2025-02-03 15:30:00-05:00,2269.7000000000003,2274.0937500000005,2260.03375,2025-02-03 16:00:00-05:00,2268.0,session_close,50000.0,,,24.968750000000455,24.968750000000455,24.968750000000455,11348.500000000002,0.22697000000000003,1.7000000000002728,17.00000000000273,8.500000000001364,2.5,6.000000000001364,vceb_n8_ct15_tr2p2,2025-02-03 15:25:00-05:00,6,30.0,8.500000000001364,15.0,4.393750000000021,4.099999999999909,4.300000000000182,-3.699999999999818,21.50000000000091,-18.49999999999909,0.8610763454318104,-0.7409261576970715
