feature,bucket,bucket_lower,bucket_upper,n_trades,win_rate,avg_pnl,expectancy,profit_factor,stop_hit_rate,target_hit_rate,time_exit_rate,time_exit_win_rate,cumulative_pnl,time_exit_pnl
or_width,"(-0.001, 39.25]",-0.001,39.25,228,0.3991228070175439,-6.675438596491228,-6.675438596491228,0.940342969132778,0.49122807017543857,0.21052631578947367,0.2982456140350877,0.6323529411764706,-1522.0,4010.5
or_width,"(39.25, 53.5]",39.25,53.5,224,0.4642857142857143,21.689732142857142,21.689732142857142,1.2237599594712845,0.46875,0.22767857142857142,0.29464285714285715,0.7727272727272727,4858.5,6085.5
or_width,"(53.5, 67.5]",53.5,67.5,226,0.5088495575221239,27.508849557522122,27.508849557522122,1.3856939016067995,0.43805309734513276,0.2168141592920354,0.3407079646017699,0.8571428571428571,6217.0,6459.5
or_width,"(67.5, 84.0]",67.5,84.0,223,0.4618834080717489,17.282511210762333,17.282511210762333,1.224343675417661,0.4260089686098655,0.17937219730941703,0.3901345291479821,0.7126436781609196,3854.0,6435.5
or_width,"(84.0, 121.25]",84.0,121.25,224,0.4732142857142857,7.417410714285714,7.417410714285714,1.0771534710935686,0.42410714285714285,0.125,0.44642857142857145,0.77,1661.5,10478.0
