feature,bucket,bucket_lower,bucket_upper,n_trades,win_rate,avg_pnl,expectancy,profit_factor,stop_hit_rate,target_hit_rate,time_exit_rate,time_exit_win_rate,cumulative_pnl,time_exit_pnl
or_width_atr_ratio,"(-0.001, 3.468]",-0.001,3.468,225,0.39555555555555555,10.79111111111111,10.79111111111111,1.0967793367346939,0.5822222222222222,0.28,0.13777777777777778,0.8387096774193549,2428.0,3458.5
or_width_atr_ratio,"(3.468, 4.263]",3.468,4.263,225,0.4266666666666667,0.2111111111111111,0.2111111111111111,1.002083607492214,0.5244444444444445,0.20444444444444446,0.26666666666666666,0.8166666666666667,47.5,5960.0
or_width_atr_ratio,"(4.263, 5.362]",4.263,5.362,225,0.5333333333333333,53.80222222222222,53.80222222222222,1.6576216862233812,0.41333333333333333,0.26222222222222225,0.32,0.8333333333333334,12105.5,8163.0
or_width_atr_ratio,"(5.362, 7.062]",5.362,7.062,225,0.44,-12.842222222222222,-12.842222222222222,0.8661834853887834,0.4444444444444444,0.1288888888888889,0.4222222222222222,0.7263157894736842,-2889.5,7087.0
or_width_atr_ratio,"(7.062, 48.921]",7.062,48.921,225,0.5111111111111111,15.011111111111111,15.011111111111111,1.2383136355618274,0.28444444444444444,0.08444444444444445,0.6222222222222222,0.6785714285714286,3377.5,8800.5
price_vwap_distance_atr,"(0.00385, 1.601]",0.00385,1.601,225,0.4666666666666667,18.182222222222222,18.182222222222222,1.1860644926547506,0.49333333333333335,0.21777777777777776,0.28444444444444444,0.859375,4091.0,6443.5
price_vwap_distance_atr,"(1.601, 2.923]",1.601,2.923,225,0.39111111111111113,0.6244444444444445,0.6244444444444445,1.006051991126618,0.5244444444444445,0.2088888888888889,0.26666666666666666,0.6833333333333333,140.5,5278.5
price_vwap_distance_atr,"(2.923, 4.481]",2.923,4.481,225,0.4666666666666667,20.177777777777777,20.177777777777777,1.2193236714975846,0.4488888888888889,0.21777777777777776,0.3288888888888889,0.7432432432432432,4540.0,6626.0
price_vwap_distance_atr,"(4.481, 6.47]",4.481,6.47,225,0.4666666666666667,1.84,1.84,1.019848499376738,0.4622222222222222,0.16,0.36444444444444446,0.8170731707317073,414.0,7787.0
price_vwap_distance_atr,"(6.47, 36.852]",6.47,36.852,225,0.5155555555555555,26.148888888888887,26.148888888888887,1.3845927572231664,0.32,0.15555555555555556,0.5244444444444445,0.6864406779661016,5883.5,7334.0
continuous_vwap_slope_5,"(-3.21, 0.155]",-3.21,0.155,225,0.4444444444444444,12.182222222222222,12.182222222222222,1.1250114019885067,0.4711111111111111,0.19555555555555557,0.3288888888888889,0.7432432432432432,2741.0,6301.0
continuous_vwap_slope_5,"(0.155, 0.627]",0.155,0.627,224,0.4419642857142857,-0.5915178571428571,-0.5915178571428571,0.9935260059121003,0.4330357142857143,0.16964285714285715,0.39732142857142855,0.6853932584269663,-132.5,5273.0
continuous_vwap_slope_5,"(0.627, 1.311]",0.627,1.311,224,0.45535714285714285,12.714285714285714,12.714285714285714,1.142197368749532,0.44642857142857145,0.18303571428571427,0.36160714285714285,0.7407407407407407,2848.0,6666.5
continuous_vwap_slope_5,"(1.311, 2.662]",1.311,2.662,224,0.47767857142857145,16.064732142857142,16.064732142857142,1.1866248314490198,0.44642857142857145,0.1875,0.35714285714285715,0.7875,3598.5,7339.5
continuous_vwap_slope_5,"(2.662, 31.276]",2.662,31.276,224,0.48214285714285715,23.703125,23.703125,1.261043781803879,0.45982142857142855,0.21875,0.32142857142857145,0.8194444444444444,5309.5,7876.5
