comparison_type,comparison_name,scope,variant_name,reference_variant_name,trade_coverage_vs_reference,day_coverage_vs_reference,net_pnl_ratio_vs_reference,net_pnl_delta,sharpe_delta,sortino_delta,profit_factor_delta,expectancy_delta,max_drawdown_improvement_vs_reference,hit_rate_delta,avg_win_delta,avg_loss_delta,stop_hit_rate_delta,combined_net_pnl_delta,additive_net_pnl_delta,interaction_excess_net_pnl_delta,combined_sharpe_delta,additive_sharpe_delta,interaction_excess_sharpe_delta,combined_profit_factor_delta,additive_profit_factor_delta,interaction_excess_profit_factor_delta,combined_expectancy_delta,additive_expectancy_delta,interaction_excess_expectancy_delta,combined_max_drawdown_improvement,additive_max_drawdown_improvement,interaction_excess_max_drawdown_improvement
pairwise,marginal_sizing_vs_baseline_nominal,overall,baseline_3state,baseline_nominal,0.9776785714285714,0.9776785714285714,2.5435238761365806,24275.0,0.10586851400318165,0.1663297652927238,0.027815110511376417,22.489542563600786,-1.1900642286013894,-0.002425799086757996,260.49773960217,-205.62695088009272,-0.003995433789954317,,,,,,,,,,,,,,,
pairwise,marginal_vvix_vs_baseline_nominal,overall,baseline_vvix_nominal,baseline_nominal,0.6732142857142858,0.6732142857142858,0.9859477331976855,-221.0,0.17649415326984652,-0.01915072968247933,0.08019366829423791,6.523022451686245,0.061213789487481976,0.011555039787798371,5.36847451030647,-0.9815169439834222,-0.0003315649867374204,,,,,,,,,,,,,,,
pairwise,combined_vs_baseline_nominal,overall,baseline_vvix_3state,baseline_nominal,0.6571428571428571,0.6571428571428571,2.270839956762256,19986.5,0.1746667137919029,0.01383062259340595,0.09393049868519743,34.48181288819876,-1.4203696421549352,0.00896739130434776,269.04233419676456,-209.34632231763376,-0.005434782608695676,,,,,,,,,,,,,,,
pairwise,incremental_vvix_on_top_of_3state,overall,baseline_vvix_3state,baseline_3state,0.6721461187214612,0.6721461187214612,0.8927928603569821,-4288.5,0.06879819978872126,-0.15249914269931786,0.06611538817382101,11.992270324597975,-0.10515920517117548,0.011393190391105756,8.544594594594571,-3.7193714375410423,-0.0014393488187413594,,,,,,,,,,,,,,,
pairwise,incremental_3state_on_top_of_vvix,overall,baseline_vvix_3state,baseline_vvix_nominal,0.9761273209549072,0.9761273209549072,2.3032052108861087,20207.5,-0.0018274394779436154,0.03298135227588528,0.01373683039095952,27.958790436512515,-1.5781904495950851,-0.002587648483450611,263.67385968645806,-208.36480537365034,-0.005103217621958256,,,,,,,,,,,,,,,
pairwise,vvix_only_vs_3state_only,overall,baseline_vvix_nominal,baseline_3state,0.6885844748858447,0.6885844748858447,0.38763061846907654,-24496.0,0.07062563926666487,-0.18548049497520314,0.05237855778286149,-15.96652011191454,0.5713430691884127,0.013980838874556367,-255.12926509186352,204.6454339361093,0.0036638688032168965,,,,,,,,,,,,,,,
interaction,interaction_excess_vs_additive,overall,baseline_vvix_3state,baseline_nominal,,,,,,,,,,,,,,19986.5,24054.0,-4067.5,0.1746667137919029,0.28236266727302817,-0.10769595348112526,0.09393049868519743,0.10800877880561432,-0.014078280120416897,34.48181288819876,29.01256501528703,5.46924787291173,-1.4203696421549352,-1.1288504391139074,-0.29151920304102785
pairwise,marginal_sizing_vs_baseline_nominal,is,baseline_3state,baseline_nominal,0.9834815756035579,0.9834815756035579,1.9869539601043684,5863.0,-0.09084393969289134,-0.1006409347403543,-0.012727899383701446,7.701715374841169,-1.92455802555575,-0.0010834983205775806,262.3514957734511,-219.997406933788,-0.003946560549497824,,,,,,,,,,,,,,,
pairwise,marginal_vvix_vs_baseline_nominal,is,baseline_vvix_nominal,baseline_nominal,0.6645489199491741,0.6645489199491741,0.9854389361164885,-86.5,0.12126471137657147,-0.0073793486403845865,0.04705201974437401,3.644832009640404,-0.2536320672151234,0.017444078124202844,-5.146968005758339,-0.15377211143800196,0.004497073622270142,,,,,,,,,,,,,,,
pairwise,combined_vs_baseline_nominal,is,baseline_vvix_3state,baseline_nominal,0.6543837357052097,0.6543837357052097,2.52453497180372,9056.5,0.15319487855848335,0.040892902705060186,0.05954697117094332,21.57210372435573,-2.232102223000175,0.017310420547488936,263.8521707340334,-224.58090865508723,0.0004687827685323498,,,,,,,,,,,,,,,
pairwise,incremental_vvix_on_top_of_3state,is,baseline_vvix_3state,baseline_3state,0.665374677002584,0.665374677002584,1.2705553437539714,3193.5,0.2440388182513747,0.14153383744541448,0.07227487055464477,13.870388349514563,-0.10515920517117548,0.018393918868066517,1.5006749605823302,-4.583501721299228,0.004415343318030174,,,,,,,,,,,,,,,
pairwise,incremental_3state_on_top_of_vvix,is,baseline_vvix_3state,baseline_vvix_nominal,0.9847036328871893,0.9847036328871893,2.5618380594465324,9143.0,0.031930167181911884,0.04827225134544477,0.012494951426569312,17.927271714715328,-1.5781904495950851,-0.0001336575767139081,268.99913873979176,-224.42713654364923,-0.004028290853737793,,,,,,,,,,,,,,,
pairwise,vvix_only_vs_3state_only,is,baseline_vvix_nominal,baseline_3state,0.6757105943152455,0.6757105943152455,0.49595458974033124,-5949.5,0.2121086510694628,0.0932615860999697,0.059779919128075454,-4.056883365200765,0.5713430691884127,0.018527576444780425,-267.49846377920943,219.84363482235,0.008443634171767966,,,,,,,,,,,,,,,
interaction,interaction_excess_vs_additive,is,baseline_vvix_3state,baseline_nominal,,,,,,,,,,,,,,9056.5,5776.5,3280.0,0.15319487855848335,0.030420771683680126,0.12277410687480322,0.05954697117094332,0.03432412036067256,0.025222850810270758,21.57210372435573,11.346547384481573,10.225556339874158,-2.232102223000175,-2.1781900927708735,-0.053912130229301525
