direction,trades,net_pnl_usd,avg_trade_pnl_usd,win_rate,profit_factor
long,10439,-9075.0,-0.8693361433087461,0.15825270619791168,0.9468217576654312
short,10290,-15933.0,-1.548396501457726,0.1510204081632653,0.9055116709365215
