config_name,policy_family,strategy_tag,opposite_confirmation,opposite_breakout_buffer_ticks,opposite_breakout_confirm_bars,require_reclaim_vwap,require_reclaim_or_low_close,reclaim_confirm_bars,symbols_covered,assets_profitable_count,asset_stability_score,annual_stability_score,trade_count_score,net_pnl,gross_pnl,number_of_trades,win_rate,avg_trade,profit_factor,Sharpe,Sortino,max_drawdown,max_daily_drawdown,average_daily_pnl,median_daily_pnl,worst_day,best_day,trade_frequency,exposure_days,prop_pass,daily_loss_limit_breaches,first_breakout_downside_count,first_breakout_upside_count,invalidated_days_count,invalidated_days_pct,trades_after_downside_first_breakout_count,pnl_after_downside_first_breakout,sharpe_after_downside_first_breakout,reclaim_trade_count,reclaim_trade_pnl,reclaim_trade_sharpe,oos_2024_2026_net_pnl,oos_2024_2026_Sharpe,oos_2024_2026_max_drawdown,oos_2024_2026_number_of_trades,baseline_pnl,filtered_pnl,pnl_removed_by_invalidation,trades_removed,Sharpe_delta,DD_delta,daily_loss_breach_delta,profit_factor_delta,pnl_delta_vs_baseline_score,robust_score
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,reclaim_conservative,failed_breakdown_reclaim_long,touch,0,1,True,True,1,1,0,0.0,0.0,0.03333333333333333,-104.5,-94.5,4,0.25,-26.125,0.8239258635214828,-0.43590058230618556,-0.9421704685578169,-453.0,-453.0,-2.6125,0.0,-247.5,489.0,0.1,4,False,0,15,18,0,0.0,1,-140.5,-4.242640687119286,1,-140.5,0.0,-104.5,-0.43590058230618556,-453.0,4,-104.5,-104.5,0.0,0,0.0,0.0,0,0.0,0.0,-2.595031363805388
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,reclaim_strict,failed_breakdown_reclaim_long,touch,0,1,False,False,1,1,0,0.0,0.0,0.03333333333333333,-104.5,-94.5,4,0.25,-26.125,0.8239258635214828,-0.43590058230618556,-0.9421704685578169,-453.0,-453.0,-2.6125,0.0,-247.5,489.0,0.1,4,False,0,15,18,0,0.0,1,-140.5,-4.242640687119286,1,-140.5,0.0,-104.5,-0.43590058230618556,-453.0,4,-104.5,-104.5,0.0,0,0.0,0.0,0,0.0,0.0,-2.595031363805388
baseline_no_opposite_invalidation,baseline,orb_long_only,none,0,1,False,False,1,1,0,0.0,0.0,0.03333333333333333,-104.5,-94.5,4,0.25,-26.125,0.8239258635214828,-0.43590058230618556,-0.9421704685578169,-453.0,-453.0,-2.6125,0.0,-247.5,489.0,0.1,4,False,0,0,26,0,0.0,0,0.0,0.0,0,0.0,0.0,-104.5,-0.43590058230618556,-453.0,4,-104.5,-104.5,0.0,0,0.0,0.0,0,0.0,0.0,-2.595031363805388
invalidate_on_opposite_close_1m__buffer_0,invalidate_for_day,orb_long_only,close_1m,0,1,False,False,1,1,1,1.0,1.0,0.025,36.0,43.5,3,0.3333333333333333,12.0,1.0794701986754967,0.15438136584521678,0.6803360514166088,-453.0,-453.0,0.9,0.0,-247.5,489.0,0.075,3,False,0,14,19,21,0.525,0,0.0,0.0,0,0.0,0.0,36.0,0.15438136584521678,-453.0,3,-104.5,36.0,-140.5,1,0.5902819481514023,0.0,0,0.25554433515401387,0.8727482904806048,-5.412848228201299
invalidate_on_opposite_close_5m__buffer_0,invalidate_for_day,orb_long_only,close_5m,0,1,False,False,1,1,1,1.0,1.0,0.025,36.0,43.5,3,0.3333333333333333,12.0,1.0794701986754967,0.15438136584521678,0.6803360514166088,-453.0,-453.0,0.9,0.0,-247.5,489.0,0.075,3,False,0,11,22,20,0.5,0,0.0,0.0,0,0.0,0.0,36.0,0.15438136584521678,-453.0,3,-104.5,36.0,-140.5,1,0.5902819481514023,0.0,0,0.25554433515401387,0.8727482904806048,-5.412848228201299
invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,invalidate_for_day,orb_long_only,n_closes_1m,0,2,False,False,1,1,1,1.0,1.0,0.025,36.0,43.5,3,0.3333333333333333,12.0,1.0794701986754967,0.15438136584521678,0.6803360514166088,-453.0,-453.0,0.9,0.0,-247.5,489.0,0.075,3,False,0,13,20,20,0.5,0,0.0,0.0,0,0.0,0.0,36.0,0.15438136584521678,-453.0,3,-104.5,36.0,-140.5,1,0.5902819481514023,0.0,0,0.25554433515401387,0.8727482904806048,-5.412848228201299
invalidate_on_opposite_touch__buffer_0,invalidate_for_day,orb_long_only,touch,0,1,False,False,1,1,1,1.0,1.0,0.025,36.0,43.5,3,0.3333333333333333,12.0,1.0794701986754967,0.15438136584521678,0.6803360514166088,-453.0,-453.0,0.9,0.0,-247.5,489.0,0.075,3,False,0,15,18,23,0.575,0,0.0,0.0,0,0.0,0.0,36.0,0.15438136584521678,-453.0,3,-104.5,36.0,-140.5,1,0.5902819481514023,0.0,0,0.25554433515401387,0.8727482904806048,-5.412848228201299
