symbol,bucket,trade_count,net_pnl,avg_trade,win_rate,sharpe
MNQ,first_breakout_upside,4,-104.5,-26.125,0.25,-1.3831396878894926
MNQ,no_downside_breakout_before_trade,4,-104.5,-26.125,0.25,-1.3831396878894926
