trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,symbol,config_name,policy_family,strategy_tag,first_breakout_side,invalidated_for_day,invalidated_at,selected_signal_type,is_reclaim_trade
1,2026-02-16,long,1,2026-02-16 18:13:00-05:00,24778.5,24709.75,24916.0,2026-02-16 20:52:00-05:00,24709.5,stop,50000.0,0.5,250.0,140.5,140.5,140.5,49557.0,0.99114,-69.0,-276.0,-138.0,2.5,-140.5,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
2,2026-02-18,long,1,2026-02-18 09:46:00-05:00,24874.5,24751.5,25120.5,2026-02-18 12:06:00-05:00,25120.25,target,50000.0,0.5,250.0,249.0,249.0,249.0,49749.0,0.99498,245.75,983.0,491.5,2.5,489.0,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
3,2026-03-16,long,1,2026-03-16 09:46:00-04:00,24723.75,24622.5,24926.25,2026-03-16 10:50:00-04:00,24622.25,stop,50000.0,0.5,250.0,205.5,205.5,205.5,49447.5,0.98895,-101.5,-406.0,-203.0,2.5,-205.5,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
4,2026-03-17,long,1,2026-03-17 09:46:00-04:00,24868.25,24746.0,25112.75,2026-03-17 11:36:00-04:00,24745.75,stop,50000.0,0.5,250.0,247.5,247.5,247.5,49736.5,0.99473,-122.5,-490.0,-245.0,2.5,-247.5,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
1,2026-02-18,long,1,2026-02-18 09:46:00-05:00,24874.5,24751.5,25120.5,2026-02-18 12:06:00-05:00,25120.25,target,50000.0,0.5,250.0,249.0,249.0,249.0,49749.0,0.99498,245.75,983.0,491.5,2.5,489.0,MNQ,invalidate_on_opposite_touch__buffer_0,invalidate_for_day,orb_long_only,first_breakout_upside,False,,pre_invalidation_long,False
2,2026-03-16,long,1,2026-03-16 09:46:00-04:00,24723.75,24622.5,24926.25,2026-03-16 10:50:00-04:00,24622.25,stop,50000.0,0.5,250.0,205.5,205.5,205.5,49447.5,0.98895,-101.5,-406.0,-203.0,2.5,-205.5,MNQ,invalidate_on_opposite_touch__buffer_0,invalidate_for_day,orb_long_only,first_breakout_upside,True,2026-03-16 10:50:00-04:00,pre_invalidation_long,False
3,2026-03-17,long,1,2026-03-17 09:46:00-04:00,24868.25,24746.0,25112.75,2026-03-17 11:36:00-04:00,24745.75,stop,50000.0,0.5,250.0,247.5,247.5,247.5,49736.5,0.99473,-122.5,-490.0,-245.0,2.5,-247.5,MNQ,invalidate_on_opposite_touch__buffer_0,invalidate_for_day,orb_long_only,first_breakout_upside,True,2026-03-17 11:36:00-04:00,pre_invalidation_long,False
1,2026-02-18,long,1,2026-02-18 09:46:00-05:00,24874.5,24751.5,25120.5,2026-02-18 12:06:00-05:00,25120.25,target,50000.0,0.5,250.0,249.0,249.0,249.0,49749.0,0.99498,245.75,983.0,491.5,2.5,489.0,MNQ,invalidate_on_opposite_close_1m__buffer_0,invalidate_for_day,orb_long_only,first_breakout_upside,False,,pre_invalidation_long,False
2,2026-03-16,long,1,2026-03-16 09:46:00-04:00,24723.75,24622.5,24926.25,2026-03-16 10:50:00-04:00,24622.25,stop,50000.0,0.5,250.0,205.5,205.5,205.5,49447.5,0.98895,-101.5,-406.0,-203.0,2.5,-205.5,MNQ,invalidate_on_opposite_close_1m__buffer_0,invalidate_for_day,orb_long_only,first_breakout_upside,True,2026-03-16 18:52:00-04:00,pre_invalidation_long,False
3,2026-03-17,long,1,2026-03-17 09:46:00-04:00,24868.25,24746.0,25112.75,2026-03-17 11:36:00-04:00,24745.75,stop,50000.0,0.5,250.0,247.5,247.5,247.5,49736.5,0.99473,-122.5,-490.0,-245.0,2.5,-247.5,MNQ,invalidate_on_opposite_close_1m__buffer_0,invalidate_for_day,orb_long_only,first_breakout_upside,True,2026-03-17 11:36:00-04:00,pre_invalidation_long,False
